module_accession	pathway_name	pathway_class	matching_ko	missing_ko	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Pathway modules; Energy metabolism; Carbon fixation	K00175,K01959	K00024,K00169,K00170,K00171,K00172,K00174,K00176,K00177,K01677,K01678,K01902,K01903,K01960,K18209,K18210	10.71	10.71	7.14	7.14	10.71	7.14	28.57	0	32.14	7.14	0	10.71
M00882	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03644	K23735	50	50	0	50	50	50	0	0	0	0	0	50
M00912	NAD biosynthesis, tryptophan => quinolinate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01916	K00452,K00453,K00486,K00767,K00969,K01432,K01556	12.5	37.5	37.5	37.5	25	0	25	0	37.5	37.5	0	37.5
M00154	Cytochrome c oxidase	Pathway modules; Energy metabolism; ATP synthesis	K02257	K02256,K02258,K02259,K02260,K02261,K02262,K02263,K02264,K02265,K02266,K02267,K02268,K02270,K02272	6.67	13.33	6.67	20	0	6.67	0	0	0	6.67	0	13.33
M00642	Multidrug resistance, efflux pump MexJK-OprM	Signature modules; Gene set; Drug resistance	K18303	K18301,K18302	0	0	0	0	0	0	0	25	0	0	0	25
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	Pathway modules; Lipid metabolism; Lipid metabolism	K00968	K00866,K00994	0	0	0	0	0	0	0	33.33	0	0	0	33.33
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00293	K00143,K00290,K00838,K01655,K01705,K05824,K17450	0	0	0	12.5	12.5	12.5	0	0	0	0	0	12.5
M00155	Cytochrome c oxidase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02275,K02276	K02274	75	100	50	100	0	25	0	0	25	75	0	75
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495,K01737	K00072	66.67	66.67	66.67	66.67	0	0	0	0	0	33.33	0	33.33
M00356	Methanogenesis, methanol => methane	Pathway modules; Energy metabolism; Methane metabolism	K03388	K00399,K00401,K00402,K03389,K03390,K04480,K14080,K14081	0	0	0	0	0	11.11	0	22.22	0	0	0	11.11
M00885	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)	Pathway modules; Lipid metabolism; Fatty acid metabolism	K02078	K00645,K11263,K11608,K11609,K11610,K11611,K18472,K27689	33.33	44.44	44.44	50	0	0	11.11	0	69.44	44.44	0	55.56
M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03831	K03635,K03637,K03639,K03750	0	16.67	0	33.33	0	0	0	0	0	0	0	50
M00616	Sulfate-sulfur assimilation	Signature modules; Module set; Metabolic capacity	K02045	K02046,K02047,K02048,M00176	12.5	12.5	0	12.5	25	0	0	0	12.5	0	0	25
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495,K01737	K17745	66.67	66.67	66.67	66.67	0	0	0	0	0	33.33	0	33.33
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00140	K00248,K05605,K07511,K23146	20	0	0	0	0	20	0	0	0	0	0	20
M00778	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	K05551	K05552,K05553,K05554,K05555	0	16.67	0	16.67	0	0	0	0	16.67	0	0	16.67
M00922	CMP-Neu5Ac biosynthesis	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K01654	K00983,K24257	0	0	0	0	33.33	33.33	0	33.33	0	0	0	0
M00948	Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate	Pathway modules; Amino acid metabolism; Other amino acid metabolism	K12658	K13877,K21060,K21062	0	0	0	25	0	0	0	0	25	0	0	0
M00625	Methicillin resistance	Signature modules; Gene set; Drug resistance	K02545	K02546,K02547	0	33.33	0	33.33	0	0	0	0	33.33	33.33	0	0
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis	K02291	K00514,K02293,K06443,K09835,K15744	16.67	16.67	0	16.67	0	0	0	0	0	0	0	0
M00850	Vibrio cholerae pathogenicity signature, cholera toxins	Signature modules; Gene set; Pathogenicity	K10953	K10928,K10929,K10948,K10952,K10954,K11018	0	0	0	16.67	0	0	0	0	16.67	16.67	0	0
M00984	Sulfur oxidation, tetrathionate intermediate (S4I) pathway, thiosulfate => sulfur + sulfate + thiosulfate	Pathway modules; Energy metabolism; Sulfur metabolism	K19713	K27925	0	50	0	50	0	0	0	0	0	50	0	0
M00076	Dermatan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K01197	K01135,K01136,K01195,K01217	0	0	0	0	20	20	20	0	0	0	0	0
M00696	Multidrug resistance, efflux pump AcrEF-TolC	Signature modules; Gene set; Drug resistance	K12340	K18140,K18141,K18142	0	16.67	0	16.67	0	0	0	0	16.67	16.67	0	0
M00973	Anammox, nitrite + ammonia => nitrogen	Pathway modules; Energy metabolism; Nitrogen metabolism	K00368	K20932,K20933,K20934,K20935	33.33	0	0	0	0	0	0	0	0	0	0	0
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	Pathway modules; Energy metabolism; Nitrogen metabolism	K00370	K00371,K10535,K10944,K10945,K10946	0	16.67	0	16.67	0	0	0	0	0	16.67	0	0
M00538	Toluene degradation, toluene => benzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K00055	K00141,K15760,K15761,K15763,K15764	33.33	0	0	0	0	0	33.33	0	0	0	0	0
M00537	Xylene degradation, xylene => methylbenzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K00055	K00141,K15757,K15758	33.33	0	0	0	0	0	33.33	0	0	0	0	0
M00416	Cytochrome aa3-600 menaquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	K02827	K02826,K02828,K02829	0	0	0	25	0	0	0	0	0	0	0	0
M00697	Multidrug resistance, efflux pump MdtEF-TolC	Signature modules; Gene set; Drug resistance	K12340	K07690,K18898,K18899	0	16.67	0	16.67	0	0	0	0	16.67	16.67	0	0
M00860	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	Signature modules; Gene set; Pathogenicity	K07282	K01932,K22116,K22976,K22977,K22980,K22981	0	0	0	0	14.29	14.29	0	0	0	0	0	0
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K00529	K01666,K02554,K04073,K05708,K05709,K05710,K05711,K05713,K05714	0	0	0	2.08	0	0	0	16.67	0	0	0	0
M00101	Cholesterol biosynthesis, FPP => cholesterol	Pathway modules; Lipid metabolism; Sterol biosynthesis	K07750	K00213,K00222,K00227,K00511,K00801,K01824,K01852,K05917,K07748,K09828,K13373	0	8.33	0	0	0	0	0	0	0	0	0	0
M00867	KDO2-lipid A modification pathway	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K03760	K09953,K12977,K23082,K23083,K23159	20	20	0	0	0	0	0	0	0	0	0	0
M00930	Menaquinone biosynthesis, futalosine pathway	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K11783,K20810	K11782,K11784,K11785,K18285	0	0	0	0	0	0	0	33.33	0	0	0	0
M00529	Denitrification, nitrate => nitrogen	Pathway modules; Energy metabolism; Nitrogen metabolism	K00368	K00370,K00371,K00374,K00376,K02305,K04561	25	20.83	8.33	8.33	12.5	0	0	0	0	8.33	0	0
M00872	O-glycan biosynthesis, mannose type (core M3)	Pathway modules; Glycan metabolism; Glycan biosynthesis	K00728	,K09654,K09668,K17547,K18207,K19872,K19873,K21031,K21032,K21052	0	0	0	0	0	0	0	6.67	0	0	0	0
M00745	Imipenem resistance, repression of porin OprD	Signature modules; Gene set; Drug resistance	K07644	K07665	0	0	0	0	0	0	0	0	50	0	50	0
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K07535	K04116,K04117,K07534,K07536	0	0	0	0	0	0	0	0	20	0	0	0
M00555	Betaine biosynthesis, choline => betaine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00108	K00130	0	0	50	0	0	0	0	0	50	0	0	0
M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol	Pathway modules; Lipid metabolism; Sterol biosynthesis	K07750	K00222,K00223,K00227,K00511,K00559,K00801,K01852,K05917,K07748,K09827,K09829,K09831	0	7.69	0	0	0	0	0	0	0	0	0	0
M00974	Betaine metabolism, animals, betaine => glycine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00306	K00315,K00544	0	33.33	0	0	0	0	0	0	0	0	0	0
M00769	Multidrug resistance, efflux pump MexPQ-OpmE	Signature modules; Gene set; Drug resistance	K19594	K18304,K19591,K19593,K19595	0	0	0	0	0	11.11	0	0	0	0	0	0
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	K09471	K09470,K09472,K09473	25	0	0	0	0	0	0	0	0	25	0	0
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	Pathway modules; Lipid metabolism; Lipid metabolism	K00570	NA	0	100	0	100	0	0	0	0	0	100	0	0
NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
M00622	Nicotinate degradation, nicotinate => fumarate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K18030	K01799,K13995,K14974,K15357,K18028,K18029	0	0	8.33	0	0	0	0	0	0	0	0	0
M00986	Sulfur reduction, sulfur => sulfide	Pathway modules; Energy metabolism; Sulfur metabolism	K18367	NA	0	0	0	100	0	0	0	0	100	0	0	0
M00077	Chondroitin sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K01197	K01132,K01135,K01195	0	0	0	0	25	25	25	0	0	0	0	0
M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K20170	K15359,K20169,K20171	25	0	0	0	0	0	0	0	0	0	0	0
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K17722	K01431,K01464,K17723	0	0	0	0	0	0	16.67	0	0	0	0	0
M00078	Heparan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K01195	K01136,K01137,K01205,K01217,K01565,K07964,K10532	0	0	0	0	0	0	12.5	0	0	0	0	0
M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01601	K00757,K18237,K21056	0	0	33.33	0	0	0	16.67	0	33.33	0	0	0
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K01697	K01758	0	50	0	100	50	0	0	50	0	100	0	0
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	K00128	K00274,K00657	33.33	0	0	33.33	0	0	33.33	0	0	66.67	0	0
M00156	Cytochrome c oxidase, cbb3-type	Pathway modules; Energy metabolism; ATP synthesis	K00406,K00407	K00404,K00405	0	0	0	0	0	0	0	0	0	0	66.67	0
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K07540	K07543,K07544,K07545,K07546,K07547,K07548,K07549,K07550	0	0	0	16.67	0	0	0	0	0	0	0	0
M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K05830	K05826,K05828,K05829,K05831,K19412	0	0	0	0	0	0	0	0	0	10	0	0
M00932	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01911,K02549	K01661,K02551,K02552,K08680,K17872,K19222,K23094,K23095	0	0	0	0	17.86	0	3.57	7.14	0	0	0	0
M00698	Multidrug resistance, efflux pump BpeEF-OprC	Signature modules; Gene set; Drug resistance	K18901	K18900,K18902,K18903	0	16.67	0	16.67	0	0	0	0	0	0	0	0
M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K10012	K07806,K10011,K13014	0	0	0	0	0	0	0	0	25	0	0	0
M00887	Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM	Pathway modules; Lipid metabolism; Fatty acid metabolism	K11263	K12428,K12437,K18851,K27093,K27094,K27095,K27306	0	0	0	12.5	0	0	0	0	12.5	0	0	0
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K03738	K05308,K11395	0	0	0	0	0	0	33.33	0	0	0	0	0
M00623	Phthalate degradation, phthalate => protocatechuate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K18067	K04102,K18068,K18069	0	0	0	0	0	0	0	0	0	0	33.33	0
M00877	Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics	K18653	K18652,K18654	0	33.33	0	33.33	0	0	0	0	0	0	0	0
M00875	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	K21721	K21949,K23371,K23372,K23373,K23374,K23375	0	0	0	0	0	0	0	14.29	0	0	0	0
M00704	Tetracycline resistance, efflux pump Tet38	Signature modules; Gene set; Drug resistance	K08168	K18906	0	0	0	0	50	50	0	0	0	0	0	0
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K05830	K05826,K05827,K05828,K05829,K05831	0	0	0	0	0	0	0	0	0	10	0	0
M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K01055	K01856,K03381,K03464	0	0	0	0	0	0	0	0	0	0	0	25
M00546	Purine degradation, xanthine => urea	Pathway modules; Nucleotide metabolism; Purine metabolism	K13479	K00087,K00365,K01466,K01477,K13480,K13484	0	0	0	0	0	0	0	0	0	0	0	6.67
