module_accession	pathway_name	pathway_class	matching_ko	missing_ko	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00287,K14652	K01633,K13941,K22099,K22100	0	33.33	33.33	66.67	0	0	16.67	0	16.67	33.33	0	33.33
M00950	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00652	K01012,K01935,K25570	25	75	50	75	25	0	25	50	25	75	0	50
M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01965	K01847,K01966,K05606	0	16.67	0	16.67	16.67	0	0	33.33	16.67	16.67	0	16.67
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00874,K01625,K01685,K01812	K00041	80	100	100	100	20	20	60	40	100	100	0	100
M00740	Methylaspartate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00031	K00024,K00261,K01647,K01846,K04835,K14449,K19268,K19280,K19281,K19282,K27802	9.09	9.09	0	9.09	22.73	0	27.27	18.18	9.09	9.09	0	27.27
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00652,K00833	K01012,K01906,K01935	40	80	60	100	20	0	20	40	20	80	0	60
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00036,K01057,K01625	K01690	75	100	100	100	50	25	25	25	100	100	0	100
M00346	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	K01595,K01689	K00018,K00024,K00600,K00830,K08691,K08692,K11529,K14067	22.22	55.56	22.22	33.33	22.22	22.22	33.33	11.11	33.33	33.33	0	55.56
M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	Signature modules; Gene set; Drug resistance	K14205	K19077,K19078	0	33.33	33.33	66.67	0	33.33	0	33.33	66.67	33.33	0	66.67
M00140	C1-unit interconversion, prokaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01938	K00600,K01491	33.33	100	100	100	100	0	33.33	66.67	100	100	0	100
