KO	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
K03624	2	28	14	114	1	0	0	1	175	9	0	37
K03625	0	26	6	107	0	0	0	3	329	41	0	28
K03628	0	98	30	273	2	0	0	2	953	112	0	74
K03629	4	92	36	232	3	1	3	1	747	101	4	64
K03630	1	62	12	111	1	0	2	2	305	43	0	21
K03631	1	108	16	247	0	4	0	5	870	122	0	107
K03635	0	0	0	2	0	0	0	0	0	0	0	2
K03637	0	0	0	0	0	0	0	0	0	0	0	2
K03638	0	2	0	0	0	0	0	0	0	0	0	0
K03640	0	6	0	16	0	0	0	0	0	4	0	1
K03641	0	12	0	45	0	0	0	0	0	9	0	1
K03642	0	0	0	3	0	1	0	0	0	4	0	0
K03643	0	7	0	14	0	0	0	0	2	5	0	0
K03644	2	14	0	10	4	1	0	0	0	0	0	3
K03647	0	28	4	40	0	0	0	0	184	15	0	8
K03648	1	53	12	109	1	2	0	0	389	51	0	25
K03649	0	0	0	0	1	0	0	0	0	0	0	0
K03650	5	130	40	361	2	1	0	1	1259	141	2	93
K03652	4	42	13	76	0	0	0	0	410	43	0	44
K03654	4	138	35	245	0	3	0	1	935	82	2	76
K03655	5	144	49	439	4	0	8	0	1303	148	0	108
K03656	0	6	3	12	0	0	0	1	106	11	0	8
K03657	12	164	40	370	13	1	5	9	1527	159	8	91
K03658	0	0	0	0	0	0	0	0	0	0	0	1
K03660	0	0	0	0	1	0	1	0	0	0	0	0
K03664	4	51	7	104	2	0	0	2	205	42	1	31
K03665	2	87	27	229	2	2	4	2	673	72	0	83
K03666	0	0	0	4	0	0	0	0	0	1	0	0
K03667	2	132	34	265	0	0	0	0	921	79	0	69
K03668	0	1	0	6	0	0	0	0	9	0	0	0
K03669	2	17	0	50	0	0	0	0	3	13	0	8
K03670	0	20	0	44	0	0	0	0	2	18	0	0
K03671	1	22	3	68	2	0	2	0	183	30	0	6
K03673	0	0	0	0	1	0	0	0	0	0	0	0
K03676	2	0	0	5	0	0	0	0	0	6	0	0
K03684	0	11	0	35	0	0	0	0	0	5	0	3
K03685	1	59	15	114	0	0	0	1	378	46	0	32
K03686	2	99	22	260	5	2	0	0	952	83	0	74
K03687	2	31	10	97	1	0	0	0	308	53	0	29
K03688	0	0	0	0	1	2	0	0	0	0	4	0
K03693	0	150	40	336	0	4	0	0	1462	158	2	125
K03694	2	24	1	36	0	0	0	0	0	10	0	7
K03695	2	229	67	551	10	4	2	6	2067	253	4	186
K03696	4	221	73	550	7	8	0	4	2121	228	4	166
K03697	8	174	34	355	3	0	2	0	1548	157	2	81
K03698	2	63	11	193	4	0	0	0	589	57	1	35
K03699	0	83	26	207	2	0	0	2	778	89	1	63
K03700	0	55	15	86	0	0	0	0	247	49	2	27
K03701	10	252	52	647	2	12	2	6	2104	242	3	149
K03702	8	164	42	454	6	2	6	8	1602	172	2	105
K03703	8	115	32	288	2	0	1	4	1023	135	4	75
K03704	1	24	15	83	2	0	0	0	182	26	2	20
K03705	1	79	3	152	2	0	0	0	744	55	0	37
K03706	0	44	9	121	0	0	0	0	468	46	0	36
K03707	0	39	1	80	0	0	1	0	291	13	0	23
K03708	0	38	3	87	0	0	2	0	288	31	0	22
K03709	0	41	6	97	0	0	0	0	351	22	0	14
K03710	4	109	29	189	3	8	4	0	901	85	3	56
K03711	1	44	24	150	1	0	0	0	324	54	0	28
K03713	0	27	3	71	0	0	0	0	216	23	0	12
K03719	0	1	0	0	0	0	0	1	0	0	0	1
K03722	0	170	29	364	3	0	4	3	1250	128	1	97
K03723	3	293	60	671	2	1	2	11	2547	305	6	167
K03724	0	0	0	0	0	0	0	2	0	0	0	0
K03727	0	2	0	0	0	0	0	0	1	0	0	0
K03732	0	0	0	0	0	0	0	1	0	0	0	0
K03733	4	41	26	155	2	0	1	2	631	65	4	42
K03734	3	2	2	0	5	0	6	0	0	0	0	0
K03735	1	0	0	0	0	0	0	0	0	0	0	0
K03736	1	0	0	0	0	0	0	0	0	0	0	0
K03737	1	237	48	596	2	0	6	5	2592	246	4	169
K03738	0	0	0	0	0	0	2	0	0	0	0	0
K03739	2	80	22	178	2	0	2	0	672	73	0	43
K03740	2	85	22	203	0	1	0	0	827	73	2	59
K03742	0	92	22	226	0	0	0	0	733	93	2	44
K03743	0	87	20	215	0	0	0	0	710	90	2	43
K03744	0	32	15	98	4	0	0	0	287	28	0	23
K03752	0	0	0	0	0	0	0	0	0	1	0	0
K03753	0	0	0	2	0	0	0	0	0	0	0	0
K03758	2	0	0	0	0	0	0	1	2	0	0	0
K03759	0	0	0	0	0	0	0	2	0	0	0	0
K03760	2	2	0	0	0	0	0	0	0	0	0	0
K03762	2	0	0	0	0	3	0	1	0	2	0	1
K03763	3	291	76	645	0	2	4	6	3280	318	5	197
K03767	0	42	7	116	1	0	3	0	385	39	0	33
K03768	0	45	5	128	1	0	4	1	430	44	0	36
K03769	0	13	1	15	0	0	0	1	0	4	0	1
K03770	0	24	0	27	0	3	0	1	0	1	1	7
K03771	0	18	0	12	0	1	2	0	0	4	0	2
K03772	0	0	0	1	0	0	1	0	0	0	0	1
K03773	0	1	0	10	0	0	1	0	0	0	0	0
K03775	1	0	0	0	0	0	0	2	0	0	0	0
K03776	1	0	1	0	0	1	0	0	0	0	0	0
K03777	2	13	1	36	0	0	0	0	1	2	0	4
K03778	4	61	15	177	0	4	4	0	618	57	1	34
K03779	0	0	0	0	0	0	0	2	0	0	0	0
K03781	2	16	0	76	0	0	2	0	0	12	0	11
K03782	0	13	1	55	0	0	0	0	0	16	0	3
K03783	0	51	23	179	0	0	0	0	628	67	2	52
K03784	0	49	5	106	0	2	0	3	472	44	0	30
K03785	0	29	14	136	0	0	0	0	282	19	0	30
K03786	0	2	0	9	0	0	0	0	2	0	0	0
K03787	0	0	0	0	1	0	0	0	0	0	0	0
K03789	1	47	8	135	2	0	0	1	532	38	0	31
K03790	0	43	15	106	1	0	0	0	276	30	0	27
K03797	0	94	25	234	0	3	0	4	727	116	0	68
K03798	5	216	41	463	12	3	4	7	1968	201	9	174
K03799	2	2	0	0	0	0	0	0	0	0	0	0
K03800	0	70	20	182	0	0	0	0	510	54	1	36
K03801	0	1	0	4	0	2	0	0	0	3	0	4
K03802	0	0	0	3	0	0	0	0	9	0	0	1
K03806	0	0	0	0	0	0	0	2	0	0	0	0
K03808	0	10	0	49	0	0	0	0	0	13	0	4
K03809	0	3	0	15	0	0	0	0	0	3	0	0
K03810	0	0	0	0	0	0	0	2	0	0	0	0
K03811	0	2	0	9	0	0	0	0	0	5	0	1
K03813	0	5	0	5	0	0	0	0	27	3	0	6
K03814	2	0	0	0	0	0	0	2	0	0	0	0
K03816	2	75	11	123	0	0	0	2	415	47	0	33
K03817	2	4	0	0	0	0	0	0	0	0	0	0
K03818	0	5	1	6	0	0	0	0	15	3	0	1
K03820	0	17	4	38	0	0	0	0	2	16	0	2
K03821	0	0	0	0	0	0	0	0	0	1	2	0
K03823	0	5	0	8	0	0	0	1	0	5	0	2
K03830	0	0	0	0	0	0	0	0	0	0	2	0
K03831	0	2	0	0	0	0	0	0	0	0	0	0
K03832	0	3	0	6	0	0	0	0	0	0	0	1
K03833	0	0	0	1	0	0	2	0	0	0	0	0
K03839	0	19	6	25	0	0	0	0	123	20	0	11
K03841	4	0	0	0	1	0	0	0	0	0	0	0
K03856	1	66	22	166	2	0	0	3	826	69	0	72
K03885	3	7	3	12	0	0	2	0	10	4	0	13
K03892	0	0	0	1	0	0	0	0	0	0	0	0
K03893	0	0	0	2	0	0	0	0	0	0	0	0
K03923	0	5	0	4	0	0	0	0	0	3	0	1
K03924	2	5	0	26	0	0	0	4	1	5	1	3
K03925	2	24	1	82	0	4	0	0	272	30	0	11
K03928	0	41	13	137	0	0	0	2	509	40	0	17
K03929	2	0	0	0	0	0	1	0	0	0	0	0
K03932	0	0	0	0	0	0	0	0	0	0	1	0
K03933	0	4	1	11	0	0	0	0	64	9	0	8
K03973	0	6	3	28	0	0	0	0	29	8	0	4
K03975	2	0	0	0	0	0	0	2	0	0	0	0
K03976	2	26	6	72	0	0	0	2	222	25	0	24
K03977	0	88	16	272	3	2	0	2	888	112	0	106
K03978	0	30	5	80	0	0	0	0	274	37	0	22
K03979	4	106	32	272	3	2	0	0	1104	91	0	56
K03980	1	13	4	30	0	1	0	0	0	8	0	4
K04016	0	0	0	0	0	2	0	0	0	1	0	0
K04017	0	0	0	0	0	0	0	0	0	1	0	0
K04018	0	0	0	0	0	0	0	0	0	1	0	0
K04023	0	0	0	0	1	0	0	1	0	0	0	0
K04034	0	0	0	2	0	0	0	0	0	0	0	0
K04042	4	149	26	344	3	5	4	4	1152	130	0	71
K04043	4	195	46	345	5	1	4	3	1510	125	2	109
K04047	0	34	15	116	0	0	0	0	166	20	0	36
K04063	0	0	0	1	0	0	0	0	4	2	0	0
K04066	0	197	47	491	2	1	4	8	1636	163	1	130
K04068	0	38	11	111	2	0	0	0	416	41	0	34
K04069	0	90	26	231	0	2	2	2	783	76	0	53
K04070	0	0	0	0	2	0	0	0	0	0	0	0
K04072	0	185	48	431	3	0	6	1	1984	225	0	112
K04074	0	21	9	82	0	0	2	0	279	42	0	25
K04075	5	59	8	234	2	0	2	3	698	66	2	68
K04077	0	121	36	285	1	0	0	6	1341	137	1	87
K04078	2	30	4	83	2	0	1	0	149	18	0	12
K04079	2	21	2	73	0	0	1	4	0	20	0	2
K04082	0	3	0	2	0	0	0	0	0	1	0	0
K04083	2	62	8	239	0	0	0	0	572	75	0	42
K04084	0	27	6	49	0	0	0	2	2	14	4	11
K04085	0	0	0	0	0	0	0	0	0	0	3	0
K04086	7	5	0	8	3	0	0	0	47	7	2	2
K04087	5	4	0	0	0	0	0	0	0	0	0	0
K04088	0	0	0	1	0	0	0	1	0	0	0	0
K04090	0	0	0	0	0	1	0	0	0	0	0	0
K04091	0	0	0	0	0	0	0	0	0	4	0	1
K04092	0	1	2	18	0	0	0	0	26	4	0	3
K04093	0	0	1	4	0	0	0	0	0	0	0	0
K04094	0	74	34	196	2	1	0	0	893	81	0	54
K04095	0	2	0	0	1	0	0	0	0	0	0	0
K04096	1	43	10	134	2	6	1	2	484	35	0	20
K04103	2	55	5	87	0	0	0	2	209	30	0	13
K04112	0	0	0	0	0	0	0	0	0	0	0	1
K04343	0	0	0	0	0	0	0	0	0	0	2	0
K04485	1	140	23	324	2	2	0	2	1189	134	0	84
K04486	0	1	0	0	0	0	0	2	0	0	0	0
K04487	6	252	45	588	3	0	0	9	2042	206	2	122
K04488	0	37	6	85	0	0	2	0	437	39	0	37
K04516	0	2	2	22	0	0	2	0	53	6	0	4
K04517	3	2	0	2	0	0	0	0	0	0	0	4
K04518	0	10	0	11	4	0	0	0	2	5	0	0
K04561	0	2	0	0	2	0	0	0	0	0	0	0
K04564	0	41	6	135	2	0	0	0	258	39	0	24
K04565	0	0	0	0	0	2	0	0	0	0	0	0
K04566	0	10	4	32	0	0	0	0	0	10	0	3
K04567	4	138	35	269	0	2	4	2	1125	113	2	105
K04568	0	20	1	16	0	0	0	0	0	6	0	2
K04569	0	0	0	0	0	0	0	0	1	0	0	0
K04651	0	0	0	0	0	0	0	0	0	0	0	2
K04652	0	0	0	1	0	0	0	0	0	0	0	0
K04653	0	0	0	0	0	0	0	0	1	0	0	0
K04656	0	0	0	0	0	0	0	2	2	0	0	0
K04720	0	0	0	0	0	0	0	4	0	0	0	0
K04744	0	25	2	37	0	0	1	2	0	13	0	4
K04750	0	0	0	0	0	1	0	0	0	0	0	0
K04751	2	0	0	2	0	0	1	0	0	1	0	0
K04752	1	3	0	10	0	0	0	0	0	4	0	0
K04754	0	1	0	16	1	0	0	0	0	7	0	1
K04755	1	3	0	18	0	0	0	0	0	7	0	0
K04758	0	18	9	79	0	1	0	1	274	30	0	9
K04759	0	178	59	395	7	1	2	6	1567	171	2	98
K04760	0	9	1	7	0	1	0	0	0	0	0	2
K04761	0	14	2	36	1	4	0	0	0	2	4	7
K04762	0	2	0	8	0	0	0	0	0	3	0	1
K04763	6	94	53	259	0	0	0	6	1211	126	0	109
K04764	0	2	0	5	0	0	0	0	0	1	0	0
K04771	5	138	27	305	0	0	0	0	682	106	4	80
K04773	3	0	0	0	0	0	0	1	0	0	0	2
K04775	0	1	0	0	0	0	0	0	0	0	0	0
K04844	0	45	13	131	0	0	2	0	433	49	0	35
K05245	0	2	0	0	0	0	0	0	0	0	0	0
K05275	2	2	0	0	0	0	0	2	2	0	0	0
K05297	0	0	0	0	0	0	0	1	0	0	0	0
K05298	0	0	0	1	0	0	0	0	0	0	0	0
K05301	0	0	0	0	0	0	0	0	0	0	4	0
K05303	0	0	0	0	0	0	0	1	0	0	0	0
K05306	0	0	0	0	0	0	0	2	0	0	0	0
K05311	1	45	16	175	0	0	0	0	770	86	2	40
K05337	0	6	1	18	0	0	0	0	32	8	0	4
K05338	2	0	0	0	0	0	0	0	0	0	0	0
K05339	0	0	0	0	0	2	0	0	0	0	0	0
K05342	0	105	34	225	2	0	2	0	852	100	0	60
K05343	0	1	1	2	0	0	0	0	14	0	0	0
K05346	0	61	21	187	0	4	0	0	767	61	0	41
K05349	2	1	0	2	6	2	0	10	0	0	8	4
K05350	0	283	78	782	0	2	1	4	3029	270	5	214
K05351	0	0	0	2	0	0	0	0	0	0	0	0
K05362	7	87	15	135	0	2	0	0	799	39	3	54
K05363	0	77	33	219	2	0	0	0	603	50	1	49
K05364	0	0	0	0	0	0	0	0	0	0	1	0
K05365	0	3	1	10	0	2	0	0	36	4	0	3
K05366	5	155	29	322	0	1	4	0	1350	145	7	96
K05367	0	2	0	2	0	0	0	0	0	0	0	0
K05499	0	0	0	1	0	0	0	0	3	0	0	2
K05515	0	37	5	72	3	3	1	2	54	23	0	12
K05516	0	3	0	3	0	0	0	2	1	1	0	2
K05524	0	3	0	7	0	0	0	0	0	0	0	0
K05527	0	0	0	8	0	0	0	0	0	3	0	0
K05539	2	0	0	0	0	0	0	0	0	0	0	0
K05540	3	101	19	265	0	4	0	0	796	102	0	94
K05541	0	0	0	0	0	0	0	0	0	0	1	0
K05548	0	3	0	8	0	0	0	0	0	1	0	0
K05551	0	1	0	9	0	0	0	0	28	0	0	1
K05568	0	0	0	0	0	0	0	2	0	0	2	0
K05592	4	226	55	533	6	2	0	2	1816	172	0	164
K05596	0	31	0	19	0	0	0	0	2	1	0	0
K05601	0	0	0	0	0	0	2	2	0	0	0	0
K05603	0	0	2	0	0	0	0	0	0	0	0	0
K05657	0	2	0	3	0	0	0	0	11	2	0	0
K05658	0	10	5	28	0	0	0	0	67	6	0	9
K05661	1	11	3	11	1	0	0	0	63	1	0	3
K05663	0	0	0	1	0	0	0	0	1	0	0	0
K05665	0	1	0	0	0	0	0	0	14	0	0	0
K05666	0	1	0	0	0	0	0	0	12	0	0	0
K05674	0	1	0	0	0	0	0	0	12	0	0	0
K05685	1	11	1	46	2	0	0	0	52	7	0	3
K05776	0	1	0	0	0	0	0	0	1	0	0	0
K05782	0	0	0	2	0	0	0	0	0	0	0	0
K05788	2	0	0	2	0	0	0	0	0	3	0	0
K05799	0	0	0	3	0	1	1	0	9	2	0	0
K05801	1	3	0	20	0	0	0	0	0	2	0	2
K05802	1	18	3	57	0	0	2	1	52	18	0	1
K05805	0	0	0	1	0	0	0	0	0	0	0	0
K05807	1	9	2	10	0	0	0	0	0	5	0	9
K05808	3	36	22	100	0	0	0	0	418	25	0	29
K05810	2	14	2	26	0	0	0	0	0	8	0	4
K05814	0	3	0	3	0	0	0	0	6	4	0	0
K05815	1	0	0	0	0	0	0	3	0	0	0	0
K05816	1	0	0	1	0	2	0	0	0	1	0	1
K05822	0	5	0	0	0	0	0	0	0	0	0	0
K05823	2	0	0	0	0	0	0	0	0	0	0	0
K05830	0	0	0	0	0	0	0	0	0	2	0	0
K05832	1	1	0	0	0	1	2	0	4	0	0	3
K05833	0	0	0	2	1	0	2	0	5	2	0	0
K05837	6	78	21	208	0	0	4	1	541	68	3	24
K05838	0	7	0	18	0	0	0	0	5	9	0	0
K05844	0	0	0	0	0	0	0	0	0	0	0	1
K05845	5	5	2	2	1	2	1	0	0	0	0	0
K05846	3	7	0	0	1	2	1	0	0	0	2	0
K05847	4	6	0	1	0	0	0	0	7	0	0	0
K05850	0	0	0	0	0	0	0	0	1	0	0	0
K05853	0	0	0	0	0	0	0	0	1	1	0	0
K05874	1	0	0	0	0	1	0	0	0	0	0	0
K05875	1	0	0	0	0	1	0	0	0	0	0	0
K05878	2	7	0	0	0	2	0	0	0	0	0	0
K05879	0	2	1	0	0	0	3	0	20	3	0	2
K05881	0	0	2	0	0	0	1	0	0	0	0	0
K05887	0	1	0	3	0	0	0	0	10	0	0	1
K05895	0	0	0	0	0	0	0	3	0	0	0	0
K05896	5	57	12	139	3	0	2	2	312	31	0	33
K05898	0	1	0	0	0	0	0	0	0	0	0	0
K05909	0	0	0	0	0	0	0	0	0	0	0	2
K05910	1	12	1	25	0	0	0	0	155	6	0	16
K05916	0	6	0	27	0	0	0	0	0	2	0	2
K05919	0	0	0	0	0	0	0	1	0	0	0	0
K05936	1	0	0	0	0	0	0	0	0	1	0	0
K05946	0	1	1	0	0	0	1	1	0	0	0	0
K05962	0	0	0	0	0	0	0	0	0	0	1	0
K05964	0	37	11	65	0	0	0	0	204	39	1	22
K05966	1	67	34	204	2	0	2	0	577	63	0	47
K05970	0	0	0	0	0	0	1	0	1	0	0	3
K05985	3	44	11	116	0	0	3	0	390	51	0	30
K05988	0	0	0	0	0	0	0	2	0	0	0	0
K05989	1	270	67	621	6	3	1	2	3073	220	0	191
K05995	2	0	1	0	0	0	0	0	0	0	0	0
K06001	0	0	0	0	0	0	0	0	0	0	0	6
K06006	0	0	2	0	0	0	0	0	0	0	0	0
K06012	0	0	0	0	0	0	0	2	0	0	0	0
K06013	0	0	0	0	1	0	0	0	0	0	0	0
K06015	0	0	0	0	0	0	0	0	0	1	0	0
K06020	0	0	0	2	0	0	1	0	1	1	0	0
K06021	0	0	0	0	0	0	0	0	1	0	0	0
K06023	2	58	27	182	2	0	1	0	688	49	0	32
K06024	4	25	15	70	6	0	0	0	209	33	0	26
K06041	1	11	1	24	0	0	0	1	0	6	0	2
K06045	2	20	1	52	0	1	0	0	0	5	0	6
K06048	0	0	0	0	0	0	0	2	0	0	0	0
K06074	0	1	0	1	0	0	0	0	8	1	0	0
K06076	3	0	0	0	0	0	0	2	0	0	0	0
K06113	0	185	37	354	1	0	0	0	1378	136	0	94
K06131	3	132	34	242	2	0	4	0	637	77	2	53
K06132	0	0	0	0	0	0	0	0	0	0	0	2
K06135	0	0	0	0	0	0	0	0	0	1	0	0
K06136	2	6	0	19	0	0	0	0	0	3	0	0
K06137	0	8	0	28	0	0	0	0	0	3	0	1
K06138	0	2	0	6	0	1	0	0	0	3	0	0
K06139	0	8	0	23	0	0	0	0	2	6	0	4
K06142	0	10	0	11	0	0	0	0	2	1	0	0
K06145	0	0	0	0	0	0	0	0	0	1	0	0
K06147	18	1010	238	2513	16	10	18	24	8934	882	13	601
K06148	17	113	34	238	6	7	4	2	888	88	1	52
K06149	0	1	2	10	0	0	0	0	20	4	0	2
K06151	0	33	0	42	0	0	0	0	1	6	0	0
K06152	0	18	0	11	0	0	0	0	0	8	0	1
K06153	0	4	0	14	0	0	0	5	0	5	0	2
K06155	0	0	0	0	2	0	0	0	0	0	0	0
K06156	0	0	0	0	2	0	0	0	0	0	0	0
K06157	0	0	0	0	2	0	0	0	0	0	0	0
K06158	7	107	45	305	7	0	0	4	1137	110	2	70
K06159	0	1	0	1	0	0	0	0	1	0	0	0
K06160	0	1	0	1	0	0	0	0	1	0	0	0
K06167	0	6	0	14	0	0	0	0	0	11	0	4
K06168	0	7	3	25	1	2	0	4	0	2	0	3
K06173	0	34	16	160	4	0	0	0	458	62	0	20
K06177	0	104	32	244	0	2	2	0	1041	69	4	60
K06178	6	56	18	108	1	0	0	0	344	42	0	31
K06179	1	4	0	24	0	0	0	2	0	5	0	1
K06180	0	177	63	436	0	8	4	7	1908	149	4	126
K06182	0	0	1	0	1	0	0	0	2	0	0	1
K06183	0	30	2	73	0	0	0	0	255	31	0	24
K06185	0	0	0	0	0	0	0	1	0	0	0	0
K06187	3	54	4	91	0	0	0	0	383	35	0	28
K06188	0	11	0	17	0	0	0	3	1	5	0	0
K06189	0	8	2	9	0	0	0	0	10	4	0	2
K06191	0	12	4	20	0	0	0	0	68	9	0	1
K06192	0	17	0	87	0	0	0	0	2	23	0	4
K06194	2	26	0	16	0	0	0	0	0	9	0	8
K06195	0	2	0	13	0	0	0	0	0	0	1	0
K06198	0	33	9	91	0	0	0	0	245	16	3	14
K06199	1	0	0	0	2	0	0	0	0	0	0	0
K06200	0	0	0	0	0	1	0	0	0	0	0	2
K06201	0	52	6	114	0	0	0	0	392	57	0	35
K06204	0	9	0	6	0	0	0	0	0	6	0	0
K06207	0	192	28	384	3	2	2	5	1312	130	2	100
K06212	0	8	1	17	0	0	0	0	35	20	0	0
K06213	0	0	0	0	0	0	4	0	0	0	0	2
K06217	1	37	9	105	0	0	0	0	478	56	1	58
K06221	1	8	0	21	1	0	0	1	17	5	0	1
K06223	0	37	4	65	0	0	0	2	0	26	0	5
K06269	0	0	0	0	0	0	0	0	0	1	1	0
K06283	0	0	0	0	0	0	1	0	0	0	0	0
K06286	0	94	33	342	0	0	2	0	1140	119	0	92
K06287	0	7	0	49	0	0	0	1	0	5	0	1
K06320	0	13	0	24	0	0	0	0	0	8	0	1
K06330	0	0	0	0	1	0	0	3	0	0	0	0
K06334	0	0	0	0	2	0	0	0	0	0	0	0
K06346	0	37	9	150	0	0	0	1	252	16	0	37
K06351	0	0	0	2	0	0	0	0	0	0	0	0
K06373	0	0	0	1	0	0	1	0	0	0	0	0
K06381	0	0	0	0	0	3	0	0	0	0	0	2
K06382	0	0	0	0	0	0	1	0	0	0	0	0
K06385	0	0	0	0	0	0	0	1	0	0	0	0
K06390	0	0	0	0	4	0	2	0	0	0	0	0
K06398	0	0	0	0	0	4	0	2	0	0	0	0
K06399	0	0	0	0	0	2	0	2	0	0	0	0
K06400	6	155	36	333	0	0	1	2	1385	181	3	104
K06402	0	0	0	0	0	0	0	1	0	0	0	0
K06403	0	0	0	0	2	0	0	0	0	0	0	0
K06405	0	0	0	0	2	0	0	0	0	0	0	0
K06407	0	0	0	0	0	0	0	2	0	0	0	0
K06409	0	0	0	0	0	0	4	3	0	0	0	0
K06410	0	0	0	0	2	0	0	0	0	0	0	0
K06411	4	0	0	0	0	0	0	0	0	0	0	2
K06442	4	58	22	159	0	0	0	0	550	33	0	44
K06445	0	0	0	0	0	0	0	0	0	0	2	0
K06446	0	0	0	0	0	0	0	0	0	0	0	6
K06596	0	0	0	1	0	0	0	0	1	0	0	0
K06606	0	0	2	0	0	0	0	0	0	0	0	0
K06607	2	74	14	101	0	0	0	1	405	49	0	38
K06609	0	2	0	2	0	0	0	0	15	4	0	0
K06610	1	1	0	0	0	0	0	0	0	0	0	1
K06857	0	0	0	0	0	0	0	0	0	1	0	0
K06861	1	17	3	38	0	1	1	0	65	14	0	5
K06867	0	3	2	13	0	0	0	0	0	4	0	0
K06871	0	0	0	0	1	2	0	1	0	0	0	0
K06872	3	37	13	115	0	3	1	6	299	36	0	14
K06876	0	0	0	1	0	0	0	0	0	0	0	0
K06877	0	0	0	1	0	0	2	0	8	5	0	1
K06878	1	49	11	124	0	0	0	0	378	47	0	46
K06881	2	70	29	107	5	14	1	0	523	25	0	39
K06882	0	2	3	10	0	0	0	0	56	5	0	0
K06884	0	5	3	12	0	0	0	2	29	5	0	12
K06885	1	84	23	225	2	4	0	0	983	105	0	49
K06888	0	0	0	0	0	0	0	0	4	0	0	0
K06889	6	54	13	86	4	3	4	3	514	61	2	49
K06890	0	61	13	126	2	0	3	0	317	48	0	29
K06891	0	4	0	9	0	0	0	0	0	0	0	0
K06894	1	0	0	0	0	3	0	0	0	0	0	0
K06895	0	4	0	9	0	0	0	0	1	7	0	2
K06901	6	122	22	250	3	3	0	6	1111	100	2	55
K06902	0	0	0	0	0	0	1	0	2	0	0	0
K06903	0	0	0	4	0	0	0	0	0	0	0	0
K06904	0	102	19	196	0	0	0	0	786	92	0	71
K06905	0	0	0	6	0	0	0	0	0	0	0	0
K06906	0	0	1	0	0	0	0	0	0	0	0	0
K06907	0	0	0	7	3	0	0	0	0	0	0	0
K06908	0	0	0	4	0	0	0	0	0	0	0	2
K06909	3	163	29	256	1	4	2	0	3676	153	1	253
K06910	2	0	0	1	0	0	0	0	0	1	0	0
K06911	0	7	0	15	2	0	0	0	0	2	0	1
K06915	1	11	2	18	0	0	0	0	0	11	0	6
K06919	4	85	30	731	6	0	2	2	2274	503	2	73
K06920	1	8	0	25	0	0	0	0	0	10	0	3
K06923	2	2	4	23	0	0	0	2	0	1	1	5
K06925	0	34	3	77	0	0	0	0	128	16	0	9
K06926	1	0	0	0	0	0	0	0	0	0	0	0
K06941	0	82	13	217	0	0	1	0	726	89	2	53
K06942	4	92	19	302	5	2	0	2	948	105	2	61
K06948	0	85	20	184	0	1	0	0	685	58	10	47
K06949	8	47	12	132	5	0	1	2	285	29	0	33
K06950	2	28	10	82	0	0	0	0	257	40	0	22
K06952	2	0	0	0	0	0	0	0	0	0	0	0
K06954	1	0	0	0	0	0	0	0	0	0	0	0
K06955	0	0	0	0	0	0	0	0	0	1	0	0
K06956	2	96	34	241	0	0	0	0	900	91	0	73
K06958	0	80	12	204	2	4	0	2	513	61	0	37
K06959	0	133	32	301	3	0	0	1	1472	110	1	81
K06960	0	13	8	20	0	0	0	2	114	9	0	3
K06962	0	39	10	111	1	0	0	0	320	55	0	19
K06966	0	53	14	171	0	0	2	0	433	38	0	36
K06967	2	36	8	71	0	0	0	0	313	28	2	16
K06969	0	70	14	193	1	1	0	3	644	96	0	41
K06972	0	21	4	39	2	0	1	6	177	18	0	14
K06973	0	42	11	80	0	0	0	2	396	60	0	12
K06975	0	13	4	81	0	0	0	0	175	19	0	26
K06977	0	41	12	97	0	0	0	0	272	21	0	17
K06980	0	10	0	13	0	0	0	1	0	2	0	2
K06987	0	1	0	0	0	0	0	0	0	0	0	0
K06993	0	0	0	0	1	0	0	0	0	0	0	0
K06994	2	5	6	0	0	1	0	0	0	0	0	0
K06997	1	7	0	21	0	1	0	0	0	6	0	0
K06999	0	18	8	44	2	0	0	0	160	19	0	10
K07000	2	0	0	0	0	0	0	0	0	0	0	0
K07001	0	0	0	0	0	0	1	0	5	0	2	4
K07002	0	0	0	0	1	0	0	0	0	0	1	0
K07003	0	47	3	56	0	3	2	0	0	16	0	4
K07004	1	7	1	4	0	0	0	0	0	0	0	0
K07005	0	0	0	1	0	0	0	1	0	1	0	0
K07007	2	29	4	69	0	6	1	0	0	14	0	5
K07009	0	41	9	110	0	0	0	0	296	32	2	26
K07010	0	6	0	0	0	0	0	0	0	0	0	0
K07011	0	56	8	132	1	0	0	1	307	45	0	23
K07012	0	190	34	384	0	0	0	0	1337	130	0	70
K07015	5	35	8	85	0	1	0	2	282	36	1	20
K07016	0	0	0	0	0	0	1	2	0	0	0	0
K07017	0	4	4	19	0	0	0	2	90	9	0	13
K07018	1	6	2	5	0	0	0	0	3	5	0	1
K07020	0	0	0	0	0	0	0	0	0	0	0	1
K07025	3	59	13	144	0	0	0	3	481	59	0	27
K07027	0	67	11	164	2	0	0	0	349	54	0	49
K07028	0	0	0	0	0	0	0	0	0	0	0	1
K07029	1	79	11	152	2	0	0	2	597	52	0	46
