KO	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
K02768	2	144	31	370	3	0	0	2	1488	138	2	92
K02769	5	223	59	620	4	0	6	2	2377	219	2	152
K02770	4	148	32	371	3	0	0	2	1499	138	2	93
K02771	2	2	0	0	0	0	0	0	0	0	0	0
K02773	3	4	0	0	0	0	1	0	0	0	1	0
K02774	4	0	2	0	0	0	0	2	0	0	0	0
K02775	2	17	2	0	0	0	1	2	0	0	0	0
K02777	0	97	20	181	1	5	0	0	685	84	0	54
K02778	0	6	0	25	0	4	0	0	74	5	0	6
K02779	0	6	0	25	0	4	0	0	74	5	0	6
K02781	0	10	3	47	0	0	0	0	156	23	0	1
K02782	0	0	0	1	0	0	0	0	0	0	0	0
K02783	0	0	0	1	0	0	0	0	0	0	0	0
K02786	0	19	7	75	0	1	1	0	215	9	0	11
K02787	2	161	40	345	0	0	0	0	1340	114	4	69
K02788	2	161	40	345	0	0	0	0	1340	114	4	69
K02790	2	11	1	20	0	4	0	0	88	3	0	1
K02791	2	11	1	20	0	4	0	0	88	3	0	1
K02793	7	124	38	396	2	0	0	0	1273	130	0	88
K02794	13	167	44	443	3	0	2	2	1554	137	0	106
K02795	9	161	43	430	4	0	6	1	1699	135	0	96
K02796	12	178	52	432	0	0	1	0	1636	160	0	114
K02798	6	3	0	0	0	0	0	0	0	0	0	4
K02799	4	4	0	0	0	0	0	2	0	0	2	4
K02800	4	4	0	0	0	0	0	2	0	0	2	4
K02802	0	101	26	213	0	2	0	0	1066	87	0	72
K02803	0	102	26	234	0	2	0	2	1124	94	0	76
K02804	0	103	26	232	0	2	0	2	1123	91	0	76
K02805	0	7	0	2	1	0	0	0	0	0	0	0
K02806	0	0	0	0	0	0	0	0	2	0	0	0
K02808	9	128	22	303	1	0	1	0	951	89	2	84
K02809	9	130	22	303	1	0	1	0	954	91	4	84
K02810	9	130	22	303	1	0	1	0	954	91	4	84
K02812	0	0	0	1	0	0	0	0	0	0	0	0
K02814	0	1	1	0	0	0	0	1	0	0	0	1
K02815	1	1	0	0	0	0	0	0	0	0	0	0
K02817	0	0	0	2	0	0	0	0	1	2	0	0
K02818	0	0	2	12	0	0	0	0	23	5	0	3
K02819	0	0	2	12	0	0	0	0	23	5	0	3
K02821	2	7	0	20	2	0	0	0	41	14	0	4
K02822	3	21	3	82	0	0	0	1	238	31	0	21
K02823	3	65	25	130	0	0	2	2	506	45	0	35
K02824	4	109	28	216	1	0	8	2	1105	105	0	67
K02825	0	47	5	98	2	0	0	0	423	45	0	40
K02827	0	0	0	1	0	0	0	0	0	0	0	0
K02834	1	37	9	57	0	0	1	0	239	30	0	17
K02835	3	99	30	216	0	0	0	0	947	118	0	64
K02836	5	90	21	233	0	0	0	0	766	92	0	48
K02837	3	127	49	273	2	0	1	1	934	110	3	89
K02838	0	38	11	89	0	1	8	4	262	42	0	33
K02851	1	92	28	246	0	0	0	0	684	97	0	79
K02855	0	0	0	0	0	0	0	0	5	0	0	0
K02858	0	3	0	2	0	0	0	0	0	2	0	0
K02859	0	1	0	0	0	0	0	1	0	0	0	0
K02860	0	35	1	80	2	0	0	1	252	25	0	15
K02863	2	63	17	204	0	1	0	1	541	66	0	29
K02864	0	45	19	98	0	0	1	0	470	42	0	28
K02867	0	47	16	135	2	2	1	0	455	64	0	31
K02871	0	56	14	97	0	0	1	0	339	33	0	19
K02874	0	48	8	100	0	0	0	0	331	32	0	24
K02876	0	54	14	115	0	0	1	0	389	34	1	30
K02878	2	57	10	129	2	0	0	0	394	41	0	23
K02879	0	34	4	85	4	1	0	1	321	49	1	32
K02881	4	49	5	92	0	0	1	4	387	45	0	37
K02884	3	26	10	60	0	0	0	0	299	29	2	24
K02886	7	59	18	200	0	0	0	2	846	68	1	63
K02887	0	37	5	69	1	0	0	2	245	20	0	9
K02888	0	24	7	64	0	0	0	0	250	28	0	19
K02890	3	30	4	95	0	0	2	0	471	48	0	20
K02892	1	31	7	49	2	0	0	0	262	14	0	12
K02895	1	15	6	76	0	0	4	0	288	16	0	31
K02897	0	33	6	70	0	0	0	0	252	27	0	16
K02899	0	18	7	35	2	0	0	0	185	10	0	11
K02902	2	15	8	44	0	0	0	2	124	22	0	14
K02904	0	7	3	59	0	0	0	0	167	10	0	8
K02906	4	63	19	156	2	1	2	0	538	59	0	40
K02907	2	21	1	54	0	3	2	1	222	20	1	17
K02909	0	10	3	57	0	1	1	0	86	12	0	7
K02911	0	10	2	34	0	0	0	0	135	19	0	6
K02913	3	15	7	56	0	0	0	1	139	22	0	12
K02914	0	6	0	25	0	0	0	0	21	5	0	6
K02916	0	21	9	36	0	0	0	1	163	5	0	15
K02919	0	17	4	32	0	0	0	0	209	22	0	22
K02926	0	71	11	117	0	0	0	2	518	54	0	39
K02931	2	34	13	134	0	0	0	0	498	45	0	36
K02933	3	45	7	127	4	0	1	2	485	56	2	25
K02935	0	38	15	83	0	1	1	0	267	17	0	17
K02939	1	31	8	118	0	0	0	0	159	18	0	29
K02945	1	93	20	212	2	2	0	5	821	102	1	81
K02946	4	25	17	110	0	0	0	0	300	35	0	25
K02948	0	48	2	118	0	0	1	0	531	39	1	27
K02950	5	41	8	126	1	0	0	4	456	47	0	24
K02952	0	56	11	138	2	0	2	0	441	41	2	47
K02954	1	22	7	55	0	0	0	0	202	22	0	5
K02956	0	20	4	53	1	0	0	0	198	35	0	27
K02959	1	22	12	54	0	0	1	4	146	12	0	18
K02961	0	30	2	69	0	0	0	0	248	25	0	17
K02963	3	23	2	43	1	0	2	1	105	11	0	3
K02965	1	34	6	77	0	0	2	0	292	25	0	6
K02967	2	88	19	175	0	1	2	2	605	55	0	41
K02968	0	25	5	34	0	0	2	0	127	3	0	9
