ID	Function	Count
pVOG0050	dCMP deaminase	2
pVOG0052	RNA polymerase sigma factor	138
pVOG0058	PhoH-like phosphate starvation-inducible	59
pVOG0092	Thymidylate synthase	263
pVOG0094	DNA binding protein	6
pVOG0186	exonuclease	30
pVOG0221	integrase	112
pVOG0226	Single-stranded DNA-binding protein	53
pVOG0274	Prophage bactoprenol glucosyl transferase 	29
pVOG0275	integrase	21
pVOG0372	DNA ligase	100
pVOG0382	DNA topoisomerase II large subunit	120
pVOG0384	DNA gyrase subunit A	63
pVOG0420	Anaerobic ribonucleoside-triphosphate reductase	597
pVOG0440	Autonomous glycyl radical cofactor	103
pVOG0496	dihydrofolate reductase	42
pVOG0514	unannotated protein	19
pVOG0682	hypothetical protein	69
pVOG0705	FtsK/SpoIIIE-like protein	225
pVOG0727	minor tail protein	3
pVOG0796	terminase small subunit	90
pVOG0800	unannotated protein	37
pVOG0985	ParA-like partition protein	37
pVOG10106	ribonucleoside-diphosphate reductase beta subunit	95
pVOG1030	thymidine kinase	76
pVOG1047	exonuclease	436
pVOG1198	DNA polymerase	129
pVOG1279	hypothetical protein	20
pVOG1295	hypothetical protein	20
pVOG1304	hypothetical protein	111
pVOG1850	Multifunctional CCA protein	50
pVOG2406	hypothetical protein	28
pVOG3235	GMP reductase	183
pVOG4125	Phosphoribosylformylglycinamidine cyclo-ligase	27
pVOG4410	Glucose-6-phosphate 1-dehydrogenase	9
pVOG4524	Phosphoribosylaminoimidazole-succinocarboxamide synthase	1
pVOG4552	anti-repressor Ant	30
pVOG4573	head maturation protease	1
pVOG4609	DNA helicase	764
pVOG4649	endolysin	1
pVOG4673	transcriptional regulator	72
pVOG4705	hypothetical protein	15
pVOG4713	head-tail adaptor	35
pVOG4724	L-alanyl-D-glutamate peptidase	69
pVOG4772	Exo-glucosaminidase LytG	13
pVOG5280	replication terminator	4
pVOG5317	hypothetical protein	6
pVOG5979	phospho-2-dehydro-3-deoxyheptonate aldolase	1
pVOG6513	60 kDa chaperonin	23
pVOG6988	hypothetical protein	220
pVOG7656	superinfection exclusion	112
pVOG8021	ATP-dependent Clp protease ATP-binding subunit ClpA	164
pVOG8303	S-adenosylmethionine synthase	138
pVOG8599	Thymidylate synthase	2
pVOG8607	ribonucleotide reductase large subunit	61
pVOG8616	NH(3)-dependent NAD(+) synthetase	26
pVOG8908	Cold shock protein 1	60
pVOG8992	dTDP-4-dehydrorhamnose 3,5-epimerase	35
pVOG9205	DNA polymerase	150
pVOG9502	amidase	154
pVOG9876	Phosphoribosylglycinamide formyltransferase	7
