L1	ID	Function	EC	Count
integration and excision	phrog_1	integrase		5
DNA, RNA and nucleotide metabolism	phrog_10276	DNA repair protein		2
unknown function	phrog_10277	hypothetical		22
unknown function	phrog_1029	hypothetical		48
unknown function	phrog_10430	hypothetical		11
DNA, RNA and nucleotide metabolism	phrog_10616	ribonucleotide reductase		4
unknown function	phrog_10724	hypothetical		2
other	phrog_10912	kinase		10
moron, auxiliary metabolic gene and host takeover	phrog_1112	phosphoribosylaminoimidazole-succinocarboxamide synthase		12
DNA, RNA and nucleotide metabolism	phrog_11145	DNA binding protein		6
unknown function	phrog_11208	hypothetical		2
unknown function	phrog_11383	hypothetical		2
unknown function	phrog_11396	hypothetical		67
unknown function	phrog_11530	hypothetical		2
other	phrog_11787	DNA methyltransferase		21
unknown function	phrog_11857	hypothetical		17
unknown function	phrog_11956	hypothetical		54
unknown function	phrog_1202	hypothetical		3
unknown function	phrog_12033	hypothetical		35
moron, auxiliary metabolic gene and host takeover	phrog_1207	phosphoribosylaminoimidazole synthetase		2
unknown function	phrog_1209	hypothetical		7
DNA, RNA and nucleotide metabolism	phrog_1211	2-aminooxy adenylosuccinate synthetase		19
unknown function	phrog_12136	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_1227	exonuclease		7
other	phrog_12316	ATPase		52
DNA, RNA and nucleotide metabolism	phrog_125	DNA invertase		26
DNA, RNA and nucleotide metabolism	phrog_1252	DNA polymerase		3
unknown function	phrog_1270	hypothetical		4
unknown function	phrog_12710	hypothetical		67
unknown function	phrog_12787	hypothetical		7
tail	phrog_1293	tail length tape measure protein		144
transcription regulation	phrog_130	anti-repressor Ant		3
unknown function	phrog_13226	hypothetical		5
unknown function	phrog_134	hypothetical		6
moron, auxiliary metabolic gene and host takeover	phrog_1358	FtsK/SpoIIIE-like protein		9
moron, auxiliary metabolic gene and host takeover	phrog_13700	FtsK/SpoIIIE-like protein		3
unknown function	phrog_13725	hypothetical		1
unknown function	phrog_13807	hypothetical		28
DNA, RNA and nucleotide metabolism	phrog_13933	nuclease		18
DNA, RNA and nucleotide metabolism	phrog_140	RusA-like Holliday junction resolvase		7
unknown function	phrog_14241	hypothetical		6
unknown function	phrog_14336	hypothetical		17
unknown function	phrog_14448	hypothetical		251
unknown function	phrog_1499	hypothetical		78
unknown function	phrog_1548	hypothetical		2
unknown function	phrog_15585	hypothetical		1
unknown function	phrog_15614	hypothetical		10
unknown function	phrog_15639	hypothetical		1
unknown function	phrog_1569	hypothetical		5
transcription regulation	phrog_15968	anti-repressor		21
unknown function	phrog_15996	hypothetical		3
DNA, RNA and nucleotide metabolism	phrog_16	DNA helicase		6
DNA, RNA and nucleotide metabolism	phrog_160	thymidylate synthase		12
unknown function	phrog_16020	hypothetical		1
unknown function	phrog_16087	hypothetical		4
unknown function	phrog_16140	hypothetical		108
unknown function	phrog_1618	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_164	ParA-like partition protein		6
unknown function	phrog_16655	hypothetical		24
tail	phrog_167	tail length tape measure protein		17
unknown function	phrog_16728	hypothetical		2
unknown function	phrog_16797	hypothetical		15
other	phrog_170	PhoH-like phosphate starvation-inducible		6
unknown function	phrog_17128	hypothetical		6
unknown function	phrog_17321	hypothetical		894
unknown function	phrog_17390	hypothetical		25
moron, auxiliary metabolic gene and host takeover	phrog_1741	QueC-like queuosine biosynthesis		15
unknown function	phrog_18394	hypothetical		36
unknown function	phrog_18628	hypothetical		21
unknown function	phrog_18916	hypothetical		47
unknown function	phrog_19271	hypothetical		8
unknown function	phrog_19422	hypothetical		4
unknown function	phrog_19509	hypothetical		11
unknown function	phrog_19526	hypothetical		5
unknown function	phrog_1977	hypothetical		7
unknown function	phrog_19793	hypothetical		14
unknown function	phrog_19918	hypothetical		48
unknown function	phrog_19980	hypothetical		14
DNA, RNA and nucleotide metabolism	phrog_20354	DNA topoisomerase II		5
other	phrog_20590	peptidase		3
unknown function	phrog_21110	hypothetical		37
unknown function	phrog_21263	hypothetical		59
unknown function	phrog_21327	hypothetical		17
moron, auxiliary metabolic gene and host takeover	phrog_21469	ribosomal protein S21		1
integration and excision	phrog_216	integrase		1
unknown function	phrog_21628	hypothetical		9
unknown function	phrog_21682	hypothetical		1
unknown function	phrog_21942	hypothetical		22
DNA, RNA and nucleotide metabolism	phrog_2244	tRNA nucleotidyltransferase		13
unknown function	phrog_22485	hypothetical		45
unknown function	phrog_2277	hypothetical		1
unknown function	phrog_23041	hypothetical		8
other	phrog_2361	serine-threonine kinase		1
moron, auxiliary metabolic gene and host takeover	phrog_2392	ABC transporter		116
unknown function	phrog_23947	hypothetical		16
unknown function	phrog_24316	hypothetical		3
unknown function	phrog_24349	hypothetical		219
unknown function	phrog_24466	hypothetical		11
unknown function	phrog_24931	hypothetical		1
unknown function	phrog_25097	hypothetical		24
DNA, RNA and nucleotide metabolism	phrog_252	Bet-like ssDNA annealing protein		5
unknown function	phrog_25354	hypothetical		143
unknown function	phrog_25370	hypothetical		7
DNA, RNA and nucleotide metabolism	phrog_256	DNA helicase		2
unknown function	phrog_25828	hypothetical		14
DNA, RNA and nucleotide metabolism	phrog_2597	DNA primase		182
unknown function	phrog_26214	hypothetical		56
other	phrog_2640	zinc containing alcohol dehydrogenase superfamily		1
unknown function	phrog_26606	hypothetical		3
other	phrog_26699	DNA methyltransferase		4
unknown function	phrog_26774	hypothetical		2
unknown function	phrog_26846	hypothetical		4
unknown function	phrog_2713	hypothetical		1
unknown function	phrog_27533	hypothetical		13
DNA, RNA and nucleotide metabolism	phrog_2760	RecT-like ssDNA annealing protein		4
DNA, RNA and nucleotide metabolism	phrog_27667	single strand DNA binding protein		5
unknown function	phrog_27769	hypothetical		2
unknown function	phrog_27849	hypothetical		52
unknown function	phrog_28030	hypothetical		3
unknown function	phrog_28378	hypothetical		40
unknown function	phrog_28604	hypothetical		3
unknown function	phrog_28637	hypothetical		2
unknown function	phrog_28663	hypothetical		13
unknown function	phrog_2895	hypothetical		6
lysis	phrog_291	endolysin		85
moron, auxiliary metabolic gene and host takeover	phrog_293	ABC transporter		79
unknown function	phrog_29364	hypothetical		2
transcription regulation	phrog_2977	anti-repressor		7
unknown function	phrog_29784	hypothetical		38
unknown function	phrog_29996	hypothetical		1
unknown function	phrog_30090	hypothetical		11
unknown function	phrog_30120	hypothetical		16
unknown function	phrog_30171	hypothetical		1
unknown function	phrog_30201	hypothetical		6
unknown function	phrog_30501	hypothetical		6
unknown function	phrog_30623	hypothetical		4
unknown function	phrog_30628	hypothetical		1
unknown function	phrog_30773	hypothetical		30
unknown function	phrog_31116	hypothetical		18
unknown function	phrog_31529	hypothetical		25
DNA, RNA and nucleotide metabolism	phrog_316	dihydrofolate reductase		3
unknown function	phrog_31717	hypothetical		1
unknown function	phrog_32098	hypothetical		6
unknown function	phrog_32699	hypothetical		2
head and packaging	phrog_328	head maturation protease		2
unknown function	phrog_32805	hypothetical		37
unknown function	phrog_32851	hypothetical		33
unknown function	phrog_33002	hypothetical		7
unknown function	phrog_33286	hypothetical		2
unknown function	phrog_34276	hypothetical		11
unknown function	phrog_34613	hypothetical		27
unknown function	phrog_34724	hypothetical		18
unknown function	phrog_35063	hypothetical		47
transcription regulation	phrog_351	RNA polymerase sigma factor		10
lysis	phrog_3513	endolysin		2
unknown function	phrog_35155	hypothetical		10
unknown function	phrog_35435	hypothetical		29
moron, auxiliary metabolic gene and host takeover	phrog_3551	FtsK/SpoIIIE-like protein		1
other	phrog_35515	thymidine kinase		8
tail	phrog_3558	tail protein		55
unknown function	phrog_35619	hypothetical		4
unknown function	phrog_35649	hypothetical		7
unknown function	phrog_35693	hypothetical		6
head and packaging	phrog_361	terminase small subunit		1
unknown function	phrog_3622	hypothetical		2
head and packaging	phrog_3717	terminase large subunit		32
unknown function	phrog_37310	hypothetical		12
unknown function	phrog_3745	hypothetical		14
DNA, RNA and nucleotide metabolism	phrog_379	DNA binding protein		2
unknown function	phrog_38523	hypothetical		6
unknown function	phrog_38585	hypothetical		23
DNA, RNA and nucleotide metabolism	phrog_3869	NAD-dependent DNA ligase		8
unknown function	phrog_398	hypothetical		25
unknown function	phrog_3980	hypothetical		13
unknown function	phrog_3993	hypothetical		2
connector	phrog_4014	head-tail adaptor		1
DNA, RNA and nucleotide metabolism	phrog_405	DNA polymerase		16
unknown function	phrog_4339	hypothetical		6
DNA, RNA and nucleotide metabolism	phrog_44	single strand DNA binding protein		35
tail	phrog_441	tail assembly chaperone		7
DNA, RNA and nucleotide metabolism	phrog_4412	exonuclease V		6
other	phrog_4602	transglycosylase		5
unknown function	phrog_4609	hypothetical		8
