L1	L2	L3	L4	ID	Function	EC	Count
Nucleotide transport and metabolism	Purine salvage	XapA	1YQQ	COG0005	Purine nucleoside phosphorylase		12
Amino acid transport and metabolism		PepP	1A16	COG0006	Xaa-Pro aminopeptidase		12
Translation, ribosomal structure and biogenesis	Heme biosynthesis	GlnS	1EUQ	COG0008	Glutamyl- or glutaminyl-tRNA synthetase		9
Translation, ribosomal structure and biogenesis		GTP1	2DWQ	COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family		9
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AlaS	2ZZE	COG0013	Alanyl-tRNA synthetase		10
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	PheS	3L4G	COG0016	Phenylalanyl-tRNA synthetase alpha subunit		8
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AsnS	3KFU	COG0017	Aspartyl/asparaginyl-tRNA synthetase		14
Lipid transport and metabolism		UppS	1X07	COG0020	Undecaprenyl pyrophosphate synthase		8
Carbohydrate transport and metabolism	Pentose phosphate pathway	TktA	1AY0	COG0021	Transketolase		12
Energy production and conversion	Pyruvate oxidation	AcoB	2OZL	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit		11
Translation, ribosomal structure and biogenesis		Map	3J2I	COG0024	Methionine aminopeptidase		6
Inorganic ion transport and metabolism		NhaP	4CZB	COG0025	NhaP-type Na+/H+ or K+/H+ antiporter		2
Nucleotide transport and metabolism	Purine biosynthesis	PurK	1B6R	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)		2
Amino acid transport and metabolismCoenzyme transport and metabolism	Isoleucine, leucine, valine biosynthesis	IlvB	1BFD	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		1
Coenzyme transport and metabolism	NAD biosynthesis	NadB	1KNP	COG0029	Aspartate oxidase		2
Translation, ribosomal structure and biogenesis	16S rRNA modification	RsmA	1QYR	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)		4
Nucleotide transport and metabolism	Purine biosynthesis	PurF	1ECB	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase		8
Nucleotide transport and metabolism	Pyrimidine salvage	Upp	2EHJ	COG0035	Uracil phosphoribosyltransferase		11
Carbohydrate transport and metabolism	Pentose phosphate pathway	Rpe	1H1Y	COG0036	Pentose-5-phosphate-3-epimerase		8
