L1	ID	Function	EC	Count
integration and excision	phrog_1	integrase		3
unknown function	phrog_10277	hypothetical		3
unknown function	phrog_1029	hypothetical		13
unknown function	phrog_10430	hypothetical		4
DNA, RNA and nucleotide metabolism	phrog_10616	ribonucleotide reductase		3
other	phrog_10912	kinase		1
DNA, RNA and nucleotide metabolism	phrog_11145	DNA binding protein		3
unknown function	phrog_11383	hypothetical		4
unknown function	phrog_11396	hypothetical		21
head and packaging	phrog_115	minor head protein		1
unknown function	phrog_11530	hypothetical		1
other	phrog_11787	DNA methyltransferase		3
unknown function	phrog_11857	hypothetical		5
unknown function	phrog_11956	hypothetical		12
unknown function	phrog_1202	hypothetical		2
unknown function	phrog_12033	hypothetical		12
moron, auxiliary metabolic gene and host takeover	phrog_1207	phosphoribosylaminoimidazole synthetase		2
unknown function	phrog_1209	hypothetical		3
DNA, RNA and nucleotide metabolism	phrog_1211	2-aminooxy adenylosuccinate synthetase		3
other	phrog_12316	ATPase		25
DNA, RNA and nucleotide metabolism	phrog_125	DNA invertase		10
unknown function	phrog_12710	hypothetical		12
unknown function	phrog_12787	hypothetical		12
tail	phrog_1293	tail length tape measure protein		19
unknown function	phrog_13226	hypothetical		2
unknown function	phrog_134	hypothetical		4
unknown function	phrog_13807	hypothetical		8
DNA, RNA and nucleotide metabolism	phrog_13933	nuclease		4
DNA, RNA and nucleotide metabolism	phrog_140	RusA-like Holliday junction resolvase		2
unknown function	phrog_14241	hypothetical		6
unknown function	phrog_14336	hypothetical		3
unknown function	phrog_14448	hypothetical		24
unknown function	phrog_1463	hypothetical		1
unknown function	phrog_1499	hypothetical		4
unknown function	phrog_15614	hypothetical		3
unknown function	phrog_1569	hypothetical		6
transcription regulation	phrog_15968	anti-repressor		5
unknown function	phrog_15996	hypothetical		6
DNA, RNA and nucleotide metabolism	phrog_160	thymidylate synthase		1
unknown function	phrog_16087	hypothetical		7
unknown function	phrog_16140	hypothetical		23
unknown function	phrog_1618	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_164	ParA-like partition protein		2
unknown function	phrog_16655	hypothetical		3
unknown function	phrog_16694	hypothetical		2
