L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00003	Homoserine dehydrogenase	1.1.1.3	hom	5
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00003	Homoserine dehydrogenase	1.1.1.3	hom	5
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00003	Homoserine dehydrogenase	1.1.1.3	hom	5
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00005	Glycerol dehydrogenase	1.1.1.6	gldA	8
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K00005	Glycerol dehydrogenase	1.1.1.6	gldA	8
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	9
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	9
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	9
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	9
Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	K00013	Histidinol dehydrogenase	1.1.1.23	hisD	17
Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	K00014	Shikimate dehydrogenase	1.1.1.25	aroE	2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	24
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	24
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	24
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	24
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	24
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	24
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	24
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	24
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00020	3-hydroxyisobutyrate dehydrogenase	1.1.1.31	HIBADH, mmsB	2
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00027	Malate dehydrogenase (oxaloacetate-decarboxylating)	1.1.1.38	ME2, sfcA, maeA	96
