L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00003	Homoserine dehydrogenase	1.1.1.3	hom	4
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00003	Homoserine dehydrogenase	1.1.1.3	hom	4
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00003	Homoserine dehydrogenase	1.1.1.3	hom	4
Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	K00014	Shikimate dehydrogenase	1.1.1.25	aroE	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	171
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	171
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	171
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	171
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	171
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	171
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	171
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	171
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00019	3-hydroxybutyrate dehydrogenase	1.1.1.30	E1.1.1.30, bdh	2
Metabolism	Lipid metabolism	Synthesis and degradation of ketone bodies [PATH:ko00072]	K00019	3-hydroxybutyrate dehydrogenase	1.1.1.30	E1.1.1.30, bdh	2
