ID	Function	Count
GVOG00572	no_annotation	1
GVOG01350	no_annotation	10
GVOG01498	no_annotation	4
GVOG01528	methylated-DNA-protein-cysteine methyltransferase	2
GVOG01710	bifunctional purine biosynthesis protein	2
GVOG01720	cysteinyl-tRNA synthetase	10
GVOG02016	no_annotation	29
GVOG02020	no_annotation	22
GVOG02031	arginyl-tRNA synthetase	4
GVOG02043	no_annotation	8
GVOG02335	no_annotation	2
GVOG02361	no_annotation	22
GVOG02592	adenosylhomocysteinase	1
GVOG02675	no_annotation	2
GVOG02694	no_annotation	19
GVOG02973	ribonuclease H	12
GVOG03397	AP (apurinic) endonuclease family 2	1
GVOG03820	macrocin o-methyltransferase	2
GVOG04231	no_annotation	6
GVOG04441	aminopeptidase	13
GVOG04462	no_annotation	18
GVOG04464	no_annotation	2
GVOG04787	uncharacterized protein	16
GVOG04798	no_annotation	9
GVOG05780	metallopeptidase WLM	2
GVOG06238	GTP binding translation elongation factor	5
GVOG06317	no_annotation	5
GVOG06713	no_annotation	4
GVOG07320	DNA topoisomerase I	1
GVOG07706	no_annotation	3
GVOG07994	no_annotation	27
GVOG08082	asparagine synthase	11
GVOG08671	no_annotation	1
GVOG09032	asparagine synthase	10
GVOG09716	FAD-dependent thymidylate synthase	1
GVOG09758	ABC transporter	2
GVOG10135	uracil-DNA glycosylase	4
GVOG10800	GTP binding translation elongation factor	4
GVOG11896	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2	51
GVOGm0074	DNA mismatch repair protein	3
GVOGm0082	ABC transporter	3
GVOGm0163	bifunctional dihydrofolate reductase-thymidylate synthase	7
GVOGm0274	no_annotation	14
GVOGm0307	no_annotation	1
GVOGm0309	uracil-DNA glycosylase	2
GVOGm0454	bifunctional dihydrofolate reductase-thymidylate synthase	19
GVOGm0505	no_annotation	7
GVOGm0548	Hsp70 protein | heat shock protein 70	40
GVOGm0578	DnaJ domain	9
GVOGm0620	putative apurinic-apyrimidinic endonuclease 1	4
GVOGm0678	DNA topoisomerase I	7
GVOGm0757	asparaginyl t-RNA synthetase	23
GVOGm0952	structural PPIase-like protein	5
GVOGm0973	exodeoxyribonuclease VII large subunit	5
GVOGm1002	no_annotation	1
GVOGm1079	BRO-like protein | ALI motif family protein | T5orf172 domain | BRO-N domain protein	5
GVOGm1119	guanosine monophosphate reductase	15
GVOGm1122	no_annotation	4
GVOGm1245	no_annotation	9
GVOGm1269	ABC transporter	6
GVOGm1313	Hsp70 protein | heat shock protein 70	5
GVOGm1352	GTP binding translation elongation factor	6
GVOGm1378	DEAD/SNF2-like helicase | DEAD/SNF2-like helicase	19
GVOGm1420	no_annotation	13
GVOGm1450	putative ubiquitin-activating enzyme E1	2
GVOGm1482	no_annotation	1
GVOGm1504	isoleucyl-tRNA synthetase	11
GVOGm1509	no_annotation	9
GVOGm1601	uncharacterized protein	14
GVOGm1785	no_annotation	1
