ID	Function	Gene	Count
TIGR00002	ribosomal protein bS16	rpsP	26
TIGR00005	pseudouridine synthase, RluA family		26
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	rsmH	13
TIGR00008	translation initiation factor IF-1	infA	39
TIGR00009	ribosomal protein bL28	rpmB	6
TIGR00010	hydrolase, TatD family		30
TIGR00011	Cys-tRNA(Pro) deacylase	ybaK	15
TIGR00012	ribosomal protein uL29	rpmC	21
TIGR00016	acetate kinase	ackA	45
TIGR00017	cytidylate kinase	cmk	27
TIGR00018	pantoate--beta-alanine ligase	panC	4
TIGR00019	peptide chain release factor 1	prfA	101
TIGR00020	peptide chain release factor 2	prfB	132
TIGR00021	ribose 5-phosphate isomerase A	rpiA	28
TIGR00030	ribosomal protein bS21	rpsU	3
TIGR00031	UDP-galactopyranose mutase	glf	1
TIGR00032	argininosuccinate synthase	argG	1
TIGR00033	chorismate synthase	aroC	7
TIGR00038	translation elongation factor P	efp	5
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	rdgB	6
TIGR00043	rRNA maturation RNase YbeY	ybeY	20
TIGR00045	glycerate kinase		9
TIGR00048	23S rRNA (adenine(2503)-C(2))-methyltransferase	rlmN	6
TIGR00054	RIP metalloprotease RseP	rseP	3
TIGR00055	di-trans,poly-cis-decaprenylcistransferase	uppS	35
TIGR00056	ABC transport permease subunit		1
TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family		5
TIGR00059	ribosomal protein bL17	rplQ	15
TIGR00060	ribosomal protein uL18	rplR	16
TIGR00061	ribosomal protein bL21	rplU	3
TIGR00062	ribosomal protein bL27	rpmA	16
TIGR00063	GTP cyclohydrolase I	folE	4
TIGR00064	signal recognition particle-docking protein FtsY	ftsY	80
TIGR00065	cell division protein FtsZ	ftsZ	83
TIGR00067	glutamate racemase	murI	11
TIGR00069	histidinol dehydrogenase	hisD	14
TIGR00070	ATP phosphoribosyltransferase	hisG	2
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)	nadC	20
TIGR00079	peptide deformylase	def	3
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC	5
TIGR00086	SsrA-binding protein	smpB	12
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase	trmD	30
TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family		5
TIGR00090	ribosome silencing factor	rsfS	3
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	trmB	13
TIGR00092	GTP-binding protein YchF	ychF	118
TIGR00093	pseudouridine synthase		3
TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	rsmD	2
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	9
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	27
TIGR00099	Cof-like hydrolase		37
TIGR00101	urease accessory protein UreG	ureG	4
TIGR00105	ribosomal protein bL31	rpmE	3
TIGR00107	purine nucleoside phosphorylase	deoD	30
TIGR00110	dihydroxy-acid dehydratase	ilvD	8
TIGR00112	pyrroline-5-carboxylate reductase	proC	4
TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	30
TIGR00114	6,7-dimethyl-8-ribityllumazine synthase	ribH	3
TIGR00115	trigger factor	tig	46
TIGR00116	translation elongation factor Ts	tsf	22
TIGR00118	acetolactate synthase, large subunit, biosynthetic type	ilvB	18
TIGR00126	deoxyribose-phosphate aldolase	deoC	9
TIGR00128	malonyl CoA-acyl carrier protein transacylase	fabD	1
TIGR00131	galactokinase	galK	10
TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	gatA	113
TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	gatB	25
TIGR00136	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	gidA	180
TIGR00137	tRNA:m(5)U-54 methyltransferase	trmFO	121
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG	11
TIGR00147	lipid kinase, YegS/Rv2252/BmrU family		8
TIGR00150	tRNA threonylcarbamoyl adenosine modification protein YjeE		4
TIGR00151	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ispF	1
TIGR00159	TIGR00159 family protein		24
TIGR00160	methylglyoxal synthase	mgsA	45
TIGR00164	phosphatidylserine decarboxylase homolog		1
TIGR00165	ribosomal protein bS18	rpsR	14
TIGR00167	ketose-bisphosphate aldolase		6
TIGR00168	translation initiation factor IF-3	infC	36
TIGR00169	3-isopropylmalate dehydrogenase	leuB	4
TIGR00170	3-isopropylmalate dehydratase, large subunit	leuC	11
TIGR00174	tRNA dimethylallyltransferase	miaA	16
TIGR00180	ParB/RepB/Spo0J family partition protein		1
TIGR00181	oligoendopeptidase F	pepF	39
TIGR00182	fatty acid/phospholipid synthesis protein PlsX	plsX	9
TIGR00184	adenylosuccinate synthase	purA	91
TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase	trmL	9
TIGR00186	RNA methyltransferase, TrmH family, group 3		27
TIGR00192	urease, beta subunit	ureB	7
TIGR00193	urease, gamma subunit	ureA	2
TIGR00194	excinuclease ABC subunit C	uvrC	29
TIGR00195	exodeoxyribonuclease III	xth	2
TIGR00198	catalase/peroxidase HPI	katG	6
TIGR00200	competence/damage-inducible protein CinA N-terminal domain		13
TIGR00204	1-deoxy-D-xylulose-5-phosphate synthase	dxs	5
TIGR00211	glycine--tRNA ligase, beta subunit	glyS	39
TIGR00216	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	1
TIGR00222	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	2
TIGR00225	C-terminal processing peptidase		24
TIGR00232	transketolase	tkt	103
