L1	ID	Function	EC	Count
unknown function	phrog_11396	hypothetical		1
unknown function	phrog_11956	hypothetical		2
unknown function	phrog_12136	hypothetical		1
head and packaging	phrog_13257	head maturation protease		2
unknown function	phrog_134	hypothetical		1
unknown function	phrog_14448	hypothetical		2
DNA, RNA and nucleotide metabolism	phrog_160	thymidylate synthase		2
unknown function	phrog_18070	hypothetical		3
unknown function	phrog_21263	hypothetical		4
integration and excision	phrog_2331	transposase		1
moron, auxiliary metabolic gene and host takeover	phrog_2392	ABC transporter		3
unknown function	phrog_23947	hypothetical		1
unknown function	phrog_24349	hypothetical		3
unknown function	phrog_25097	hypothetical		1
unknown function	phrog_27849	hypothetical		2
unknown function	phrog_28604	hypothetical		2
tail	phrog_28775	tail length tape measure protein		2
moron, auxiliary metabolic gene and host takeover	phrog_293	ABC transporter		1
unknown function	phrog_29784	hypothetical		1
unknown function	phrog_30171	hypothetical		1
unknown function	phrog_30773	hypothetical		1
unknown function	phrog_33002	hypothetical		1
unknown function	phrog_35063	hypothetical		1
head and packaging	phrog_3717	terminase large subunit		1
unknown function	phrog_37855	hypothetical		2
unknown function	phrog_3980	hypothetical		1
other	phrog_4871	ATP-dependent protease		7
unknown function	phrog_5620	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_6132	ribonucleotide reductase large subunit		2
unknown function	phrog_6907	hypothetical		1
tail	phrog_7389	tail fiber protein		1
other	phrog_7930	lipoprotein precursor		1
other	phrog_8995	phosphoribosyl transferase		2
other	phrog_9896	phosphofructokinase		1
