ID	Function	Source	Count
3a0107s01c2	phosphate ABC transporter ATP-binding protein PstB	TIGR00972	2
3a0501s007	preprotein translocase subunit SecY	TIGR00967	2
ATP_syn_A_arch	ATP synthase subunit A	TIGR01043	1
ATPase-IIA1_Ca	calcium-translocating P-type ATPase, SERCA-type	TIGR01116	1
C69_fam_dipept	C69 family dipeptidase		1
C_S_lyase_PatB	PatB family C-S lyase	TIGR04350	1
ChvE	sugar ABC transporter substrate-binding protein		3
CofD_related	uridine diphosphate-N-acetylglucosamine-binding protein YvcK	TIGR01826	1
DnaA	chromosomal replication initiator protein DnaA	TIGR00362	1
DnaB	DnaB-like helicase N-terminal domain-containing protein	PF00772.23	1
DnaB	replicative DNA helicase	TIGR00665	1
ECF_ATPase_2	energy-coupling factor transporter ATPase	TIGR04521	1
EF-G	elongation factor G	TIGR00484	3
FtsH_fam	ATP-dependent zinc metalloprotease FtsH	TIGR01241	2
GAPDH-I	type I glyceraldehyde-3-phosphate dehydrogenase	TIGR01534	2
GTP_HflX	GTPase HflX	TIGR03156	1
GldA_ABC_ATP	gliding motility-associated ABC transporter ATP-binding subunit GldA	TIGR03522	1
GlnA	type I glutamate--ammonia ligase	TIGR00653	1
GyrA_w_intein	intein-containing DNA gyrase subunit A		2
HK_WalK	cell wall metabolism sensor histidine kinase WalK		4
L6_bact	50S ribosomal protein L6	TIGR03654	1
LTA_dltB	D-alanyl-lipoteichoic acid biosynthesis protein DltB	TIGR04091	1
NDP-sugDHase	nucleotide sugar dehydrogenase	TIGR03026	2
PRK00026.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD	PRK00026	1
PRK00074.1	glutamine-hydrolyzing GMP synthase	PRK00074	2
PRK00089.1	GTPase Era	PRK00089	2
PRK00133.1	methionine--tRNA ligase	PRK00133	2
PRK00147.1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	PRK00147	1
PRK00290.1	molecular chaperone DnaK	PRK00290	2
PRK00349.1	excinuclease ABC subunit UvrA	PRK00349	2
PRK00364.2-2	co-chaperone GroES	PRK00364	1
PRK00393.1	GTP cyclohydrolase II RibA	PRK00393	1
PRK00443.1-1	glucosamine-6-phosphate deaminase	PRK00443	1
PRK00448.1	PolC-type DNA polymerase III	PRK00448	2
PRK00484.1	lysine--tRNA ligase	PRK00484	1
PRK00768.1	ammonia-dependent NAD(+) synthetase	PRK00768	1
PRK00893.1-3	aspartate carbamoyltransferase regulatory subunit	PRK00893	1
PRK00911.1	dihydroxy-acid dehydratase	PRK00911	1
PRK01060.1-1	deoxyribonuclease IV	PRK01060	2
PRK01103.1	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	PRK01103	1
PRK01966.1-3	D-alanine--D-alanine ligase	PRK01966	1
PRK02001.1	ribosome assembly cofactor RimP	PRK02001	1
PRK02813.1	M18 family aminopeptidase	PRK02813	1
PRK02929.1	L-arabinose isomerase	PRK02929	1
PRK03932.1	asparagine--tRNA ligase	PRK03932	1
PRK04813.1	D-alanine--poly(phosphoribitol) ligase subunit DltA	PRK04813	2
PRK05170.2-5	YcgN family cysteine cluster protein	PRK05170	1
PRK05182.2-4	DNA-directed RNA polymerase subunit alpha	PRK05182	1
PRK05261.1-4	phosphoketolase	PRK05261	2
PRK05270.1-3	UDP-glucose--hexose-1-phosphate uridylyltransferase	PRK05270	2
PRK05290.1	hydroxylamine reductase	PRK05290	1
PRK05298.1	excinuclease ABC subunit UvrB	PRK05298	3
PRK05371.1-2	Xaa-Pro dipeptidyl-peptidase	PRK05371	1
PRK05399.1	DNA mismatch repair protein MutS	PRK05399	1
PRK05476.3-2	adenosylhomocysteinase	PRK05476	2
PRK05477.1-1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	PRK05477	1
PRK05477.1-4	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	PRK05477	2
