ID	Function	Source	Count
2A0118	RbtT/DalT/CsbX family MFS transporter	TIGR00897	1
2A0602	efflux RND transporter permease subunit	TIGR00915	6
3a0107s01c2	phosphate ABC transporter ATP-binding protein PstB	TIGR00972	75
3a0107s02c	phosphate ABC transporter permease PstA	TIGR00974	9
3a0107s03	phosphate ABC transporter substrate-binding protein PstS	TIGR00975	2
3a0501s007	preprotein translocase subunit SecY	TIGR00967	31
3oxo_ACP_reduc	3-oxoacyl-[acyl-carrier-protein] reductase	TIGR01830	25
5S_RNA_mat_M5	ribonuclease M5	TIGR00334	1
5aminolev_synth	5-aminolevulinate synthase	TIGR01821	8
ABC2_perm_RbbA	ribosome-associated ATPase/putative transporter RbbA		1
ABCF_OptrA	ABC-F type ribosomal protection protein OptrA		1
ABC_ABC_ChvD	energy-dependent translational throttle protein EttA	TIGR03719	4
ABC_ATP_DarD	darobactin export ABC transporter ATP-binding protein		1
ABC_MetN	methionine ABC transporter ATP-binding protein MetN	TIGR02314	6
ABC_arch_GlcV	glucose ABC transporter ATP-binding protein GlcV		3
ABC_choXWV_perm	choline ABC transporter permease subunit	TIGR03416	6
ABC_lipo_SloC	metal ABC transporter substrate-binding lipoprotein		25
ABC_perm_SloB	metal ABC transporter permease subunit		37
ABC_phnC	phosphonate ABC transporter ATP-binding protein	TIGR02315	19
ATP_dep_HslV	HslU--HslV peptidase proteolytic subunit	TIGR03692	21
ATP_synt_c	ATP synthase F0 subunit C	TIGR01260	4
ATPase-IB1_Cu	copper-translocating P-type ATPase	TIGR01511	9
ATPase-IB2_Cd	cadmium family heavy metal-translocating P-type ATPase	TIGR01512	12
ATPase-IB_hvy	heavy metal translocating P-type ATPase	TIGR01525	48
ATPase-IIA1_Ca	calcium-translocating P-type ATPase, SERCA-type	TIGR01116	22
ATPase-IIA2_Ca	calcium-transporting P-type ATPase, PMR1-type	TIGR01522	14
ATPase-IIB_Ca	calcium-translocating P-type ATPase, PMCA-type	TIGR01517	8
ATPase-IIIB_Mg	magnesium-translocating P-type ATPase	TIGR01524	74
ATPase_ComGA	competence type IV pilus ATPase ComGA		14
ATPase_P-type	HAD-IC family P-type ATPase	TIGR01494	16
ATPsyn_F1gamma	ATP synthase F1 subunit gamma	TIGR01146	3
AblA_like_2	lysine-2,3-aminomutase-like protein	TIGR03822	6
AcCoA-C-Actrans	acetyl-CoA C-acyltransferase	TIGR01930	15
AccA_sub	carboxyltransferase subunit alpha		1
AhpC	alkyl hydroperoxide reductase subunit C	TIGR03137	26
AhpF	alkyl hydroperoxide reductase subunit F	TIGR03140	4
AhpF_homolog	putative alkyl hydroperoxide reductase F subunit	TIGR03143	48
Asp_Ala_antiprt	aspartate-alanine antiporter	TIGR03802	10
AztA	zinc ABC transporter ATP-binding protein AztA		6
BCCP	acetyl-CoA carboxylase biotin carboxyl carrier protein	TIGR00531	5
BGL	GH1 family beta-glucosidase	TIGR03356	5
C69_fam_dipept	C69 family dipeptidase		36
CBO2463_dom	CBO2463/CBO2479 domain-containing protein		15
CBS_CbpA	cyclic di-AMP binding protein CbpA		17
CBS_CbpB	cyclic-di-AMP-binding protein CbpB		8
CDF	cation diffusion facilitator family transporter	TIGR01297	3
CPSaseII_lrg	carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit	TIGR01369	15
CPSaseIIsmall	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	TIGR01368	38
C_S_lyase_PatB	PatB family C-S lyase	TIGR04350	5
ChvE	sugar ABC transporter substrate-binding protein		44
ClpA	ATP-dependent Clp protease ATP-binding subunit ClpA	TIGR02639	14
CobT	Cobalamin biosynthesis protein CobT	PF06213.14	2
CobT	cobaltochelatase subunit CobT	TIGR01651	2
Cof-subfamily	Cof-type HAD-IIB family hydrolase	TIGR00099	8
CofD_related	uridine diphosphate-N-acetylglucosamine-binding protein YvcK	TIGR01826	27
ComEB	ComE operon protein 2	TIGR02571	7
CopY_TcrY	CopY/TcrY family copper transport repressor	TIGR02698	1
CtaD_CoxA	cytochrome c oxidase subunit I	TIGR02891	2
CydD	thiol reductant ABC exporter subunit CydD	TIGR02857	2
CyoB	cytochrome o ubiquinol oxidase subunit I	TIGR02843	23
CyoC	cytochrome o ubiquinol oxidase subunit III	TIGR02842	3
D-ala-DACP-lig	D-alanine--poly(phosphoribitol) ligase subunit DltA	TIGR01734	9
DAHP_synth_II	3-deoxy-7-phosphoheptulonate synthase class II	TIGR01358	5
DEAH_box_HrpB	ATP-dependent helicase HrpB	TIGR01970	1
DNA_S_dndA	cysteine desulfurase DndA	TIGR03235	3
DNA_bind_WhiA	DNA-binding protein WhiA	TIGR00647	18
D_pro_red_PrdA	D-proline reductase (dithiol) proprotein PrdA	TIGR04480	70
D_pro_red_PrdB	D-proline reductase (dithiol) protein PrdB	TIGR04483	75
DapD_Ac	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	TIGR03532	3
DapF	diaminopimelate epimerase	TIGR00652	1
Dhydh_Halo	D-2-hydroxyacid dehydrogenase		2
DivI1A_domain	DivIVA domain-containing protein	TIGR03544	5
DnaA	chromosomal replication initiator protein DnaA	TIGR00362	22
