L1	L2	L3	L4	ID	Function	EC	Count
Nucleotide transport and metabolism	Purine salvage	XapA	1YQQ	COG0005	Purine nucleoside phosphorylase		245
Amino acid transport and metabolism		PepP	1A16	COG0006	Xaa-Pro aminopeptidase		410
Translation, ribosomal structure and biogenesis	Heme biosynthesis	GlnS	1EUQ	COG0008	Glutamyl- or glutaminyl-tRNA synthetase		301
Translation, ribosomal structure and biogenesis	tRNA modification	TsaC	1HRU	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC		190
Translation, ribosomal structure and biogenesis		GTP1	2DWQ	COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family		464
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AlaS	2ZZE	COG0013	Alanyl-tRNA synthetase		551
Nucleotide transport and metabolism	Purine biosynthesis	PurB	2HVG	COG0015	Adenylosuccinate lyase		345
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	PheS	3L4G	COG0016	Phenylalanyl-tRNA synthetase alpha subunit		485
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AsnS	3KFU	COG0017	Aspartyl/asparaginyl-tRNA synthetase		359
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	ArgS	1BS2	COG0018	Arginyl-tRNA synthetase		56
Lipid transport and metabolism		UppS	1X07	COG0020	Undecaprenyl pyrophosphate synthase		252
Carbohydrate transport and metabolism	Pentose phosphate pathway	TktA	1AY0	COG0021	Transketolase		862
Energy production and conversion	Pyruvate oxidation	AcoB	2OZL	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit		762
Translation, ribosomal structure and biogenesis		Map	3J2I	COG0024	Methionine aminopeptidase		322
Inorganic ion transport and metabolism		NhaP	4CZB	COG0025	NhaP-type Na+/H+ or K+/H+ antiporter		16
Nucleotide transport and metabolism	Purine biosynthesis	PurK	1B6R	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)		181
Amino acid transport and metabolismCoenzyme transport and metabolism	Isoleucine, leucine, valine biosynthesis	IlvB	1BFD	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		34
Coenzyme transport and metabolism	NAD biosynthesis	NadB	1KNP	COG0029	Aspartate oxidase		158
Translation, ribosomal structure and biogenesis	16S rRNA modification	RsmA	1QYR	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)		140
Carbohydrate transport and metabolism		Pgm	1C47	COG0033	Phosphoglucomutase/phosphomannomutase		2
Nucleotide transport and metabolism	Purine biosynthesis	PurF	1ECB	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase		450
Nucleotide transport and metabolism	Pyrimidine salvage	Upp	2EHJ	COG0035	Uracil phosphoribosyltransferase		319
Carbohydrate transport and metabolism	Pentose phosphate pathway	Rpe	1H1Y	COG0036	Pentose-5-phosphate-3-epimerase		355
Translation, ribosomal structure and biogenesis	tRNA modification	TilS	1NI5	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ		37
Inorganic ion transport and metabolism		ClcA	1KPK	COG0038	H+/Cl- antiporter ClcA		63
Energy production and conversion	TCA cycle	Mdh	4WLO	COG0039	Malate/lactate dehydrogenase		306
