ID	Function	Count
GVOG00064	no_annotation	4
GVOG00572	no_annotation	5
GVOG01350	no_annotation	10
GVOG01498	no_annotation	12
GVOG01528	methylated-DNA-protein-cysteine methyltransferase	8
GVOG01710	bifunctional purine biosynthesis protein	6
GVOG01720	cysteinyl-tRNA synthetase	14
GVOG01825	no_annotation	1
GVOG01921	no_annotation	2
GVOG01984	no_annotation	13
GVOG01999	no_annotation	1
GVOG02016	no_annotation	41
GVOG02020	no_annotation	60
GVOG02031	arginyl-tRNA synthetase	7
GVOG02043	no_annotation	24
GVOG02293	no_annotation	1
GVOG02335	no_annotation	9
GVOG02361	no_annotation	45
GVOG02590	no_annotation	4
GVOG02592	adenosylhomocysteinase	9
GVOG02675	no_annotation	2
GVOG02694	no_annotation	70
GVOG02973	ribonuclease H	9
GVOG04231	no_annotation	21
GVOG04441	aminopeptidase	17
GVOG04462	no_annotation	69
GVOG04464	no_annotation	1
GVOG04635	no_annotation	6
GVOG04684	no_annotation	3
GVOG04787	uncharacterized protein	28
GVOG04798	no_annotation	14
GVOG05780	metallopeptidase WLM	2
GVOG06238	GTP binding translation elongation factor	6
GVOG06317	no_annotation	8
GVOG06713	no_annotation	6
GVOG07320	DNA topoisomerase I	2
GVOG07994	no_annotation	67
GVOG08082	asparagine synthase	14
GVOG08671	no_annotation	4
GVOG09032	asparagine synthase	17
GVOG09716	FAD-dependent thymidylate synthase	4
GVOG09758	ABC transporter	10
GVOG10135	uracil-DNA glycosylase	6
GVOG10800	GTP binding translation elongation factor	10
GVOG11857	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2	2
GVOG11896	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2	106
GVOGm0023	DNA-directed RNA polymerase subunit alpha	1
GVOGm0074	DNA mismatch repair protein	6
GVOGm0082	ABC transporter	24
GVOGm0163	bifunctional dihydrofolate reductase-thymidylate synthase	16
GVOGm0241	no_annotation	7
GVOGm0274	no_annotation	29
GVOGm0307	no_annotation	34
GVOGm0309	uracil-DNA glycosylase	12
GVOGm0330	metalloproteinase	4
GVOGm0454	bifunctional dihydrofolate reductase-thymidylate synthase	22
GVOGm0505	no_annotation	26
GVOGm0548	Hsp70 protein | heat shock protein 70	85
GVOGm0578	DnaJ domain	22
GVOGm0620	putative apurinic-apyrimidinic endonuclease 1	13
GVOGm0678	DNA topoisomerase I	30
GVOGm0733	DnaJ domain	2
GVOGm0757	asparaginyl t-RNA synthetase	59
GVOGm0798	Ribonuclease III	7
GVOGm0952	structural PPIase-like protein	22
GVOGm0973	exodeoxyribonuclease VII large subunit	17
GVOGm1002	no_annotation	3
GVOGm1079	BRO-like protein | ALI motif family protein | T5orf172 domain | BRO-N domain protein	7
GVOGm1119	guanosine monophosphate reductase	30
GVOGm1122	no_annotation	34
GVOGm1134	HD phosphohydrolase	1
GVOGm1230	uncharacterized protein	1
GVOGm1245	no_annotation	25
GVOGm1261	uridine kinase	4
GVOGm1269	ABC transporter	10
GVOGm1313	Hsp70 protein | heat shock protein 70	9
GVOGm1352	GTP binding translation elongation factor	8
GVOGm1378	DEAD/SNF2-like helicase | DEAD/SNF2-like helicase	27
GVOGm1420	no_annotation	35
GVOGm1441	adenylosuccinate synthetase	5
GVOGm1450	putative ubiquitin-activating enzyme E1	6
GVOGm1482	no_annotation	7
GVOGm1504	isoleucyl-tRNA synthetase	9
GVOGm1509	no_annotation	15
GVOGm1601	uncharacterized protein	18
