ID	Function	Source	Count
HAD-SF-IIA-hyp2	TIGR01457 family HAD-type hydrolase	TIGR01457	7
HEQRo_perm_3TM	ABC transporter permease subunit	TIGR01726	2
HGPRTase	hypoxanthine phosphoribosyltransferase	TIGR01203	4
HK_WalK	cell wall metabolism sensor histidine kinase WalK		57
HMG-CoA-S_prok	hydroxymethylglutaryl-CoA synthase	TIGR01835	20
HMP-P_kinase	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	TIGR00097	11
HpnE	hydroxysqualene dehydroxylase HpnE	TIGR03467	1
HpnL	putative membrane protein	TIGR03476	1
IF-2	Translation-initiation factor 2	PF11987.10	29
IF-2	translation initiation factor IF-2	TIGR00487	29
IMPACT_YIGZ	YigZ family protein	TIGR00257	7
IMP_dehydrog	IMP dehydrogenase	TIGR01302	23
IPP_isom_2	type 2 isopentenyl-diphosphate Delta-isomerase	TIGR02151	2
Jag_EloR	RNA-binding cell elongation regulator Jag/EloR		1
L-LDH-NAD	L-lactate dehydrogenase	TIGR01771	1
L11_bact	50S ribosomal protein L11	TIGR01632	12
L12	50S ribosomal protein L7/L12	TIGR00855	4
L17	50S ribosomal protein L17	TIGR00059	2
L18_bact	50S ribosomal protein L18	TIGR00060	6
L27	50S ribosomal protein L27	TIGR00062	4
L29	50S ribosomal protein L29	TIGR00012	3
L3_bact	50S ribosomal protein L3	TIGR03625	12
L6_bact	50S ribosomal protein L6	TIGR03654	7
LBP_cg2779_fam	LBP_cg2779 family protein		1
LPS_export_lptB	LPS export ABC transporter ATP-binding protein	TIGR04406	2
LTA_DltD	D-alanyl-lipoteichoic acid biosynthesis protein DltD	TIGR04092	12
LTA_dltB	D-alanyl-lipoteichoic acid biosynthesis protein DltB	TIGR04091	19
L_ocin_972_ABC	putative bacteriocin export ABC transporter	TIGR03608	15
LolD_lipo_ex	lipoprotein-releasing ABC transporter ATP-binding protein LolD	TIGR02211	8
LruC_dom	LruC domain-containing protein	TIGR04456	1
M3_fam_3	M3 family oligoendopeptidase	TIGR02290	5
