L1	ID	Function	EC	Count
DNA, RNA and nucleotide metabolism	phrog_112	Gp2.5-like ssDNA binding protein and ssDNA annealing protein		1
unknown function	phrog_11396	hypothetical		1
unknown function	phrog_11956	hypothetical		4
DNA, RNA and nucleotide metabolism	phrog_13933	nuclease		1
unknown function	phrog_1569	hypothetical		2
unknown function	phrog_1605	hypothetical		1
unknown function	phrog_17321	hypothetical		2
unknown function	phrog_17467	hypothetical		1
unknown function	phrog_18394	hypothetical		2
unknown function	phrog_21263	hypothetical		1
unknown function	phrog_21628	hypothetical		1
unknown function	phrog_21942	hypothetical		2
unknown function	phrog_2277	hypothetical		1
unknown function	phrog_23041	hypothetical		1
moron, auxiliary metabolic gene and host takeover	phrog_2392	ABC transporter		5
unknown function	phrog_24316	hypothetical		1
unknown function	phrog_24349	hypothetical		5
unknown function	phrog_24614	hypothetical		1
unknown function	phrog_24764	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_256	DNA helicase		3
unknown function	phrog_27702	hypothetical		2
unknown function	phrog_27849	hypothetical		2
moron, auxiliary metabolic gene and host takeover	phrog_293	ABC transporter		3
integration and excision	phrog_3035	transposase		2
unknown function	phrog_30773	hypothetical		1
unknown function	phrog_31146	hypothetical		1
unknown function	phrog_32805	hypothetical		2
unknown function	phrog_33999	hypothetical		1
unknown function	phrog_34613	hypothetical		1
unknown function	phrog_34939	hypothetical		4
unknown function	phrog_35063	hypothetical		1
lysis	phrog_380	endolysin		1
DNA, RNA and nucleotide metabolism	phrog_3869	NAD-dependent DNA ligase		1
DNA, RNA and nucleotide metabolism	phrog_4291	RNA-dependent RNA polymerase		2
DNA, RNA and nucleotide metabolism	phrog_44	single strand DNA binding protein		1
other	phrog_440	transaldolase		1
DNA, RNA and nucleotide metabolism	phrog_4412	exonuclease V		1
other	phrog_5999	DNA methyltransferase		1
head and packaging	phrog_6672	terminase large subunit		2
unknown function	phrog_731	hypothetical		1
transcription regulation	phrog_8	transcriptional regulator		1
unknown function	phrog_9710	hypothetical		1
