ID	Function	Source	Count
3a0107s01c2	phosphate ABC transporter ATP-binding protein PstB	TIGR00972	26
3a0107s02c	phosphate ABC transporter permease PstA	TIGR00974	3
3a0501s007	preprotein translocase subunit SecY	TIGR00967	4
3oxo_ACP_reduc	3-oxoacyl-[acyl-carrier-protein] reductase	TIGR01830	11
ABC_MetN	methionine ABC transporter ATP-binding protein MetN	TIGR02314	2
ABC_choXWV_perm	choline ABC transporter permease subunit	TIGR03416	3
ABC_lipo_SloC	metal ABC transporter substrate-binding lipoprotein		7
ABC_perm_SloB	metal ABC transporter permease subunit		8
ABC_phnC	phosphonate ABC transporter ATP-binding protein	TIGR02315	2
ATP_dep_HslV	HslU--HslV peptidase proteolytic subunit	TIGR03692	3
ATP_synt_c	ATP synthase F0 subunit C	TIGR01260	2
ATPase-IB1_Cu	copper-translocating P-type ATPase	TIGR01511	3
ATPase-IB2_Cd	cadmium family heavy metal-translocating P-type ATPase	TIGR01512	3
ATPase-IB_hvy	heavy metal translocating P-type ATPase	TIGR01525	17
ATPase-IIA1_Ca	calcium-translocating P-type ATPase, SERCA-type	TIGR01116	1
ATPase-IIA2_Ca	calcium-transporting P-type ATPase, PMR1-type	TIGR01522	1
ATPase-IIB_Ca	calcium-translocating P-type ATPase, PMCA-type	TIGR01517	1
ATPase-IIC_X-K	Na,H/K antiporter P-type ATPase subunit alpha	TIGR01106	1
ATPase-IIIB_Mg	magnesium-translocating P-type ATPase	TIGR01524	9
ATPase_ComGA	competence type IV pilus ATPase ComGA		2
ATPase_P-type	HAD-IC family P-type ATPase	TIGR01494	2
AcCoA-C-Actrans	acetyl-CoA C-acyltransferase	TIGR01930	4
AhpC	alkyl hydroperoxide reductase subunit C	TIGR03137	4
AhpF	alkyl hydroperoxide reductase subunit F	TIGR03140	1
AhpF_homolog	putative alkyl hydroperoxide reductase F subunit	TIGR03143	13
BGL	GH1 family beta-glucosidase	TIGR03356	2
C69_fam_dipept	C69 family dipeptidase		4
CBO2463_dom	CBO2463/CBO2479 domain-containing protein		3
CBS_CbpA	cyclic di-AMP binding protein CbpA		8
CDF	cation diffusion facilitator family transporter	TIGR01297	1
CPSaseII_lrg	carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit	TIGR01369	10
CPSaseIIsmall	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	TIGR01368	10
C_S_lyase_PatB	PatB family C-S lyase	TIGR04350	1
ChvE	sugar ABC transporter substrate-binding protein		5
ClpA	ATP-dependent Clp protease ATP-binding subunit ClpA	TIGR02639	1
Cof-subfamily	Cof-type HAD-IIB family hydrolase	TIGR00099	2
CofD_related	uridine diphosphate-N-acetylglucosamine-binding protein YvcK	TIGR01826	3
ComEB	ComE operon protein 2	TIGR02571	3
D-ala-DACP-lig	D-alanine--poly(phosphoribitol) ligase subunit DltA	TIGR01734	3
DNA_bind_WhiA	DNA-binding protein WhiA	TIGR00647	1
D_pro_red_PrdA	D-proline reductase (dithiol) proprotein PrdA	TIGR04480	27
D_pro_red_PrdB	D-proline reductase (dithiol) protein PrdB	TIGR04483	3
Dhydh_Halo	D-2-hydroxyacid dehydrogenase		4
DivI1A_domain	DivIVA domain-containing protein	TIGR03544	2
DnaA	chromosomal replication initiator protein DnaA	TIGR00362	3
ECF_ATPase_1	energy-coupling factor transporter ATPase	TIGR04520	1
EF-G	elongation factor G	TIGR00484	21
EF-Tu	elongation factor Tu	TIGR00485	14
EIIA-LAC	lactose-specific PTS transporter subunit IIA	TIGR00823	1
EIID-AGA	PTS system mannose/fructose/sorbose family transporter subunit IID	PF03613.16	8
EIID-AGA	mannose/fructose/sorbose PTS transporter subunit IID	TIGR00828	8
EPS_sugtrans	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	TIGR03025	14
EpaQ_fam	EpaQ family protein		3
FGAM_synth_I	phosphoribosylformylglycinamidine synthase I	TIGR01737	2
FGAM_synth_II	phosphoribosylformylglycinamidine synthase subunit PurL	TIGR01736	1
FRU	fructose PTS transporter subunit IIB	TIGR00829	2
FakA_VfrB	fatty acid kinase catalytic subunit FakA		2
FnlA	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase	TIGR04130	9
FtsE	cell division ATP-binding protein FtsE	TIGR02673	4
FtsH_fam	ATP-dependent zinc metalloprotease FtsH	TIGR01241	15
FtsX_Gpos	permease-like cell division protein FtsX		1
GAPDH-I	type I glyceraldehyde-3-phosphate dehydrogenase	TIGR01534	11
GMP_reduct_2	GMP reductase	TIGR01306	8
GTP_HflX	GTPase HflX	TIGR03156	6
GTPase_EngA	ribosome biogenesis GTPase Der	TIGR03594	3
GTPase_YlqF	ribosome biogenesis GTPase YlqF	TIGR03596	8
GTPase_YqeH	ribosome biogenesis GTPase YqeH	TIGR03597	4
GguA	sugar ABC transporter ATP-binding protein		15
GguB	sugar ABC transporter permease		14
GldJ_short	gliding motility lipoprotein GldJ	TIGR03530	4
