L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00033	6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	PGD, gnd, gntZ	1
Metabolism	Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	K00033	6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	PGD, gnd, gntZ	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00115	Glucose 1-dehydrogenase (FAD, quinone)	1.1.5.9	GLD	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00161	Pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	PDHA, pdhA	2
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00161	Pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	PDHA, pdhA	2
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00161	Pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	PDHA, pdhA	2
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00161	Pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	PDHA, pdhA	2
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00161	Pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	PDHA, pdhA	2
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00161	Pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	PDHA, pdhA	2
Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	K00161	Pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	PDHA, pdhA	2
Metabolism	Lipid metabolism	Fatty acid biosynthesis [PATH:ko00061]	K00208	Enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10	fabI	1
Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism [PATH:ko00780]	K00208	Enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10	fabI	1
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis [PATH:ko00333]	K00208	Enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10	fabI	1
Brite Hierarchies	Protein families: metabolism	Lipid biosynthesis proteins [BR:ko01004]	K00208	Enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10	fabI	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00302	Sarcosine oxidase, subunit alpha	1.5.3.1	soxA	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00311	Electron-transferring-flavoprotein dehydrogenase	1.5.5.1	ETFDH	2
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00350	Na+-transporting NADH:ubiquinone oxidoreductase subunit E	7.2.1.1	nqrE	1
Brite Hierarchies	Protein families: genetic information processing	DNA repair and recombination proteins [BR:ko03400]	K00567	Methylated-DNA-[protein]-cysteine S-methyltransferase	2.1.1.63	ogt, MGMT	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00574	Cyclopropane-fatty-acyl-phospholipid synthase	2.1.1.79	cfa	2
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K00602	Phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	2.1.2.3 3.5.4.10	purH	4
Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate [PATH:ko00670]	K00602	Phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	2.1.2.3 3.5.4.10	purH	4
Human Diseases	Drug resistance: antineoplastic	Antifolate resistance [PATH:ko01523]	K00602	Phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	2.1.2.3 3.5.4.10	purH	4
