ID	Function	Count
GVOG00572	no_annotation	4
GVOG01350	no_annotation	1
GVOG01498	no_annotation	2
GVOG01528	methylated-DNA-protein-cysteine methyltransferase	1
GVOG01923	phospho-2-dehydro-3-deoxyheptonate aldolase	1
GVOG02016	no_annotation	3
GVOG02020	no_annotation	3
GVOG02043	no_annotation	5
GVOG02335	no_annotation	8
GVOG02343	no_annotation	2
GVOG02361	no_annotation	2
GVOG02694	no_annotation	8
GVOG04441	aminopeptidase	4
GVOG04462	no_annotation	4
GVOG04798	no_annotation	5
GVOG05780	metallopeptidase WLM	3
GVOG06238	GTP binding translation elongation factor	1
GVOG06317	no_annotation	3
GVOG07320	DNA topoisomerase I	1
GVOG07994	no_annotation	3
GVOG08082	asparagine synthase	2
GVOG09032	asparagine synthase	4
GVOG09758	ABC transporter	1
GVOG10135	uracil-DNA glycosylase	3
GVOG11857	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2	1
GVOG11896	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2	12
GVOGm0074	DNA mismatch repair protein	2
GVOGm0082	ABC transporter	1
GVOGm0163	bifunctional dihydrofolate reductase-thymidylate synthase	3
GVOGm0274	no_annotation	1
GVOGm0307	no_annotation	1
GVOGm0454	bifunctional dihydrofolate reductase-thymidylate synthase	1
GVOGm0548	Hsp70 protein | heat shock protein 70	11
GVOGm0578	DnaJ domain	1
GVOGm0620	putative apurinic-apyrimidinic endonuclease 1	2
GVOGm0678	DNA topoisomerase I	3
GVOGm0757	asparaginyl t-RNA synthetase	8
GVOGm0952	structural PPIase-like protein	1
GVOGm1119	guanosine monophosphate reductase	4
GVOGm1122	no_annotation	3
GVOGm1245	no_annotation	7
GVOGm1269	ABC transporter	2
GVOGm1352	GTP binding translation elongation factor	2
GVOGm1378	DEAD/SNF2-like helicase | DEAD/SNF2-like helicase	4
GVOGm1420	no_annotation	4
GVOGm1504	isoleucyl-tRNA synthetase	2
GVOGm1601	uncharacterized protein	3
