ID	Function	Source	Count
3a0107s01c2	phosphate ABC transporter ATP-binding protein PstB	TIGR00972	64
3a0107s02c	phosphate ABC transporter permease PstA	TIGR00974	16
3a0501s007	preprotein translocase subunit SecY	TIGR00967	35
3oxo_ACP_reduc	3-oxoacyl-[acyl-carrier-protein] reductase	TIGR01830	29
5S_RNA_mat_M5	ribonuclease M5	TIGR00334	1
ABCF_Vga_all	Vga family ABC-F type ribosomal protection protein		3
ABC_ABC_ChvD	energy-dependent translational throttle protein EttA	TIGR03719	10
ABC_ATP_DarD	darobactin export ABC transporter ATP-binding protein		2
ABC_MetN	methionine ABC transporter ATP-binding protein MetN	TIGR02314	2
ABC_arch_GlcV	glucose ABC transporter ATP-binding protein GlcV		1
ABC_choXWV_ATP	choline ABC transporter ATP-binding protein	TIGR03415	3
ABC_choXWV_perm	choline ABC transporter permease subunit	TIGR03416	4
ABC_lipo_SloC	metal ABC transporter substrate-binding lipoprotein		39
ABC_perm_SloB	metal ABC transporter permease subunit		45
ABC_phnC	phosphonate ABC transporter ATP-binding protein	TIGR02315	11
ATP_dep_HslV	HslU--HslV peptidase proteolytic subunit	TIGR03692	5
ATP_synt_c	ATP synthase F0 subunit C	TIGR01260	9
ATPase-IB1_Cu	copper-translocating P-type ATPase	TIGR01511	6
ATPase-IB2_Cd	cadmium family heavy metal-translocating P-type ATPase	TIGR01512	6
ATPase-IB_hvy	heavy metal translocating P-type ATPase	TIGR01525	44
ATPase-IIA1_Ca	calcium-translocating P-type ATPase, SERCA-type	TIGR01116	13
ATPase-IIA2_Ca	calcium-transporting P-type ATPase, PMR1-type	TIGR01522	14
ATPase-IIB_Ca	calcium-translocating P-type ATPase, PMCA-type	TIGR01517	7
ATPase-IIIB_Mg	magnesium-translocating P-type ATPase	TIGR01524	56
ATPase_ComGA	competence type IV pilus ATPase ComGA		12
ATPase_P-type	HAD-IC family P-type ATPase	TIGR01494	12
ATPsyn_F1gamma	ATP synthase F1 subunit gamma	TIGR01146	1
AblA_like_2	lysine-2,3-aminomutase-like protein	TIGR03822	2
AcCoA-C-Actrans	acetyl-CoA C-acyltransferase	TIGR01930	5
AhpC	alkyl hydroperoxide reductase subunit C	TIGR03137	15
AhpF	alkyl hydroperoxide reductase subunit F	TIGR03140	1
AhpF_homolog	putative alkyl hydroperoxide reductase F subunit	TIGR03143	39
Asp_Ala_antiprt	aspartate-alanine antiporter	TIGR03802	3
AztA	zinc ABC transporter ATP-binding protein AztA		3
BCCP	acetyl-CoA carboxylase biotin carboxyl carrier protein	TIGR00531	2
BGL	GH1 family beta-glucosidase	TIGR03356	5
C69_fam_dipept	C69 family dipeptidase		29
CBO2463_dom	CBO2463/CBO2479 domain-containing protein		9
CBS_CbpA	cyclic di-AMP binding protein CbpA		10
CBS_CbpB	cyclic-di-AMP-binding protein CbpB		4
CDF	cation diffusion facilitator family transporter	TIGR01297	2
CPSaseII_lrg	carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit	TIGR01369	23
CPSaseIIsmall	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	TIGR01368	9
C_S_lyase_PatB	PatB family C-S lyase	TIGR04350	3
ChvE	sugar ABC transporter substrate-binding protein		43
ClpA	ATP-dependent Clp protease ATP-binding subunit ClpA	TIGR02639	11
CobT	Cobalamin biosynthesis protein CobT	PF06213.14	2
CobT	cobaltochelatase subunit CobT	TIGR01651	2
Cof-subfamily	Cof-type HAD-IIB family hydrolase	TIGR00099	17
