L1	L2	L3	L4	ID	Function	EC	Count
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00013	hisD; histidinol dehydrogenase	1.1.1.23	2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00013	hisD; histidinol dehydrogenase	1.1.1.23	2
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Lysine degradation VIII			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	2
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	2
21_Cellular response to stress	Cellular response to stress			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	2
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00139	ALDH5A1; succinate-semialdehyde dehydrogenase	1.2.1.24	2
06_Amino acid utilization biosynthesis metabolism	Oxydation deamination			K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+)	1.4.1.4	2
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+)	1.4.1.4	2
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+)	1.4.1.4	2
11_Nitrogen cycle	Ammonia assimilation			K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+)	1.4.1.4	2
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	2
11_Nitrogen cycle	Ammonia assimilation			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	2
11_Nitrogen cycle	Ammonia assimilation			K00284	GLU, gltS; glutamate synthase (ferredoxin)	1.4.7.1	2
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
07_Nucleic acid metabolism	Pyrimidine metabolism			K00384	trxB, TRR; thioredoxin reductase (NADPH)	1.8.1.9	1
21_Cellular response to stress	Cellular response to stress			K00384	trxB, TRR; thioredoxin reductase (NADPH)	1.8.1.9	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00639	kbl, GCAT; glycine C-acetyltransferase	2.3.1.29	2
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase			K00705	malQ; 4-alpha-glucanotransferase	2.4.1.25	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K00705	malQ; 4-alpha-glucanotransferase	2.4.1.25	1
20_Hydrolysis of polymers	Starch			K00705	malQ; 4-alpha-glucanotransferase	2.4.1.25	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00764	purF, PPAT; amidophosphoribosyltransferase	2.4.2.14	4
07_Nucleic acid metabolism	Purine metabolism			K00764	purF, PPAT; amidophosphoribosyltransferase	2.4.2.14	4
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00820	glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	3
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Murein		K00820	glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	3
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00841	patA; aminotransferase	2.6.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00841	patA; aminotransferase	2.6.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00841	patA; aminotransferase	2.6.1.-	1
20_Hydrolysis of polymers	Galactose			K00849	galK; galactokinase	2.7.1.6	1
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	Pentose			K00873	PK, pyk; pyruvate kinase	2.7.1.40	2
07_Nucleic acid metabolism	Purine metabolism			K00873	PK, pyk; pyruvate kinase	2.7.1.40	2
16_Embden Meyerhof-Parnos (EMP)	EMP			K00873	PK, pyk; pyruvate kinase	2.7.1.40	2
16_Embden Meyerhof-Parnos (EMP)	Glycolysis III (EMP)			K00873	PK, pyk; pyruvate kinase	2.7.1.40	2
16_Embden Meyerhof-Parnos (EMP)	EMP  in archea			K00873	PK, pyk; pyruvate kinase	2.7.1.40	2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00925	ackA; acetate kinase	2.7.2.1	4
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00925	ackA; acetate kinase	2.7.2.1	4
14_Methanogenesis	From acetate			K00925	ackA; acetate kinase	2.7.2.1	4
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00926	arcC; carbamate kinase	2.7.2.2	1
07_Nucleic acid metabolism	Purine metabolism			K00926	arcC; carbamate kinase	2.7.2.2	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00930	argB; acetylglutamate kinase	2.7.2.8	2
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00930	argB; acetylglutamate kinase	2.7.2.8	2
07_Nucleic acid metabolism	Purine metabolism			K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase	2.7.6.1	1
07_Nucleic acid metabolism	Purine metabolism			K00957	cysD; sulfate adenylyltransferase subunit 2	2.7.7.4	1
18_Sulfur compounds metabolism	Chemoautotrophic oxidation of sulfur compounds	Superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)		K00957	cysD; sulfate adenylyltransferase subunit 2	2.7.7.4	1
18_Sulfur compounds metabolism	Sulfur compounds cycle	Sulfate reduction (assimilatory)		K00957	cysD; sulfate adenylyltransferase subunit 2	2.7.7.4	1
18_Sulfur compounds metabolism	Sulfur compounds cycle	Sulfate reduction (dissimilatory)		K00957	cysD; sulfate adenylyltransferase subunit 2	2.7.7.4	1
18_Sulfur compounds metabolism	Sulfur compounds cycle	Sulfite oxidation		K00957	cysD; sulfate adenylyltransferase subunit 2	2.7.7.4	1
18_Sulfur compounds metabolism	Sulfur compounds cycle	Sulfur disproportionation		K00957	cysD; sulfate adenylyltransferase subunit 2	2.7.7.4	1
18_Sulfur compounds metabolism	Sulfur compounds cycle	Thiosulfate disproportionation		K00957	cysD; sulfate adenylyltransferase subunit 2	2.7.7.4	1
21_Cellular response to stress	Cellular response to oxidative stress			K00957	cysD; sulfate adenylyltransferase subunit 2	2.7.7.4	1
21_Cellular response to stress	Cellular response to stress			K00957	cysD; sulfate adenylyltransferase subunit 2	2.7.7.4	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase	2.7.7.8	1
07_Nucleic acid metabolism	Purine metabolism			K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase	2.7.7.8	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K01006	ppdK; pyruvate, orthophosphate dikinase	2.7.9.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to lactate		K01006	ppdK; pyruvate, orthophosphate dikinase	2.7.9.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to propionate II (acrylate pathway)		K01006	ppdK; pyruvate, orthophosphate dikinase	2.7.9.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K01006	ppdK; pyruvate, orthophosphate dikinase	2.7.9.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K01006	ppdK; pyruvate, orthophosphate dikinase	2.7.9.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K01006	ppdK; pyruvate, orthophosphate dikinase	2.7.9.1	1
17_Gluconeogenesis	Gluconeogenesis			K01006	ppdK; pyruvate, orthophosphate dikinase	2.7.9.1	1
07_Nucleic acid metabolism	Purine metabolism			K01139	spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	2.7.6.5 3.1.7.2	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01182	IMA, malL; oligo-1,6-glucosidase	3.2.1.10	2
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K01182	IMA, malL; oligo-1,6-glucosidase	3.2.1.10	2
20_Hydrolysis of polymers	Starch			K01182	IMA, malL; oligo-1,6-glucosidase	3.2.1.10	2
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01193	INV, sacA; beta-fructofuranosidase	3.2.1.26	3
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Sucrose		K01193	INV, sacA; beta-fructofuranosidase	3.2.1.26	3
20_Hydrolysis of polymers	Starch			K01193	INV, sacA; beta-fructofuranosidase	3.2.1.26	3
20_Hydrolysis of polymers	Galactose			K01193	INV, sacA; beta-fructofuranosidase	3.2.1.26	3
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01200	pulA; pullulanase	3.2.1.41	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01208	cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase	3.2.1.54 3.2.1.133 3.2.1.135	1
20_Hydrolysis of polymers	Starch			K01208	cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase	3.2.1.54 3.2.1.133 3.2.1.135	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase	3.2.1.86	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K01424	E3.5.1.1, ansA, ansB; L-asparaginase	3.5.1.1	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K01424	E3.5.1.1, ansA, ansB; L-asparaginase	3.5.1.1	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01448	amiABC; N-acetylmuramoyl-L-alanine amidase	3.5.1.28	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	1.5.1.5 3.5.4.9	1
15_Methylotrophy	Formaldehyde oxidation (tetrahydrofolate pathway)			K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	1.5.1.5 3.5.4.9	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K01519	ITPA; inosine triphosphate pyrophosphatase	3.6.1.-	1
07_Nucleic acid metabolism	Purine metabolism			K01519	ITPA; inosine triphosphate pyrophosphatase	3.6.1.-	1
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K01523	hisE; phosphoribosyl-ATP pyrophosphohydrolase	3.6.1.31	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01657	trpE; anthranilate synthase component I	4.1.3.27	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01657	trpE; anthranilate synthase component I	4.1.3.27	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha	4.2.1.2	2
10_TCA cycle	TCA cycle			K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha	4.2.1.2	2
10_TCA cycle	Incomplete TCA fork			K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha	4.2.1.2	2
10_TCA cycle	TCA cycle			K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase	4.2.1.3 4.2.1.99	2
10_TCA cycle	Incomplete TCA fork			K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase	4.2.1.3 4.2.1.99	2
21_Cellular response to stress	Regulation of translation in response to oxidative stress			K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase	4.2.1.3 4.2.1.99	2
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K01695	trpA; tryptophan synthase alpha chain	4.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01695	trpA; tryptophan synthase alpha chain	4.2.1.20	1
