ID	Function	Count
GVOG00572	no_annotation	2
GVOG01350	no_annotation	3
GVOG01498	no_annotation	1
GVOG01528	methylated-DNA-protein-cysteine methyltransferase	5
GVOG01710	bifunctional purine biosynthesis protein	3
GVOG01720	cysteinyl-tRNA synthetase	15
GVOG01825	no_annotation	1
GVOG01921	no_annotation	1
GVOG01923	phospho-2-dehydro-3-deoxyheptonate aldolase	2
GVOG01984	no_annotation	2
GVOG01999	no_annotation	3
GVOG02016	no_annotation	32
GVOG02020	no_annotation	39
GVOG02043	no_annotation	7
GVOG02335	no_annotation	2
GVOG02361	no_annotation	21
GVOG02590	no_annotation	4
GVOG02592	adenosylhomocysteinase	2
GVOG02673	no_annotation	1
GVOG02694	no_annotation	19
GVOG02973	ribonuclease H	5
GVOG03406	no_annotation	3
GVOG03820	macrocin o-methyltransferase	1
GVOG04231	no_annotation	8
GVOG04441	aminopeptidase	10
GVOG04462	no_annotation	23
GVOG04464	no_annotation	3
GVOG04684	no_annotation	1
GVOG04787	uncharacterized protein	16
GVOG04798	no_annotation	16
GVOG05780	metallopeptidase WLM	3
GVOG06238	GTP binding translation elongation factor	3
GVOG06317	no_annotation	2
GVOG06683	no_annotation	4
GVOG06713	no_annotation	3
GVOG07320	DNA topoisomerase I	6
GVOG07706	no_annotation	1
GVOG07994	no_annotation	35
GVOG08082	asparagine synthase	4
GVOG08671	no_annotation	1
GVOG09032	asparagine synthase	8
GVOG09758	ABC transporter	1
GVOG10800	GTP binding translation elongation factor	2
GVOG11857	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2	1
GVOG11896	AAA family ATPase - unique in NCLDV; ATPase domain similar to repl_factorC_sub2	53
GVOGm0074	DNA mismatch repair protein	1
GVOGm0082	ABC transporter	5
GVOGm0163	bifunctional dihydrofolate reductase-thymidylate synthase	4
GVOGm0274	no_annotation	29
GVOGm0307	no_annotation	1
GVOGm0309	uracil-DNA glycosylase	3
GVOGm0454	bifunctional dihydrofolate reductase-thymidylate synthase	17
GVOGm0505	no_annotation	2
GVOGm0548	Hsp70 protein | heat shock protein 70	57
GVOGm0578	DnaJ domain	3
GVOGm0620	putative apurinic-apyrimidinic endonuclease 1	10
GVOGm0678	DNA topoisomerase I	7
GVOGm0757	asparaginyl t-RNA synthetase	26
GVOGm0792	no_annotation	3
GVOGm0798	Ribonuclease III	1
GVOGm0952	structural PPIase-like protein	11
GVOGm0973	exodeoxyribonuclease VII large subunit	12
GVOGm1079	BRO-like protein | ALI motif family protein | T5orf172 domain | BRO-N domain protein	4
GVOGm1119	guanosine monophosphate reductase	22
GVOGm1122	no_annotation	19
GVOGm1134	HD phosphohydrolase	3
GVOGm1230	uncharacterized protein	2
GVOGm1245	no_annotation	11
GVOGm1261	uridine kinase	1
GVOGm1269	ABC transporter	8
GVOGm1313	Hsp70 protein | heat shock protein 70	3
GVOGm1352	GTP binding translation elongation factor	2
GVOGm1378	DEAD/SNF2-like helicase | DEAD/SNF2-like helicase	30
GVOGm1420	no_annotation	17
GVOGm1441	adenylosuccinate synthetase	1
GVOGm1450	putative ubiquitin-activating enzyme E1	2
GVOGm1504	isoleucyl-tRNA synthetase	7
GVOGm1509	no_annotation	5
GVOGm1601	uncharacterized protein	3
