L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K13677	1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase	2.4.1.208	dgs, bgsA	4
Brite Hierarchies	Protein families: metabolism	Glycosyltransferases [BR:ko01003]	K13677	1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase	2.4.1.208	dgs, bgsA	4
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K13727	Phenolic acid decarboxylase	4.1.1.-	pdc	27
Metabolism	Metabolism of terpenoids and polyketides	Geraniol degradation [PATH:ko00281]	K13777	Geranyl-CoA carboxylase alpha subunit	6.4.1.5	atuF	4
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K13788	Phosphate acetyltransferase	2.3.1.8	pta	2
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K13788	Phosphate acetyltransferase	2.3.1.8	pta	2
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K13788	Phosphate acetyltransferase	2.3.1.8	pta	2
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K13788	Phosphate acetyltransferase	2.3.1.8	pta	2
Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism [PATH:ko00430]	K13788	Phosphate acetyltransferase	2.3.1.8	pta	2
Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	K13799	Pantoate ligase / CMP/dCMP kinase	6.3.2.1 2.7.4.25	panC-cmk	1
Metabolism	Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	K13799	Pantoate ligase / CMP/dCMP kinase	6.3.2.1 2.7.4.25	panC-cmk	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K13799	Pantoate ligase / CMP/dCMP kinase	6.3.2.1 2.7.4.25	panC-cmk	1
