L1	L2	L3	ID	Function	EC	Gene	Count
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K18887	ATP-binding cassette, subfamily B, multidrug efflux pump		efrA, efrE	43
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K18888	ATP-binding cassette, subfamily B, multidrug efflux pump		efrB, efrF	48
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K18888	ATP-binding cassette, subfamily B, multidrug efflux pump		efrB, efrF	48
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K18889	ATP-binding cassette, subfamily B, multidrug efflux pump		mdlA, smdA	1
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K18889	ATP-binding cassette, subfamily B, multidrug efflux pump		mdlA, smdA	1
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K18890	ATP-binding cassette, subfamily B, multidrug efflux pump		mdlB, smdB	3
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K18890	ATP-binding cassette, subfamily B, multidrug efflux pump		mdlB, smdB	3
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K18940	Two-component system, OmpR family, sensor histidine kinase ArlS	2.7.13.3	arlS	5
Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K18940	Two-component system, OmpR family, sensor histidine kinase ArlS	2.7.13.3	arlS	5
Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K18940	Two-component system, OmpR family, sensor histidine kinase ArlS	2.7.13.3	arlS	5
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K19002	1,2-diacylglycerol 3-alpha-glucosyltransferase	2.4.1.337	mgs, bgsB	2
Brite Hierarchies	Protein families: metabolism	Glycosyltransferases [BR:ko01003]	K19002	1,2-diacylglycerol 3-alpha-glucosyltransferase	2.4.1.337	mgs, bgsB	2
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K19005	Lipoteichoic acid synthase	2.7.8.20	ltaS	5
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K19068	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase	1.1.1.367	wbjC	5
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K19081	Two-component system, OmpR family, sensor histidine kinase BraS/BceS	2.7.13.3	braS, bceS	2
Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K19081	Two-component system, OmpR family, sensor histidine kinase BraS/BceS	2.7.13.3	braS, bceS	2
Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K19081	Two-component system, OmpR family, sensor histidine kinase BraS/BceS	2.7.13.3	braS, bceS	2
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K19082	Two-component system, OmpR family, response regulator protein BraR/BceR		braR, bceR	2
