ID	Function	Count
pVOG0052	RNA polymerase sigma factor	10
pVOG0092	Thymidylate synthase	18
pVOG0186	exonuclease	4
pVOG0221	integrase	3
pVOG0226	Single-stranded DNA-binding protein	15
pVOG0274	Prophage bactoprenol glucosyl transferase 	2
pVOG0275	integrase	4
pVOG0372	DNA ligase	2
pVOG0382	DNA topoisomerase II large subunit	8
pVOG0384	DNA gyrase subunit A	6
pVOG0420	Anaerobic ribonucleoside-triphosphate reductase	48
pVOG0440	Autonomous glycyl radical cofactor	4
pVOG0496	dihydrofolate reductase	5
pVOG0514	unannotated protein	15
pVOG0705	FtsK/SpoIIIE-like protein	22
pVOG0727	minor tail protein	1
pVOG0796	terminase small subunit	8
pVOG0800	unannotated protein	5
pVOG0985	ParA-like partition protein	8
pVOG10106	ribonucleoside-diphosphate reductase beta subunit	13
pVOG1030	thymidine kinase	5
pVOG1047	exonuclease	31
pVOG10995	head morphogenesis	1
pVOG1198	DNA polymerase	11
pVOG1295	hypothetical protein	1
pVOG1304	hypothetical protein	14
pVOG1850	Multifunctional CCA protein	2
pVOG1915	head maturation protease	1
pVOG2406	hypothetical protein	1
pVOG3222	GTP cyclohydrolase	4
pVOG3235	GMP reductase	20
pVOG4125	Phosphoribosylformylglycinamidine cyclo-ligase	1
pVOG4410	Glucose-6-phosphate 1-dehydrogenase	1
pVOG4552	anti-repressor Ant	4
pVOG4609	DNA helicase	56
pVOG4673	transcriptional regulator	10
pVOG4705	hypothetical protein	5
pVOG4724	L-alanyl-D-glutamate peptidase	6
pVOG4772	Exo-glucosaminidase LytG	2
pVOG5321	hypothetical protein	3
pVOG5979	phospho-2-dehydro-3-deoxyheptonate aldolase	1
pVOG6007	hypothetical protein	7
pVOG6513	60 kDa chaperonin	4
pVOG6988	hypothetical protein	19
pVOG7656	superinfection exclusion	9
pVOG8021	ATP-dependent Clp protease ATP-binding subunit ClpA	10
pVOG8303	S-adenosylmethionine synthase	19
pVOG8413	membrane protein	3
pVOG8607	ribonucleotide reductase large subunit	15
pVOG8616	NH(3)-dependent NAD(+) synthetase	1
pVOG8908	Cold shock protein 1	6
pVOG8992	dTDP-4-dehydrorhamnose 3,5-epimerase	3
pVOG9205	DNA polymerase	17
pVOG9502	amidase	1
