ID	Function	Source	Count
2A0118	RbtT/DalT/CsbX family MFS transporter	TIGR00897	5
2A0306	amino acid transporter	TIGR00909	2
2A0602	efflux RND transporter permease subunit	TIGR00915	1
3a0107s01c2	phosphate ABC transporter ATP-binding protein PstB	TIGR00972	132
3a0107s02c	phosphate ABC transporter permease PstA	TIGR00974	25
3a0107s03	phosphate ABC transporter substrate-binding protein PstS	TIGR00975	8
3a0501s007	preprotein translocase subunit SecY	TIGR00967	38
3oxo_ACP_reduc	3-oxoacyl-[acyl-carrier-protein] reductase	TIGR01830	57
5S_RNA_mat_M5	ribonuclease M5	TIGR00334	2
5aminolev_synth	5-aminolevulinate synthase	TIGR01821	13
ABCF_Vga_all	Vga family ABC-F type ribosomal protection protein		2
ABC_ABC_ChvD	energy-dependent translational throttle protein EttA	TIGR03719	16
ABC_ATP_DarD	darobactin export ABC transporter ATP-binding protein		1
ABC_MetN	methionine ABC transporter ATP-binding protein MetN	TIGR02314	32
ABC_arch_GlcV	glucose ABC transporter ATP-binding protein GlcV		9
ABC_choXWV_ATP	choline ABC transporter ATP-binding protein	TIGR03415	3
ABC_choXWV_perm	choline ABC transporter permease subunit	TIGR03416	29
ABC_lipo_SloC	metal ABC transporter substrate-binding lipoprotein		74
ABC_perm_SloB	metal ABC transporter permease subunit		78
ABC_phnC	phosphonate ABC transporter ATP-binding protein	TIGR02315	37
ACC_deam	1-aminocyclopropane-1-carboxylate deaminase	TIGR01274	1
ATP_dep_HslV	HslU--HslV peptidase proteolytic subunit	TIGR03692	46
ATP_synt_c	ATP synthase F0 subunit C	TIGR01260	10
ATPase-IB1_Cu	copper-translocating P-type ATPase	TIGR01511	14
ATPase-IB2_Cd	cadmium family heavy metal-translocating P-type ATPase	TIGR01512	16
ATPase-IB_hvy	heavy metal translocating P-type ATPase	TIGR01525	83
ATPase-IIA1_Ca	calcium-translocating P-type ATPase, SERCA-type	TIGR01116	30
ATPase-IIA2_Ca	calcium-transporting P-type ATPase, PMR1-type	TIGR01522	35
ATPase-IIB_Ca	calcium-translocating P-type ATPase, PMCA-type	TIGR01517	12
ATPase-IIIB_Mg	magnesium-translocating P-type ATPase	TIGR01524	138
ATPase_ComGA	competence type IV pilus ATPase ComGA		42
ATPase_P-type	HAD-IC family P-type ATPase	TIGR01494	33
ATPsyn_F1gamma	ATP synthase F1 subunit gamma	TIGR01146	5
AblA_like_2	lysine-2,3-aminomutase-like protein	TIGR03822	4
AcCoA-C-Actrans	acetyl-CoA C-acyltransferase	TIGR01930	28
AccA_sub	carboxyltransferase subunit alpha		4
AhpC	alkyl hydroperoxide reductase subunit C	TIGR03137	44
AhpF	alkyl hydroperoxide reductase subunit F	TIGR03140	19
AhpF_homolog	putative alkyl hydroperoxide reductase F subunit	TIGR03143	119
Asp_Ala_antiprt	aspartate-alanine antiporter	TIGR03802	11
AztA	zinc ABC transporter ATP-binding protein AztA		1
BCCP	acetyl-CoA carboxylase biotin carboxyl carrier protein	TIGR00531	11
BGL	GH1 family beta-glucosidase	TIGR03356	11
Bac_Flav_CT_G	TraG family conjugative transposon ATPase	TIGR03783	2
Bac_Flav_CT_M	conjugative transposon protein TraM	TIGR03779	2
C69_fam_dipept	C69 family dipeptidase		84
CBO2463_dom	CBO2463/CBO2479 domain-containing protein		21
CBS_CbpA	cyclic di-AMP binding protein CbpA		49
CBS_CbpB	cyclic-di-AMP-binding protein CbpB		18
CPSaseII_lrg	carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit	TIGR01369	76
CPSaseIIsmall	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	TIGR01368	67
C_S_lyase_PatB	PatB family C-S lyase	TIGR04350	14
CheA_Halo	chemotaxis protein CheA		1
ChvE	sugar ABC transporter substrate-binding protein		112
ClpA	ATP-dependent Clp protease ATP-binding subunit ClpA	TIGR02639	16
CobT	Cobalamin biosynthesis protein CobT	PF06213.14	7
CobT	cobaltochelatase subunit CobT	TIGR01651	7
Cof-subfamily	Cof-type HAD-IIB family hydrolase	TIGR00099	34
CofD_related	uridine diphosphate-N-acetylglucosamine-binding protein YvcK	TIGR01826	35
ComEB	ComE operon protein 2	TIGR02571	32
CydC	thiol reductant ABC exporter subunit CydC	TIGR02868	1
CydD	thiol reductant ABC exporter subunit CydD	TIGR02857	1
CyoB	cytochrome o ubiquinol oxidase subunit I	TIGR02843	18
CyoC	cytochrome o ubiquinol oxidase subunit III	TIGR02842	5
CysD	sulfate adenylyltransferase, small subunit	TIGR02039	1
D-ala-DACP-lig	D-alanine--poly(phosphoribitol) ligase subunit DltA	TIGR01734	33
DAHP_synth_II	3-deoxy-7-phosphoheptulonate synthase class II	TIGR01358	1
DEAH_box_HrpB	ATP-dependent helicase HrpB	TIGR01970	5
DHAK_reg	dihydroxyacetone kinase transcriptional activator DhaS	TIGR02366	2
DNA_bind_WhiA	DNA-binding protein WhiA	TIGR00647	17
D_pro_red_PrdA	D-proline reductase (dithiol) proprotein PrdA	TIGR04480	220
D_pro_red_PrdB	D-proline reductase (dithiol) protein PrdB	TIGR04483	156
D_pro_red_PrdD	proline reductase cluster protein PrdD	TIGR04482	2
DapF	diaminopimelate epimerase	TIGR00652	1
Dhydh_Halo	D-2-hydroxyacid dehydrogenase		10
DivI1A_domain	DivIVA domain-containing protein	TIGR03544	10
DnaA	chromosomal replication initiator protein DnaA	TIGR00362	54
DnaB	DnaB-like helicase N-terminal domain-containing protein	PF00772.23	13
DnaB	replicative DNA helicase	TIGR00665	13
Dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase	TIGR00243	3
ECF_ATPase_1	energy-coupling factor transporter ATPase	TIGR04520	14
ECF_ThiT_YuaJ	energy-coupled thiamine transporter ThiT	TIGR02357	18
EF-G	elongation factor G	TIGR00484	343
EF-Tu	elongation factor Tu	TIGR00485	81
EF_0839	conserved hypothetical protein EF_0839/AHA_3917	TIGR03581	4
EIIA-LAC	lactose-specific PTS transporter subunit IIA	TIGR00823	2
EIID-AGA	PTS system mannose/fructose/sorbose family transporter subunit IID	PF03613.16	48
EIID-AGA	mannose/fructose/sorbose PTS transporter subunit IID	TIGR00828	48
EPS_sugtrans	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	TIGR03025	58
EpaQ_fam	EpaQ family protein		32
FGAM_synth_I	phosphoribosylformylglycinamidine synthase I	TIGR01737	6
FGAM_synth_II	phosphoribosylformylglycinamidine synthase subunit PurL	TIGR01736	7
FRU	fructose PTS transporter subunit IIB	TIGR00829	34
FakA_VfrB	fatty acid kinase catalytic subunit FakA		41
FeS_nifS	cysteine desulfurase NifS	TIGR03402	10
FliI_clade3	flagellar protein export ATPase FliI	TIGR03498	6
FnlA	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase	TIGR04130	105
FtsE	cell division ATP-binding protein FtsE	TIGR02673	40
FtsH_fam	ATP-dependent zinc metalloprotease FtsH	TIGR01241	180
FtsX_Gpos	permease-like cell division protein FtsX		31
GAPDH-I	type I glyceraldehyde-3-phosphate dehydrogenase	TIGR01534	75
GMP_PMI	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	TIGR01479	6
GMP_reduct_2	GMP reductase	TIGR01306	54
GOGAT_sm_gam	glutamate synthase small subunit	TIGR01317	4
GTP_HflX	GTPase HflX	TIGR03156	58
GTPase_EngA	ribosome biogenesis GTPase Der	TIGR03594	24
GTPase_YlqF	ribosome biogenesis GTPase YlqF	TIGR03596	34
GTPase_YqeH	ribosome biogenesis GTPase YqeH	TIGR03597	24
GTPase_YsxC	ribosome biogenesis GTP-binding protein YihA/YsxC	TIGR03598	21
GalA	beta-galactosidase GalA		3
GalB	beta-galactosidase GalB		9
GguA	sugar ABC transporter ATP-binding protein		145
GguB	sugar ABC transporter permease		101
GlnA	type I glutamate--ammonia ligase	TIGR00653	81
GlrX_NrdH	glutaredoxin-like protein NrdH	TIGR02194	7
GroEL	chaperonin GroEL	TIGR02348	3
GyrA_w_intein	intein-containing DNA gyrase subunit A		9
HAD-SF-IIA-hyp2	TIGR01457 family HAD-type hydrolase	TIGR01457	25
HEQRo_perm_3TM	ABC transporter permease subunit	TIGR01726	4
HGPRTase	hypoxanthine phosphoribosyltransferase	TIGR01203	22
HK_VanS_ACDEFG	vancomycin resistance histidine kinase VanS		12
HK_VicK	cell wall metabolism sensor histidine kinase VicK		8
HK_WalK	cell wall metabolism sensor histidine kinase WalK		120
HMG-CoA-S_prok	hydroxymethylglutaryl-CoA synthase	TIGR01835	81
HMG_CoA_R_NAD	hydroxymethylglutaryl-CoA reductase, degradative	TIGR00532	17
HMP-P_kinase	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	TIGR00097	25
HTH_metalloreg	metalloregulator ArsR/SmtB family transcription factor		2
HelD_BACSU	RNA polymerase recycling motor HelD		2
HpnA	hopanoid-associated sugar epimerase	TIGR03466	6
HpnD	presqualene diphosphate synthase HpnD	TIGR03465	3
HpnE	hydroxysqualene dehydroxylase HpnE	TIGR03467	2
HpnH	adenosyl-hopene transferase HpnH	TIGR03470	10
HpnI	bacteriohopanetetrol glucosamine biosynthesis glycosyltransferase HpnI	TIGR03472	4
HpnJ	hopanoid biosynthesis associated radical SAM protein HpnJ	TIGR03471	24
HpnK	hopanoid biosynthesis-associated protein HpnK	TIGR03473	3
HpnL	putative membrane protein	TIGR03476	1
HpnN	hopanoid biosynthesis associated RND transporter like protein HpnN	TIGR03480	7
IF-2	Translation-initiation factor 2	PF11987.10	108
IF-2	translation initiation factor IF-2	TIGR00487	108
IMPACT_YIGZ	YigZ family protein	TIGR00257	15
IMP_dehydrog	IMP dehydrogenase	TIGR01302	103
IPP_isom_2	type 2 isopentenyl-diphosphate Delta-isomerase	TIGR02151	15
Jag_EloR	RNA-binding cell elongation regulator Jag/EloR		11
L11_bact	50S ribosomal protein L11	TIGR01632	44
L12	50S ribosomal protein L7/L12	TIGR00855	14
L17	50S ribosomal protein L17	TIGR00059	15
L18_bact	50S ribosomal protein L18	TIGR00060	16
L21	50S ribosomal protein L21	TIGR00061	3
L27	50S ribosomal protein L27	TIGR00062	16
L28	50S ribosomal protein L28	TIGR00009	6
L29	50S ribosomal protein L29	TIGR00012	21
L3_bact	50S ribosomal protein L3	TIGR03625	29
L6_bact	50S ribosomal protein L6	TIGR03654	53
LPS_export_lptB	LPS export ABC transporter ATP-binding protein	TIGR04406	12
LTA_DltD	D-alanyl-lipoteichoic acid biosynthesis protein DltD	TIGR04092	14
LTA_dltB	D-alanyl-lipoteichoic acid biosynthesis protein DltB	TIGR04091	66
L_ocin_972_ABC	putative bacteriocin export ABC transporter	TIGR03608	45
LolD_lipo_ex	lipoprotein-releasing ABC transporter ATP-binding protein LolD	TIGR02211	3
M3_fam_3	M3 family oligoendopeptidase	TIGR02290	62
MG423	RNase J family beta-CASP ribonuclease	TIGR00649	60
MGSA	methylglyoxal synthase	TIGR00160	29
MTHFS_bact	5-formyltetrahydrofolate cyclo-ligase	TIGR02727	2
MltB_2	lytic murein transglycosylase	TIGR02283	4
MobQ	MobQ family relaxase		8
MotA1	flagellar motor stator protein MotA	TIGR03818	3
MsbA_lipidA	lipid A export permease/ATP-binding protein MsbA	TIGR02203	103
MsbA_rel	ABC transporter, permease/ATP-binding protein	TIGR02204	30
MtrAB_MtrA	MtrAB system response regulator MtrA		6
NDP-sugDHase	nucleotide sugar dehydrogenase	TIGR03026	1
NHLM_micro_ABC1	NHLP family bacteriocin export ABC transporter peptidase/permease/ATPase subunit	TIGR03796	17
NusA	transcription termination factor NusA	TIGR01953	36
NusG_myco	transcription termination/antitermination protein NusG	TIGR01956	8
OAH_OAS_sulfhy	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	TIGR01326	6
O_suc_HS_sulf	O-succinylhomoserine sulfhydrylase	TIGR01325	2
Obg_CgtA_exten	Obg family GTPase CgtA	TIGR03595	3
PBP_1a_fam	PBP1A family penicillin-binding protein	TIGR02074	3
PDH_E1_alph_x	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	TIGR03181	69
PDH_E1_alph_y	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	TIGR03182	26
PDHac_trf_long	dihydrolipoyllysine-residue acetyltransferase	TIGR01348	1
PDHac_trf_mito	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	TIGR01349	4
PD_CobS	cobaltochelatase subunit CobS	TIGR01650	7
PFKA_ATP	6-phosphofructokinase	TIGR02482	25
PFK_mixed	phosphofructokinase	TIGR02483	4
PFL2-3	formate C-acetyltransferase/glycerol dehydratase family glycyl radical enzyme	TIGR01774	29
PFLA	pyruvate formate-lyase-activating protein	TIGR02493	12
PFLE_PFLC	glycyl-radical enzyme activating protein	TIGR02494	15
PNPH	purine nucleoside phosphorylase I, inosine and guanosine-specific	TIGR01700	24
PQQ_ABC_ATP	ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system	TIGR03864	3
PQQ_membr_DH	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family	TIGR03074	6
PQQ_syn_pqqB	pyrroloquinoline quinone biosynthesis protein PqqB	TIGR02108	1
PQQ_syn_pqqC	pyrroloquinoline-quinone synthase PqqC	TIGR02111	5
PQQ_syn_pqqE	pyrroloquinoline quinone biosynthesis protein PqqE	TIGR02109	10
PRK00006.1	3-hydroxyacyl-ACP dehydratase FabZ	PRK00006	16
PRK00010.1	50S ribosomal protein L5	PRK00010	71
PRK00011.1	serine hydroxymethyltransferase	PRK00011	105
PRK00013.1	chaperonin GroEL	PRK00013	85
PRK00015.1-1	ribonuclease HII	PRK00015	45
PRK00015.1-3	ribonuclease HII	PRK00015	2
PRK00024.1	DNA repair protein RadC	PRK00024	20
PRK00026.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD	PRK00026	46
PRK00029.1	YdiU family protein	PRK00029	4
PRK00033.1-2	ATP-dependent Clp protease adapter ClpS	PRK00033	5
PRK00047.1	glycerol kinase GlpK	PRK00047	4
PRK00049.1	elongation factor Tu	PRK00049	86
PRK00054.1-2	dihydroorotate dehydrogenase electron transfer subunit	PRK00054	8
PRK00054.1-4	dihydroorotate dehydrogenase electron transfer subunit	PRK00054	14
PRK00064.1-3	DNA replication/repair protein RecF	PRK00064	20
PRK00064.1-5	DNA replication/repair protein RecF	PRK00064	61
PRK00066.1	L-lactate dehydrogenase	PRK00066	83
PRK00071.1-4	nicotinate-nucleotide adenylyltransferase	PRK00071	56
PRK00071.2-2	nicotinate-nucleotide adenylyltransferase	PRK00071	3
PRK00074.1	glutamine-hydrolyzing GMP synthase	PRK00074	88
PRK00080.1	Holliday junction branch migration DNA helicase RuvB	PRK00080	120
PRK00089.1	GTPase Era	PRK00089	38
PRK00092.1-2	ribosome maturation factor RimP	PRK00092	34
PRK00092.2-5	ribosome maturation factor RimP	PRK00092	13
PRK00094.1-3	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	PRK00094	98
PRK00095.1-3	DNA mismatch repair endonuclease MutL	PRK00095	157
PRK00095.2-4	DNA mismatch repair endonuclease MutL	PRK00095	2
PRK00099.1-1	50S ribosomal protein L10	PRK00099	17
PRK00103.1-3	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	PRK00103	33
PRK00103.2-3	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	PRK00103	1
PRK00104.1-4	segregation/condensation protein A	PRK00104	21
PRK00106.1	ribonuclease Y	PRK00106	52
PRK00110.1	YebC/PmpR family DNA-binding transcriptional regulator	PRK00110	45
PRK00114.1	Hsp33 family molecular chaperone HslO	PRK00114	17
PRK00116.1-2	Holliday junction branch migration protein RuvA	PRK00116	1
PRK00118.1-1	putative DNA-binding protein	PRK00118	12
PRK00118.1-4	putative DNA-binding protein	PRK00118	29
PRK00121.2-2	tRNA (guanosine(46)-N7)-methyltransferase TrmB	PRK00121	10
PRK00129.1	uracil phosphoribosyltransferase	PRK00129	15
PRK00132.1	30S ribosomal protein S9	PRK00132	37
PRK00136.1	30S ribosomal protein S8	PRK00136	30
PRK00139.1-2	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	PRK00139	3
PRK00139.2-3	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	PRK00139	16
PRK00139.2-4	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	PRK00139	16
PRK00142.1-4	rhodanese-related sulfurtransferase	PRK00142	7
PRK00143.1	tRNA 2-thiouridine(34) synthase MnmA	PRK00143	73
PRK00147.1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	PRK00147	38
PRK00175.1	homoserine O-acetyltransferase	PRK00175	8
PRK00197.1	glutamate-5-semialdehyde dehydrogenase	PRK00197	7
PRK00202.1-1	transcription antitermination factor NusB	PRK00202	5
PRK00203.1	ribonuclease HI	PRK00203	4
PRK00216.1-1	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	PRK00216	1
PRK00216.1-3	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	PRK00216	6
PRK00226.1-1	transcription elongation factor GreA	PRK00226	31
PRK00226.1-2	transcription elongation factor GreA	PRK00226	7
PRK00226.1-4	transcription elongation factor GreA	PRK00226	14
PRK00230.1	orotidine-5'-phosphate decarboxylase	PRK00230	31
PRK00258.2-1	shikimate dehydrogenase	PRK00258	2
PRK00277.1	ATP-dependent Clp protease proteolytic subunit	PRK00277	51
PRK00278.1-2	indole-3-glycerol phosphate synthase TrpC	PRK00278	5
PRK00278.1-4	indole-3-glycerol phosphate synthase TrpC	PRK00278	2
PRK00278.1-6	indole-3-glycerol phosphate synthase TrpC	PRK00278	1
PRK00279.1-2	adenylate kinase	PRK00279	56
PRK00279.1-3	adenylate kinase	PRK00279	5
PRK00279.1-4	adenylate kinase	PRK00279	9
PRK00281.3-4	undecaprenyl-diphosphate phosphatase	PRK00281	4
PRK00283.1	tyrosine recombinase	PRK00283	9
PRK00290.1	molecular chaperone DnaK	PRK00290	121
PRK00311.1	3-methyl-2-oxobutanoate hydroxymethyltransferase	PRK00311	10
PRK00331.1	isomerizing glutamine--fructose-6-phosphate transaminase	PRK00331	46
PRK00349.1	excinuclease ABC subunit UvrA	PRK00349	249
PRK00364.1-5	co-chaperone GroES	PRK00364	4
PRK00364.2-5	co-chaperone GroES	PRK00364	42
PRK00366.1	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	PRK00366	6
PRK00393.1	GTP cyclohydrolase II RibA	PRK00393	3
PRK00400.1-5	phosphoribosyl-ATP diphosphatase	PRK00400	3
PRK00405.1	DNA-directed RNA polymerase subunit beta	PRK00405	104
PRK00409.1-3	endonuclease MutS2	PRK00409	68
PRK00409.1-5	endonuclease MutS2	PRK00409	37
PRK00443.1-1	glucosamine-6-phosphate deaminase	PRK00443	36
PRK00443.1-4	glucosamine-6-phosphate deaminase	PRK00443	1
PRK00448.1	PolC-type DNA polymerase III	PRK00448	305
PRK00455.1-3	orotate phosphoribosyltransferase	PRK00455	19
PRK00465.1	50S ribosomal protein L36	PRK00465	5
PRK00476.1	aspartate--tRNA ligase	PRK00476	90
PRK00484.1	lysine--tRNA ligase	PRK00484	58
PRK00504.1	50S ribosomal protein L33	PRK00504	5
PRK00509.1	argininosuccinate synthase	PRK00509	14
PRK00528.1	50S ribosomal protein L31	PRK00528	3
PRK00529.1	elongation factor P	PRK00529	8
PRK00549.1	competence/damage-inducible protein A	PRK00549	32
PRK00558.1-5	excinuclease ABC subunit UvrC	PRK00558	8
PRK00567.1-3	large-conductance mechanosensitive channel protein MscL	PRK00567	1
PRK00571.1-3	F0F1 ATP synthase subunit epsilon	PRK00571	29
