L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	K00013	Histidinol dehydrogenase	1.1.1.23	hisD	2
Metabolism	Lipid metabolism	Glycerophospholipid metabolism [PATH:ko00564]	K00057	Glycerol-3-phosphate dehydrogenase (NAD(P)+)	1.1.1.94	gpsA	2
Metabolism	Lipid metabolism	Glycerophospholipid metabolism [PATH:ko00564]	K00105	Alpha-glycerophosphate oxidase	1.1.3.21	E1.1.3.21	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00133	Aspartate-semialdehyde dehydrogenase	1.2.1.11	asd	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00133	Aspartate-semialdehyde dehydrogenase	1.2.1.11	asd	1
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00133	Aspartate-semialdehyde dehydrogenase	1.2.1.11	asd	1
Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis [PATH:ko00261]	K00133	Aspartate-semialdehyde dehydrogenase	1.2.1.11	asd	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00135	Succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	gabD	4
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00135	Succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	gabD	4
Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00135	Succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	gabD	4
Metabolism	Amino acid metabolism	Tyrosine metabolism [PATH:ko00350]	K00135	Succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	gabD	4
Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism [PATH:ko00760]	K00135	Succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	gabD	4
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00158	Pyruvate oxidase	1.2.3.3	E1.2.3.3, poxL	2
Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00262	Glutamate dehydrogenase (NADP+)	1.4.1.4	E1.4.1.4, gdhA	2
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00262	Glutamate dehydrogenase (NADP+)	1.4.1.4	E1.4.1.4, gdhA	2
Metabolism	Amino acid metabolism	Arginine biosynthesis [PATH:ko00220]	K00262	Glutamate dehydrogenase (NADP+)	1.4.1.4	E1.4.1.4, gdhA	2
Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00265	Glutamate synthase (NADPH) large chain	1.4.1.13	gltB	2
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00265	Glutamate synthase (NADPH) large chain	1.4.1.13	gltB	2
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K00265	Glutamate synthase (NADPH) large chain	1.4.1.13	gltB	2
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00284	Glutamate synthase (ferredoxin)	1.4.7.1	GLU, gltS	2
Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00284	Glutamate synthase (ferredoxin)	1.4.7.1	GLU, gltS	2
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K00284	Glutamate synthase (ferredoxin)	1.4.7.1	GLU, gltS	2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00382	Dihydrolipoamide dehydrogenase	1.8.1.4	DLD, lpd, pdhD	2
Metabolism	Metabolism of other amino acids	Selenocompound metabolism [PATH:ko00450]	K00384	Thioredoxin reductase (NADPH)	1.8.1.9	trxB, TRR	1
Metabolism	Energy metabolism	Oxidative phosphorylation [PATH:ko00190]	K00410	Ubiquinol-cytochrome c reductase cytochrome b/c1 subunit		fbcH	1
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K00410	Ubiquinol-cytochrome c reductase cytochrome b/c1 subunit		fbcH	1
Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis [BR:ko03016]	K00554	TRNA (guanine37-N1)-methyltransferase	2.1.1.228	trmD	2
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00639	Glycine C-acetyltransferase	2.3.1.29	kbl, GCAT	2
Brite Hierarchies	Protein families: metabolism	Amino acid related enzymes [BR:ko01007]	K00639	Glycine C-acetyltransferase	2.3.1.29	kbl, GCAT	2
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	K00705	4-alpha-glucanotransferase	2.4.1.25	malQ	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K00764	Amidophosphoribosyltransferase	2.4.2.14	purF, PPAT	4
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00764	Amidophosphoribosyltransferase	2.4.2.14	purF, PPAT	4
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K00764	Amidophosphoribosyltransferase	2.4.2.14	purF, PPAT	4
Metabolism	Metabolism of cofactors and vitamins	Porphyrin and chlorophyll metabolism [PATH:ko00860]	K00768	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	2.4.2.21	E2.4.2.21, cobU, cobT	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00820	Glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	glmS, GFPT	3
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00820	Glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	glmS, GFPT	3
Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	K00820	Glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	glmS, GFPT	3
Human Diseases	Endocrine and metabolic disease	Insulin resistance [PATH:ko04931]	K00820	Glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	glmS, GFPT	3
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K00820	Glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	glmS, GFPT	3
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00841	Aminotransferase	2.6.1.-	patA	1
Brite Hierarchies	Protein families: metabolism	Amino acid related enzymes [BR:ko01007]	K00841	Aminotransferase	2.6.1.-	patA	1
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:ko00052]	K00849	Galactokinase	2.7.1.6	galK	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00849	Galactokinase	2.7.1.6	galK	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00849	Galactokinase	2.7.1.6	galK	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Human Diseases	Cancer: overview	Viral carcinogenesis [PATH:ko05203]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Human Diseases	Infectious disease: viral	Human papillomavirus infection [PATH:ko05165]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Human Diseases	Endocrine and metabolic disease	Type II diabetes mellitus [PATH:ko04930]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Brite Hierarchies	Protein families: genetic information processing	Membrane trafficking [BR:ko04131]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00873	Pyruvate kinase	2.7.1.40	PK, pyk	2
Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K00903	Protein-tyrosine kinase	2.7.10.2	epsB	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00925	Acetate kinase	2.7.2.1	ackA	4
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00925	Acetate kinase	2.7.2.1	ackA	4
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00925	Acetate kinase	2.7.2.1	ackA	4
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K00925	Acetate kinase	2.7.2.1	ackA	4
Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism [PATH:ko00430]	K00925	Acetate kinase	2.7.2.1	ackA	4
Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00926	Carbamate kinase	2.7.2.2	arcC	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K00926	Carbamate kinase	2.7.2.2	arcC	1
Metabolism	Amino acid metabolism	Arginine biosynthesis [PATH:ko00220]	K00926	Carbamate kinase	2.7.2.2	arcC	1
Metabolism	Amino acid metabolism	Arginine biosynthesis [PATH:ko00220]	K00930	Acetylglutamate kinase	2.7.2.8	argB	2
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00948	Ribose-phosphate pyrophosphokinase	2.7.6.1	PRPS, prsA	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K00948	Ribose-phosphate pyrophosphokinase	2.7.6.1	PRPS, prsA	1
Metabolism	Energy metabolism	Sulfur metabolism [PATH:ko00920]	K00957	Sulfate adenylyltransferase subunit 2	2.7.7.4	cysD	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K00957	Sulfate adenylyltransferase subunit 2	2.7.7.4	cysD	1
Metabolism	Metabolism of other amino acids	Selenocompound metabolism [PATH:ko00450]	K00957	Sulfate adenylyltransferase subunit 2	2.7.7.4	cysD	1
Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis [PATH:ko00261]	K00957	Sulfate adenylyltransferase subunit 2	2.7.7.4	cysD	1
Genetic Information Processing	Folding, sorting and degradation	RNA degradation [PATH:ko03018]	K00962	Polyribonucleotide nucleotidyltransferase	2.7.7.8	pnp, PNPT1	1
Brite Hierarchies	Protein families: genetic information processing	Messenger RNA biogenesis [BR:ko03019]	K00962	Polyribonucleotide nucleotidyltransferase	2.7.7.8	pnp, PNPT1	1
Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis [BR:ko03016]	K00962	Polyribonucleotide nucleotidyltransferase	2.7.7.8	pnp, PNPT1	1
Metabolism	Lipid metabolism	Glycerophospholipid metabolism [PATH:ko00564]	K00980	Glycerol-3-phosphate cytidylyltransferase	2.7.7.39	tagD	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K01006	Pyruvate, orthophosphate dikinase	2.7.9.1	ppdK	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K01006	Pyruvate, orthophosphate dikinase	2.7.9.1	ppdK	1
