L1	ID	Function	EC	UNIPROT ID	Count
Virus protein with function beneficial for the host	VOG50974	ATP-dependent Clp protease ATP-binding subunit ClpA		CLPA_ECOLI	105
Virus protein with function beneficial for the host	VOG52497	Autonomous glycyl radical cofactor		GRCA_KLEP7	3
Virus protein with function beneficial for the host	VOG53034	Bactoprenol glucosyl transferase		GTRB_BPSF5	2
Function unknown	VOG55385	Carboxylate--amine ligase			1
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG56103	DNA-directed RNA polymerase 147 kDa polypeptide		RP147_MONPV	5
Function unknown	VOG56265	Superinfection exclusion			7
Virus replication	VOG56411	Small ribosomal subunit protein bS21		RS21_YERPP	8
Virus protein with function beneficial for the host	VOG56453	Cold shock-like protein CspJ		CSPJ_SALTS	1
Virus protein with function beneficial for the host | Virus replication	VOG56757	DNA ligase		DNLJ_CAMC1	6
Virus protein with function beneficial for the host	VOG57075	Bifunctional purine biosynthesis protein PurH		PUR9_SYNS3	4
Function unknown	VOG57154	Hypothetical protein			13
Virus protein with function beneficial for the host | Virus replication	VOG57177	Integrase		INTR_SACER	20
Function unknown	VOG57452	Exodeoxyribonuclease 7 large subunit		EX7L_COREF	14
Virus protein with function beneficial for the host | Virus structure	VOG58565	Movement protein Hsp70h		MVP_LIYV9	19
Function unknown	VOG60362	DNA helicase			20
Function unknown	VOG60711	Hypothetical protein			44
Function unknown	VOG60726	Uncharacterized protein YcgL		YCGL_BACSU	5
Function unknown	VOG60876	SPbeta prophage-derived uncharacterized protein YorM		YORM_BACSU	7
Function unknown	VOG61787	Anti-repressor Ant			8
Function unknown	VOG61899	Anti-repressor Ant			12
Function unknown	VOG62282	Ribonuclease R		RNR_BACSU	2
Function unknown	VOG62698	Minor head protein			64
Function unknown	VOG63305	Tail length tape measure protein			1
Virus replication	VOG64443	Terminase small subunit		TERS_BPSF6	12
Function unknown	VOG64671	FtsK/SpoIIIE-like protein			15
Function unknown	VOG64695	Gp2.5-like ssDNA binding protein and ssDNA annealing protein			9
Virus protein with function beneficial for the host	VOG65283	Ribonucleoside-diphosphate reductase NrdEB subunit alpha		NRDEB_BACSU	6
Function unknown	VOG66140	Anti-repressor			12
Function unknown	VOG66586	Tail length tape measure protein			8
Function unknown	VOG67098	Hypothetical protein			1
Function unknown	VOG69026	Putative human platelet-binding protein			6
Function unknown	VOG69578	Anti-repressor Ant			1
Function unknown	VOG69875	Anti-repressor Ant			8
Virus protein with function beneficial for the host	VOG69918	Ribonucleoside-diphosphate reductase subunit alpha		RIR1_MYCBO	23
Virus protein with function beneficial for the virus	VOG71204	Repressor protein cI		RPC1_LAMBD	1
Virus protein with function beneficial for the host	VOG71596	Protein Soj homolog		SOJ_TREPA	11
Virus protein with function beneficial for the host	VOG71642	Ribonucleoside-diphosphate reductase large subunit		RIR1_IIV6	1
