L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00005	Glycerol dehydrogenase	1.1.1.6	gldA	1
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K00005	Glycerol dehydrogenase	1.1.1.6	gldA	1
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	2
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	2
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	2
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	2
Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	K00013	Histidinol dehydrogenase	1.1.1.23	hisD	2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	1
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	1
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	1
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00031	Isocitrate dehydrogenase	1.1.1.42	IDH1, IDH2, icd	1
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00031	Isocitrate dehydrogenase	1.1.1.42	IDH1, IDH2, icd	1
Metabolism	Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	K00031	Isocitrate dehydrogenase	1.1.1.42	IDH1, IDH2, icd	1
Cellular Processes	Transport and catabolism	Peroxisome [PATH:ko04146]	K00031	Isocitrate dehydrogenase	1.1.1.42	IDH1, IDH2, icd	1
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00031	Isocitrate dehydrogenase	1.1.1.42	IDH1, IDH2, icd	1
