ID	Function	Gene	Count
TIGR00002	ribosomal protein bS16	rpsP	53
TIGR00005	pseudouridine synthase, RluA family		173
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	rsmH	179
TIGR00008	translation initiation factor IF-1	infA	172
TIGR00009	ribosomal protein bL28	rpmB	11
TIGR00010	hydrolase, TatD family		130
TIGR00011	Cys-tRNA(Pro) deacylase	ybaK	44
TIGR00012	ribosomal protein uL29	rpmC	83
TIGR00016	acetate kinase	ackA	275
TIGR00017	cytidylate kinase	cmk	68
TIGR00019	peptide chain release factor 1	prfA	497
TIGR00020	peptide chain release factor 2	prfB	492
TIGR00021	ribose 5-phosphate isomerase A	rpiA	108
TIGR00030	ribosomal protein bS21	rpsU	27
TIGR00033	chorismate synthase	aroC	27
TIGR00034	3-deoxy-7-phosphoheptulonate synthase		2
TIGR00038	translation elongation factor P	efp	30
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	rdgB	41
TIGR00043	rRNA maturation RNase YbeY	ybeY	48
TIGR00045	glycerate kinase		13
TIGR00048	23S rRNA (adenine(2503)-C(2))-methyltransferase	rlmN	28
TIGR00054	RIP metalloprotease RseP	rseP	38
TIGR00055	di-trans,poly-cis-decaprenylcistransferase	uppS	125
TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family		38
TIGR00059	ribosomal protein bL17	rplQ	41
TIGR00060	ribosomal protein uL18	rplR	76
TIGR00061	ribosomal protein bL21	rplU	8
TIGR00062	ribosomal protein bL27	rpmA	99
TIGR00064	signal recognition particle-docking protein FtsY	ftsY	407
TIGR00065	cell division protein FtsZ	ftsZ	291
TIGR00067	glutamate racemase	murI	33
TIGR00071	tRNA pseudouridine(38-40) synthase	truA	1
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)	nadC	120
TIGR00079	peptide deformylase	def	9
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC	23
TIGR00084	Holliday junction DNA helicase RuvA	ruvA	2
TIGR00086	SsrA-binding protein	smpB	32
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase	trmD	133
TIGR00090	ribosome silencing factor	rsfS	22
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	trmB	30
TIGR00092	GTP-binding protein YchF	ychF	431
TIGR00093	pseudouridine synthase		10
TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	rsmD	4
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	65
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	102
TIGR00099	Cof-like hydrolase		181
TIGR00101	urease accessory protein UreG	ureG	1
TIGR00107	purine nucleoside phosphorylase	deoD	201
TIGR00112	pyrroline-5-carboxylate reductase	proC	23
TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	206
TIGR00115	trigger factor	tig	170
