ID	Function	Clan	Gene	Count
PF00004	ATPase family associated with various cellular activities (AAA)	CL0023	AAA	3
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	CL0023	ATP-synt_ab	25
PF00009	Elongation factor Tu GTP binding domain	CL0023	GTP_EFTU	95
PF00012	Hsp70 protein	CL0108	HSP70	126
PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain		MCPsignal	4
PF00032	Cytochrome b(C-terminal)/b6/petD		Cytochrom_B_C	2
PF00033	Cytochrome b/b6/petB	CL0328	Cytochrome_B	2
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	CL0063	Gp_dh_N	13
PF00046	Homeodomain	CL0123	Homeodomain	9
PF00069	Protein kinase domain	CL0016	Pkinase	8
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain		Sod_Fe_N	12
PF00085	Thioredoxin	CL0172	Thioredoxin	1
PF00091	Tubulin/FtsZ family, GTPase domain	CL0063	Tubulin	6
PF00108	Thiolase, N-terminal domain	CL0046	Thiolase_N	8
PF00113	Enolase, C-terminal TIM barrel domain	CL0036	Enolase_C	53
PF00115	Cytochrome C and Quinol oxidase polypeptide I	CL0714	COX1	1
PF00117	Glutamine amidotransferase class-I	CL0014	GATase	9
PF00120	Glutamine synthetase, catalytic domain	CL0286	Gln-synt_C	67
PF00121	Triosephosphate isomerase	CL0036	TIM	42
PF00122	E1-E2 ATPase		E1-E2_ATPase	8
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	CL0123	HTH_1	6
PF00128	Alpha amylase, catalytic domain	CL0036	Alpha-amylase	39
PF00133	tRNA synthetases class I (I, L, M and V)	CL0039	tRNA-synt_1	87
PF00140	Sigma-70 factor, region 1.2		Sigma70_r1_2	6
PF00152	tRNA synthetases class II (D, K and N) 	CL0040	tRNA-synt_2	77
PF00154	recA bacterial DNA recombination protein	CL0023	RecA	142
PF00158	Sigma-54 interaction domain	CL0023	Sigma54_activat	24
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	CL0475	Pro_isomerase	30
PF00162	Phosphoglycerate kinase		PGK	51
PF00163	Ribosomal protein S4/S9 N-terminal domain	CL0492	Ribosomal_S4	2
PF00164	Ribosomal protein S12/S23	CL0021	Ribosom_S12_S23	29
PF00166	Chaperonin 10 Kd subunit	CL0296	Cpn10	2
PF00171	Aldehyde dehydrogenase family	CL0099	Aldedh	1
PF00177	Ribosomal protein S7p/S5e		Ribosomal_S7	56
PF00180	Isocitrate/isopropylmalate dehydrogenase	CL0270	Iso_dh	5
PF00181	Ribosomal Proteins L2, RNA binding domain	CL0021	Ribosomal_L2	30
PF00183	Hsp90 protein		HSP90	9
PF00186	Dihydrofolate reductase	CL0387	DHFR_1	19
PF00189	Ribosomal protein S3, C-terminal domain		Ribosomal_S3_C	28
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	CL0149	2-oxoacid_dh	20
PF00199	Catalase		Catalase	23
PF00202	Aminotransferase class-III	CL0061	Aminotran_3	2
PF00203	Ribosomal protein S19		Ribosomal_S19	30
PF00204	DNA gyrase B	CL0329	DNA_gyraseB	70
PF00206	Lyase		Lyase_1	9
PF00216	Bacterial DNA-binding protein	CL0548	Bac_DNA_binding	14
PF00218	Indole-3-glycerol phosphate synthase	CL0036	IGPS	5
PF00224	Pyruvate kinase, barrel domain	CL0036	PK	80
PF00226	DnaJ domain	CL0392	DnaJ	25
PF00231	ATP synthase		ATP-synt	16
PF00232	Glycosyl hydrolase family 1	CL0036	Glyco_hydro_1	103
PF00233	3'5'-cyclic nucleotide phosphodiesterase	CL0237	PDEase_I	10
PF00237	Ribosomal protein L22p/L17e		Ribosomal_L22	32
PF00238	Ribosomal protein L14p/L23e		Ribosomal_L14	32
PF00252	Ribosomal protein L16p/L10e	CL0021	Ribosomal_L16	36
PF00253	Ribosomal protein S14p/S29e		Ribosomal_S14	7
PF00266	Aminotransferase class-V	CL0061	Aminotran_5	66
PF00268	Ribonucleotide reductase, small chain	CL0044	Ribonuc_red_sm	2
PF00270	DEAD/DEAH box helicase	CL0023	DEAD	2
PF00271	Helicase conserved C-terminal domain	CL0023	Helicase_C	16
PF00276	Ribosomal protein L23		Ribosomal_L23	6
PF00281	Ribosomal protein L5	CL0652	Ribosomal_L5	11
PF00285	Citrate synthase, C-terminal domain		Citrate_synt	5
PF00289	Biotin carboxylase, N-terminal domain	CL0063	Biotin_carb_N	11
PF00290	Tryptophan synthase alpha chain	CL0036	Trp_syntA	3
PF00298	Ribosomal protein L11, RNA binding domain		Ribosomal_L11	18
PF00303	Thymidylate synthase		Thymidylat_synt	46
PF00306	ATP synthase alpha/beta chain, C terminal domain		ATP-synt_ab_C	34
PF00308	Bacterial dnaA  protein	CL0023	Bac_DnaA	38
PF00310	Glutamine amidotransferases class-II	CL0052	GATase_2	3
PF00312	Ribosomal protein S15	CL0600	Ribosomal_S15	23
PF00313	'Cold-shock' DNA-binding domain	CL0021	CSD	37
PF00318	Ribosomal protein S2	CL0067	Ribosomal_S2	64
PF00327	Ribosomal protein L30p/L7e		Ribosomal_L30	12
PF00330	Aconitase family (aconitate hydratase)		Aconitase	8
PF00333	Ribosomal protein S5, N-terminal domain	CL0196	Ribosomal_S5	26
PF00334	Nucleoside diphosphate kinase		NDK	2
PF00338	Ribosomal protein S10p/S20e		Ribosomal_S10	26
PF00344	SecY	CL0376	SecY	18
PF00348	Polyprenyl synthetase	CL0613	polyprenyl_synt	7
PF00356	Bacterial regulatory proteins, lacI family	CL0123	LacI	21
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	CL0105	PTS_EIIA_1	166
PF00364	Biotin-requiring enzyme	CL0105	Biotin_lipoyl	4
PF00365	Phosphofructokinase	CL0240	PFK	42
PF00366	Ribosomal protein S17	CL0021	Ribosomal_S17	21
PF00367	phosphotransferase system, EIIB		PTS_EIIB	10
PF00368	Hydroxymethylglutaryl-coenzyme A reductase		HMG-CoA_red	20
PF00380	Ribosomal protein S9/S16	CL0329	Ribosomal_S9	14
PF00381	PTS HPr component phosphorylation site		PTS-HPr	12
PF00390	Malic enzyme, N-terminal domain	CL0603	malic	2
PF00391	PEP-utilising enzyme, mobile domain	CL0364	PEP-utilizers	9
PF00392	Bacterial regulatory proteins, gntR family	CL0123	GntR	8
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	CL0106	6PGD	65
PF00406	Adenylate kinase	CL0023	ADK	28
PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain		PGM_PMM_IV	2
PF00410	Ribosomal protein S8		Ribosomal_S8	14
PF00411	Ribosomal protein S11	CL0267	Ribosomal_S11	29
PF00413	Matrixin	CL0126	Peptidase_M10	12
PF00416	Ribosomal protein S13/S18	CL0303	Ribosomal_S13	13
PF00425	chorismate binding enzyme		Chorismate_bind	1
PF00436	Single-strand binding protein family	CL0021	SSB	8
PF00437	Type II/IV secretion system protein	CL0023	T2SSE	4
PF00438	S-adenosylmethionine synthetase, N-terminal domain		S-AdoMet_synt_N	15
PF00444	Ribosomal protein L36		Ribosomal_L36	5
PF00448	SRP54-type protein, GTPase domain	CL0023	SRP54	33
PF00449	Urease alpha-subunit, N-terminal domain	CL0036	Urease_alpha	5
PF00453	Ribosomal protein L20		Ribosomal_L20	28
PF00456	Transketolase, thiamine diphosphate binding domain	CL0254	Transketolase_N	56
PF00459	Inositol monophosphatase family	CL0171	Inositol_P	11
PF00464	Serine hydroxymethyltransferase	CL0061	SHMT	54
PF00465	Iron-containing alcohol dehydrogenase 	CL0224	Fe-ADH	47
PF00468	Ribosomal protein L34		Ribosomal_L34	12
PF00471	Ribosomal protein L33	CL0167	Ribosomal_L33	11
PF00472	RF-1 domain	CL0337	RF-1	58
PF00475	Imidazoleglycerol-phosphate dehydratase	CL0329	IGPD	3
PF00476	DNA polymerase family A		DNA_pol_A	83
PF00478	IMP dehydrogenase / GMP reductase domain	CL0036	IMPDH	104
