L1	L2	L3	ID	Function	EC	Gene	Count
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	K02897	Large subunit ribosomal protein L25		RP-L25, rplY	2
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	K02897	Large subunit ribosomal protein L25		RP-L25, rplY	2
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	K02904	Large subunit ribosomal protein L29		RP-L29, rpmC	6
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	K02904	Large subunit ribosomal protein L29		RP-L29, rpmC	6
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	K02906	Large subunit ribosomal protein L3		RP-L3, MRPL3, rplC	25
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	K02906	Large subunit ribosomal protein L3		RP-L3, MRPL3, rplC	25
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	K02909	Large subunit ribosomal protein L31		RP-L31, rpmE	3
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	K02909	Large subunit ribosomal protein L31		RP-L31, rpmE	3
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	K02914	Large subunit ribosomal protein L34		RP-L34, MRPL34, rpmH	2
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	K02914	Large subunit ribosomal protein L34		RP-L34, MRPL34, rpmH	2
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	K02919	Large subunit ribosomal protein L36		RP-L36, MRPL36, rpmJ	2
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	K02919	Large subunit ribosomal protein L36		RP-L36, MRPL36, rpmJ	2
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	K02926	Large subunit ribosomal protein L4		RP-L4, MRPL4, rplD	25
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	K02926	Large subunit ribosomal protein L4		RP-L4, MRPL4, rplD	25
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	K02931	Large subunit ribosomal protein L5		RP-L5, MRPL5, rplE	24
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	K02931	Large subunit ribosomal protein L5		RP-L5, MRPL5, rplE	24
Genetic Information Processing	Translation	Ribosome [PATH:ko03010]	K02933	Large subunit ribosomal protein L6		RP-L6, MRPL6, rplF	18
Brite Hierarchies	Protein families: genetic information processing	Ribosome [BR:ko03011]	K02933	Large subunit ribosomal protein L6		RP-L6, MRPL6, rplF	18
