L1	L2	L3	ID	Function	EC	Gene	Count
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K03297	Small multidrug resistance pump		emrE, qac, mmr, smr	1
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Transport	K03305	Proton-dependent oligopeptide transporter, POT family		TC.POT	12
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Transport	K03311	Branched-chain amino acid:cation transporter, LIVCS family		TC.LIVCS	15
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K03315	Na+:H+ antiporter, NhaC family		nhaC	18
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K03320	Ammonium transporter, Amt family		amt, AMT, MEP	2
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K03322	Manganese transport protein		mntH	51
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K03332	Fructan beta-fructosidase	3.2.1.80	fruA	1
Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism [PATH:ko00562]	K03339	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase	4.1.2.29	iolJ	7
Metabolism	Metabolism of other amino acids	D-Alanine metabolism [PATH:ko00473]	K03367	D-alanine--poly(phosphoribitol) ligase subunit 1	6.1.1.13	dltA	16
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K03367	D-alanine--poly(phosphoribitol) ligase subunit 1	6.1.1.13	dltA	16
Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection [PATH:ko05150]	K03367	D-alanine--poly(phosphoribitol) ligase subunit 1	6.1.1.13	dltA	16
Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]	K03367	D-alanine--poly(phosphoribitol) ligase subunit 1	6.1.1.13	dltA	16
Brite Hierarchies	Protein families: signaling and cellular processes	Antimicrobial resistance genes [BR:ko01504]	K03367	D-alanine--poly(phosphoribitol) ligase subunit 1	6.1.1.13	dltA	16
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K03387	NADH-dependent peroxiredoxin subunit F	1.8.1.-	ahpF	5
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	K03402	Transcriptional regulator of arginine metabolism		argR, ahrC	3
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K03424	TatD DNase family protein	3.1.21.-	tatD	3
Brite Hierarchies	Protein families: signaling and cellular processes	Prokaryotic defense system [BR:ko02048]	K03427	Type I restriction enzyme M protein	2.1.1.72	hsdM	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K03431	Phosphoglucosamine mutase	5.4.2.10	glmM	50
Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis [BR:ko03016]	K03437	RNA methyltransferase, TrmH family		spoU	6
Brite Hierarchies	Protein families: genetic information processing	Ribosome biogenesis [BR:ko03009]	K03438	16S rRNA (cytosine1402-N4)-methyltransferase	2.1.1.199	mraW, rsmH	18
Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis [BR:ko03016]	K03439	TRNA (guanine-N7-)-methyltransferase	2.1.1.33	trmB, METTL1, TRM8	2
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K03446	MFS transporter, DHA2 family, multidrug resistance protein		emrB	5
Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	K03465	Thymidylate synthase (FAD)	2.1.1.148	thyX, thy1	2
Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate [PATH:ko00670]	K03465	Thymidylate synthase (FAD)	2.1.1.148	thyX, thy1	2
Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins [BR:ko03036]	K03466	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family		ftsK, spoIIIE	55
Genetic Information Processing	Replication and repair	DNA replication [PATH:ko03030]	K03470	Ribonuclease HII	3.1.26.4	rnhB	17
Brite Hierarchies	Protein families: genetic information processing	DNA replication proteins [BR:ko03032]	K03470	Ribonuclease HII	3.1.26.4	rnhB	17
Genetic Information Processing	Replication and repair	DNA replication [PATH:ko03030]	K03471	Ribonuclease HIII	3.1.26.4	rnhC	5
Brite Hierarchies	Protein families: genetic information processing	DNA replication proteins [BR:ko03032]	K03471	Ribonuclease HIII	3.1.26.4	rnhC	5
Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism [PATH:ko00750]	K03474	Pyridoxine 5-phosphate synthase	2.6.99.2	pdxJ	2
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K03475	Ascorbate PTS system EIIC component		ulaA, sgaT	12
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K03475	Ascorbate PTS system EIIC component		ulaA, sgaT	12
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K03475	Ascorbate PTS system EIIC component		ulaA, sgaT	12
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	K03484	LacI family transcriptional regulator, sucrose operon repressor		scrR	6
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	K03488	Beta-glucoside operon transcriptional antiterminator		licT, bglG	9
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	K03489	GntR family transcriptional regulator, transcriptional regulator of bglA		yydK	4
Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis [BR:ko03016]	K03495	TRNA uridine 5-carboxymethylaminomethyl modification enzyme		gidA, mnmG, MTO1	71
Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins [BR:ko03036]	K03495	TRNA uridine 5-carboxymethylaminomethyl modification enzyme		gidA, mnmG, MTO1	71
Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins [BR:ko03036]	K03496	Chromosome partitioning protein		parA, soj	21
Brite Hierarchies	Protein families: signaling and cellular processes	Cytoskeleton proteins [BR:ko04812]	K03496	Chromosome partitioning protein		parA, soj	21
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	K03497	ParB family transcriptional regulator, chromosome partitioning protein		parB, spo0J	9
Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins [BR:ko03036]	K03497	ParB family transcriptional regulator, chromosome partitioning protein		parB, spo0J	9
Brite Hierarchies	Protein families: signaling and cellular processes	Cytoskeleton proteins [BR:ko04812]	K03497	ParB family transcriptional regulator, chromosome partitioning protein		parB, spo0J	9
Brite Hierarchies	Protein families: genetic information processing	Ribosome biogenesis [BR:ko03009]	K03500	16S rRNA (cytosine967-C5)-methyltransferase	2.1.1.176	rsmB, sun	11
Brite Hierarchies	Protein families: genetic information processing	Ribosome biogenesis [BR:ko03009]	K03501	16S rRNA (guanine527-N7)-methyltransferase	2.1.1.170	gidB, rsmG	7
Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins [BR:ko03036]	K03501	16S rRNA (guanine527-N7)-methyltransferase	2.1.1.170	gidB, rsmG	7
Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism [PATH:ko00760]	K03517	Quinolinate synthase	2.5.1.72	nadA	18
Not Included in Pathway or Brite	Unclassified: metabolism	Energy metabolism	K03521	Electron transfer flavoprotein beta subunit		fixA, etfB	4
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K03522	Electron transfer flavoprotein alpha subunit		fixB, etfA	2
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K03523	Biotin transport system substrate-specific component		bioY	4
