L1	ID	Function	EC	UNIPROT ID	Count
Function unknown	VOG13845	Tail length tape measure protein			1
Function unknown	VOG19709	Acetyltransferase			1
Function unknown	VOG33675	Involved in bacteriocin production or immunity			1
Virus protein with function beneficial for the host	VOG40469	Anaerobic ribonucleoside-triphosphate reductase		NRDD_SALTY	6
Virus protein with function beneficial for the host | Virus replication	VOG56822	RecQ-like DNA helicase BLM		BLM_MOUSE	2
Function unknown	VOG64671	FtsK/SpoIIIE-like protein			1
