ID	Function	Source	Count
APH_6	APH(6)-I family aminoglycoside O-phosphotransferase		1
ATP_synt_c	ATP synthase F0 subunit C	TIGR01260	1
ATPase-IB2_Cd	cadmium family heavy metal-translocating P-type ATPase	TIGR01512	2
Bac_Flav_CT_J	conjugative transposon protein TraJ	TIGR03782	2
CobT	Cobalamin biosynthesis protein CobT	PF06213.14	1
CobT	cobaltochelatase subunit CobT	TIGR01651	1
D_pro_red_PrdA	D-proline reductase (dithiol) proprotein PrdA	TIGR04480	2
EF-G	elongation factor G	TIGR00484	1
HK_WalK	cell wall metabolism sensor histidine kinase WalK		2
HpaI	4-hydroxy-2-oxoheptanedioate aldolase	TIGR02311	2
HpnJ	hopanoid biosynthesis associated radical SAM protein HpnJ	TIGR03471	4
IF-2	Translation-initiation factor 2	PF11987.10	2
IF-2	translation initiation factor IF-2	TIGR00487	2
LTA_DltD	D-alanyl-lipoteichoic acid biosynthesis protein DltD	TIGR04092	1
OMP_RagA_SusC	SusC/RagA family TonB-linked outer membrane protein	TIGR04056	1
PBP_1a_fam	PBP1A family penicillin-binding protein	TIGR02074	2
PDH_E1_alph_y	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	TIGR03182	2
PRK00015.1-1	ribonuclease HII	PRK00015	1
PRK00047.1	glycerol kinase GlpK	PRK00047	2
PRK00064.1-3	DNA replication/repair protein RecF	PRK00064	2
PRK00064.1-5	DNA replication/repair protein RecF	PRK00064	2
PRK00094.1-3	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	PRK00094	1
PRK00110.1	YebC/PmpR family DNA-binding transcriptional regulator	PRK00110	1
PRK00139.2-1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	PRK00139	3
PRK00299.1	sulfurtransferase TusA	PRK00299	3
PRK00349.1	excinuclease ABC subunit UvrA	PRK00349	2
PRK00448.1	PolC-type DNA polymerase III	PRK00448	2
PRK00741.1	peptide chain release factor 3	PRK00741	1
PRK00881.1	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	PRK00881	4
PRK00915.1-4	2-isopropylmalate synthase	PRK00915	2
PRK01213.1	phosphoribosylformylglycinamidine synthase subunit PurL	PRK01213	2
PRK01259.1	ribose-phosphate diphosphokinase	PRK01259	1
PRK02101.2-5	peroxide stress protein YaaA	PRK02101	2
PRK02234.1-1	Holliday junction resolvase RecU	PRK02234	1
PRK02491.1	nucleoside-triphosphate diphosphatase	PRK02491	1
PRK03317.1	histidinol-phosphate transaminase	PRK03317	2
PRK03932.1	asparagine--tRNA ligase	PRK03932	2
PRK04284.1	ornithine carbamoyltransferase	PRK04284	1
PRK05198.1	3-deoxy-8-phosphooctulonate synthase	PRK05198	2
PRK05261.1-3	phosphoketolase	PRK05261	2
PRK05291.1-3	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	PRK05291	1
PRK05298.1	excinuclease ABC subunit UvrB	PRK05298	1
PRK05321.1	nicotinate phosphoribosyltransferase	PRK05321	1
PRK05380.1	CTP synthase	PRK05380	1
PRK05402.1	1,4-alpha-glucan branching protein GlgB	PRK05402	4
PRK05414.1	urocanate hydratase	PRK05414	1
PRK05443.2-3	RNA degradosome polyphosphate kinase	PRK05443	1
PRK05472.1-3	redox-sensing transcriptional repressor Rex	PRK05472	1
PRK05563.1	DNA polymerase III subunit gamma/tau	PRK05563	2
PRK05586.1	acetyl-CoA carboxylase biotin carboxylase subunit	PRK05586	2
