L1	L2	L3	L4	ID	Function	EC	Count
Inorganic ion transport and metabolism		AmtB	1U77	COG0004	Ammonia channel protein AmtB		20
Nucleotide transport and metabolism	Purine salvage	XapA	1YQQ	COG0005	Purine nucleoside phosphorylase		67
Amino acid transport and metabolism		PepP	1A16	COG0006	Xaa-Pro aminopeptidase		74
Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis	CysG	1PJQ	COG0007	Uroporphyrinogen-III methylase (siroheme synthase)		1
Translation, ribosomal structure and biogenesis	Heme biosynthesis	GlnS	1EUQ	COG0008	Glutamyl- or glutaminyl-tRNA synthetase		65
Translation, ribosomal structure and biogenesis	tRNA modification	TsaC	1HRU	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC		28
Translation, ribosomal structure and biogenesis		GTP1	2DWQ	COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family		139
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AlaS	2ZZE	COG0013	Alanyl-tRNA synthetase		96
Amino acid transport and metabolism	Proline biosynthesis	ProA	4GHK	COG0014	Gamma-glutamyl phosphate reductase		10
Nucleotide transport and metabolism	Purine biosynthesis	PurB	2HVG	COG0015	Adenylosuccinate lyase		64
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	PheS	3L4G	COG0016	Phenylalanyl-tRNA synthetase alpha subunit		81
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AsnS	3KFU	COG0017	Aspartyl/asparaginyl-tRNA synthetase		82
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	ArgS	1BS2	COG0018	Arginyl-tRNA synthetase		12
Amino acid transport and metabolism	Lysine biosynthesis	LysA	1D7K	COG0019	Diaminopimelate decarboxylase		3
Lipid transport and metabolism		UppS	1X07	COG0020	Undecaprenyl pyrophosphate synthase		71
Carbohydrate transport and metabolism	Pentose phosphate pathway	TktA	1AY0	COG0021	Transketolase		136
Energy production and conversion	Pyruvate oxidation	AcoB	2OZL	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit		150
Translation, ribosomal structure and biogenesis		Map	3J2I	COG0024	Methionine aminopeptidase		69
Inorganic ion transport and metabolism		NhaP	4CZB	COG0025	NhaP-type Na+/H+ or K+/H+ antiporter		3
Nucleotide transport and metabolism	Purine biosynthesis	PurK	1B6R	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)		32
Amino acid transport and metabolismCoenzyme transport and metabolism	Isoleucine, leucine, valine biosynthesis	IlvB	1BFD	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		23
Coenzyme transport and metabolism	NAD biosynthesis	NadB	1KNP	COG0029	Aspartate oxidase		33
Translation, ribosomal structure and biogenesis	16S rRNA modification	RsmA	1QYR	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)		20
Amino acid transport and metabolism	Cysteine biosynthesis	CysK	1FCJ	COG0031	Cysteine synthase		17
Nucleotide transport and metabolism	Purine biosynthesis	PurF	1ECB	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase		93
Nucleotide transport and metabolism	Pyrimidine salvage	Upp	2EHJ	COG0035	Uracil phosphoribosyltransferase		55
