L1	L2	L3	L4	ID	Function	EC	Count
20_Hydrolysis of polymers	Xylose			K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	1.3.1.20 1.1.1.179	2
07_Nucleic acid metabolism	Purine metabolism			K00088	IMPDH, guaB; IMP dehydrogenase	1.1.1.205	36
01_Fermentation	Acetylene degradation			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
01_Fermentation	Mixed acid fermentation			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
15_Methylotrophy	Formaldehyde oxidation (glutathione-dependent)			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
21_Cellular response to stress	Response to osmotic stress			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	4
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	10
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	10
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	10
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	10
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	10
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	10
01_Fermentation	Bifidobacterium shunt			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	66
01_Fermentation	Heterolactic fermentation			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	66
01_Fermentation	Homolactic fermentation			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	66
02_Homoacetogenesis	Glycolysis			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	66
16_Embden Meyerhof-Parnos (EMP)	EMP			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	66
16_Embden Meyerhof-Parnos (EMP)	Glycolysis III (EMP)			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	66
17_Gluconeogenesis	Gluconeogenesis in archea			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	66
21_Cellular response to stress	Regulation of stress-activated protein kinase signaling cascade			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	66
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00147	proA; glutamate-5-semialdehyde dehydrogenase	1.2.1.41	5
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	4
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	10
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00163	aceE; pyruvate dehydrogenase E1 component	1.2.4.1	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1.2.4.2	14
10_TCA cycle	TCA cycle			K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1.2.4.2	14
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	1.2.4.4	8
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	1.2.4.4	25
05_Fatty acid oxidation	Fatty acid activation			K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2)	1.3.1.34	3
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K00220	tyrC; cyclohexadieny/prephenate dehydrogenase	1.3.1.43 1.3.1.12	3
07_Nucleic acid metabolism	Pyrimidine metabolism			K00254	DHODH, pyrD; dihydroorotate dehydrogenase	1.3.5.2	2
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	3
11_Nitrogen cycle	Ammonia assimilation			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	3
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	6
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	6
11_Nitrogen cycle	Ammonia assimilation			K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	6
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00278	nadB; L-aspartate oxidase	1.4.3.16	11
11_Nitrogen cycle	Ammonia assimilation			K00284	GLU, gltS; glutamate synthase (ferredoxin)	1.4.7.1	2
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00286	proC; pyrroline-5-carboxylate reductase	1.5.1.2	6
07_Nucleic acid metabolism	Purine metabolism			K00364	E1.7.1.7, guaC; GMP reductase	1.7.1.7	21
18_Sulfur compounds metabolism	Sulfur compounds cycle	Sulfate reduction (assimilatory)		K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component	1.8.1.2	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	15
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	15
21_Cellular response to stress	Cellular response to stress			K00383	GSR, gor; glutathione reductase (NADPH)	1.8.1.7	5
07_Nucleic acid metabolism	Pyrimidine metabolism			K00384	trxB, TRR; thioredoxin reductase (NADPH)	1.8.1.9	56
21_Cellular response to stress	Cellular response to stress			K00384	trxB, TRR; thioredoxin reductase (NADPH)	1.8.1.9	56
18_Sulfur compounds metabolism	Sulfur compounds cycle	Sulfate reduction (assimilatory)		K00390	cysH; phosphoadenosine phosphosulfate reductase	1.8.4.8 1.8.4.10	1
