ID	Function	Source	Count
1-PFK	hexose kinase	TIGR03168	1
3_prime_RNase	VacB/RNase II family 3'-5' exoribonuclease	TIGR00358	1
3a0107s01c2	phosphate ABC transporter ATP-binding protein PstB	TIGR00972	770
3a0107s02c	phosphate ABC transporter permease PstA	TIGR00974	173
3a0107s03	phosphate ABC transporter substrate-binding protein PstS	TIGR00975	1
3a0501s007	preprotein translocase subunit SecY	TIGR00967	226
3oxo_ACP_reduc	3-oxoacyl-[acyl-carrier-protein] reductase	TIGR01830	353
5S_RNA_mat_M5	ribonuclease M5	TIGR00334	18
ABCF_OptrA	ABC-F type ribosomal protection protein OptrA		3
ABCF_Vga_all	Vga family ABC-F type ribosomal protection protein		16
ABC_ABC_ChvD	energy-dependent translational throttle protein EttA	TIGR03719	26
ABC_ATP_DarD	darobactin export ABC transporter ATP-binding protein		8
ABC_ATP_SaoA	ABC transporter ATP-binding protein SaoA		2
ABC_MetN	methionine ABC transporter ATP-binding protein MetN	TIGR02314	146
ABC_arch_GlcV	glucose ABC transporter ATP-binding protein GlcV		35
ABC_choXWV_ATP	choline ABC transporter ATP-binding protein	TIGR03415	26
ABC_choXWV_perm	choline ABC transporter permease subunit	TIGR03416	129
ABC_lipo_SloC	metal ABC transporter substrate-binding lipoprotein		276
ABC_perm_SloB	metal ABC transporter permease subunit		341
ABC_phnC	phosphonate ABC transporter ATP-binding protein	TIGR02315	171
ATP_dep_HslV	HslU--HslV peptidase proteolytic subunit	TIGR03692	226
ATP_synt_c	ATP synthase F0 subunit C	TIGR01260	92
ATPase-IB1_Cu	copper-translocating P-type ATPase	TIGR01511	156
ATPase-IB2_Cd	cadmium family heavy metal-translocating P-type ATPase	TIGR01512	69
ATPase-IB_hvy	heavy metal translocating P-type ATPase	TIGR01525	388
ATPase-IIA1_Ca	calcium-translocating P-type ATPase, SERCA-type	TIGR01116	182
ATPase-IIA2_Ca	calcium-transporting P-type ATPase, PMR1-type	TIGR01522	178
ATPase-IIB_Ca	calcium-translocating P-type ATPase, PMCA-type	TIGR01517	66
ATPase-IIIB_Mg	magnesium-translocating P-type ATPase	TIGR01524	693
ATPase_ComGA	competence type IV pilus ATPase ComGA		171
ATPase_P-type	HAD-IC family P-type ATPase	TIGR01494	137
ATPsyn_F1gamma	ATP synthase F1 subunit gamma	TIGR01146	33
AcCoA-C-Actrans	acetyl-CoA C-acyltransferase	TIGR01930	175
AhpC	alkyl hydroperoxide reductase subunit C	TIGR03137	120
AhpF	alkyl hydroperoxide reductase subunit F	TIGR03140	1
AhpF_homolog	putative alkyl hydroperoxide reductase F subunit	TIGR03143	499
Asp_Ala_antiprt	aspartate-alanine antiporter	TIGR03802	77
AztA	zinc ABC transporter ATP-binding protein AztA		37
BCCP	acetyl-CoA carboxylase biotin carboxyl carrier protein	TIGR00531	52
BGL	GH1 family beta-glucosidase	TIGR03356	83
