L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00033	6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	PGD, gnd, gntZ	1
Metabolism	Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	K00033	6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	PGD, gnd, gntZ	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00134	Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA	2
Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms [PATH:ko00710]	K00134	Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA	2
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00134	Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA	2
Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection [PATH:ko05130]	K00134	Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA	2
Human Diseases	Infectious disease: bacterial	Salmonella infection [PATH:ko05132]	K00134	Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA	2
Human Diseases	Neurodegenerative disease	Alzheimer disease [PATH:ko05010]	K00134	Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA	2
Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	K00134	Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA	2
Brite Hierarchies	Protein families: genetic information processing	Membrane trafficking [BR:ko04131]	K00134	Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA	2
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00134	Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA	2
Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	K00147	Glutamate-5-semialdehyde dehydrogenase	1.2.1.41	proA	2
Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis [PATH:ko00332]	K00147	Glutamate-5-semialdehyde dehydrogenase	1.2.1.41	proA	2
Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00265	Glutamate synthase (NADPH) large chain	1.4.1.13	gltB	5
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00265	Glutamate synthase (NADPH) large chain	1.4.1.13	gltB	5
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K00265	Glutamate synthase (NADPH) large chain	1.4.1.13	gltB	5
Metabolism	Amino acid metabolism	Phenylalanine metabolism [PATH:ko00360]	K00285	D-amino-acid dehydrogenase	1.4.5.1	dadA	1
Metabolism	Energy metabolism	Oxidative phosphorylation [PATH:ko00190]	K00335	NADH-quinone oxidoreductase subunit F	7.1.1.2	nuoF	2
Metabolism	Metabolism of other amino acids	Selenocompound metabolism [PATH:ko00450]	K00384	Thioredoxin reductase (NADPH)	1.8.1.9	trxB, TRR	1
Metabolism	Energy metabolism	Sulfur metabolism [PATH:ko00920]	K00394	Adenylylsulfate reductase, subunit A	1.8.99.2	aprA	1
Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00459	Nitronate monooxygenase	1.13.12.16	ncd2, npd	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00548	5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13	metH, MTR	2
Metabolism	Metabolism of other amino acids	Selenocompound metabolism [PATH:ko00450]	K00548	5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13	metH, MTR	2
Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate [PATH:ko00670]	K00548	5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13	metH, MTR	2
