L1	L2	L3	L4	ID	Function	EC	Count
Inorganic ion transport and metabolism		AmtB	1U77	COG0004	Ammonia channel protein AmtB		2
Nucleotide transport and metabolism	Purine salvage	XapA	1YQQ	COG0005	Purine nucleoside phosphorylase		19
Amino acid transport and metabolism		PepP	1A16	COG0006	Xaa-Pro aminopeptidase		47
Translation, ribosomal structure and biogenesis	Heme biosynthesis	GlnS	1EUQ	COG0008	Glutamyl- or glutaminyl-tRNA synthetase		31
Translation, ribosomal structure and biogenesis	tRNA modification	TsaC	1HRU	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC		11
Translation, ribosomal structure and biogenesis		GTP1	2DWQ	COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family		50
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AlaS	2ZZE	COG0013	Alanyl-tRNA synthetase		55
Amino acid transport and metabolism	Proline biosynthesis	ProA	4GHK	COG0014	Gamma-glutamyl phosphate reductase		2
Nucleotide transport and metabolism	Purine biosynthesis	PurB	2HVG	COG0015	Adenylosuccinate lyase		31
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	PheS	3L4G	COG0016	Phenylalanyl-tRNA synthetase alpha subunit		57
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AsnS	3KFU	COG0017	Aspartyl/asparaginyl-tRNA synthetase		34
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	ArgS	1BS2	COG0018	Arginyl-tRNA synthetase		8
Lipid transport and metabolism		UppS	1X07	COG0020	Undecaprenyl pyrophosphate synthase		23
Carbohydrate transport and metabolism	Pentose phosphate pathway	TktA	1AY0	COG0021	Transketolase		91
Energy production and conversion	Pyruvate oxidation	AcoB	2OZL	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit		53
Translation, ribosomal structure and biogenesis		Map	3J2I	COG0024	Methionine aminopeptidase		27
Nucleotide transport and metabolism	Purine biosynthesis	PurK	1B6R	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)		21
Coenzyme transport and metabolism	NAD biosynthesis	NadB	1KNP	COG0029	Aspartate oxidase		6
Translation, ribosomal structure and biogenesis	16S rRNA modification	RsmA	1QYR	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)		15
Amino acid transport and metabolism	Cysteine biosynthesis	CysK	1FCJ	COG0031	Cysteine synthase		3
Nucleotide transport and metabolism	Purine biosynthesis	PurF	1ECB	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase		49
Nucleotide transport and metabolism	Pyrimidine salvage	Upp	2EHJ	COG0035	Uracil phosphoribosyltransferase		21
Carbohydrate transport and metabolism	Pentose phosphate pathway	Rpe	1H1Y	COG0036	Pentose-5-phosphate-3-epimerase		45
Translation, ribosomal structure and biogenesis	tRNA modification	TilS	1NI5	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ		5
Inorganic ion transport and metabolism		ClcA	1KPK	COG0038	H+/Cl- antiporter ClcA		6
Energy production and conversion	TCA cycle	Mdh	4WLO	COG0039	Malate/lactate dehydrogenase		12
Nucleotide transport and metabolism	Purine biosynthesis	PurE	1D7A	COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase		11
Translation, ribosomal structure and biogenesis	tRNA modification	DusA	1VHN	COG0042	tRNA-dihydrouridine synthase		35
Nucleotide transport and metabolism	Pyrimidine biosynthesis	AllB	1J79	COG0044	Dihydroorotase or related cyclic amidohydrolase		18
Nucleotide transport and metabolism	Purine biosynthesis	PurL1	3VIU	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain		87
