ID	Function	Count
pVOG0052	RNA polymerase sigma factor	10
pVOG0058	PhoH-like phosphate starvation-inducible	3
pVOG0092	Thymidylate synthase	13
pVOG0169	DNA replication initiation	1
pVOG0186	exonuclease	3
pVOG0221	integrase	2
pVOG0226	Single-stranded DNA-binding protein	3
pVOG0274	Prophage bactoprenol glucosyl transferase 	2
pVOG0275	integrase	2
pVOG0372	DNA ligase	2
pVOG0382	DNA topoisomerase II large subunit	3
pVOG0384	DNA gyrase subunit A	2
pVOG0420	Anaerobic ribonucleoside-triphosphate reductase	25
pVOG0440	Autonomous glycyl radical cofactor	7
pVOG0496	dihydrofolate reductase	3
pVOG0514	unannotated protein	6
pVOG0705	FtsK/SpoIIIE-like protein	12
pVOG0727	minor tail protein	1
pVOG0796	terminase small subunit	10
pVOG0800	unannotated protein	3
pVOG0985	ParA-like partition protein	4
pVOG10106	ribonucleoside-diphosphate reductase beta subunit	8
pVOG1030	thymidine kinase	2
pVOG1198	DNA polymerase	7
pVOG1304	hypothetical protein	6
pVOG1850	Multifunctional CCA protein	8
pVOG3235	GMP reductase	15
pVOG4125	Phosphoribosylformylglycinamidine cyclo-ligase	2
pVOG4609	DNA helicase	1
pVOG4673	transcriptional regulator	2
pVOG4724	L-alanyl-D-glutamate peptidase	2
pVOG5280	replication terminator	7
pVOG5317	hypothetical protein	52
pVOG6513	60 kDa chaperonin	3
pVOG6988	hypothetical protein	22
pVOG7264	DNA primase	214
pVOG7265	hypothetical protein	10
pVOG7656	superinfection exclusion	5
pVOG8021	ATP-dependent Clp protease ATP-binding subunit ClpA	8
pVOG8303	S-adenosylmethionine synthase	1
pVOG8607	ribonucleotide reductase large subunit	7
pVOG8908	Cold shock protein 1	6
pVOG9502	amidase	7
