L1	ID	Function	EC	Count
unknown function	phrog_34276	hypothetical		95
unknown function	phrog_34613	hypothetical		416
unknown function	phrog_34724	hypothetical		211
unknown function	phrog_35063	hypothetical		769
transcription regulation	phrog_351	RNA polymerase sigma factor		152
lysis	phrog_3513	endolysin		35
unknown function	phrog_35155	hypothetical		205
unknown function	phrog_35435	hypothetical		384
moron, auxiliary metabolic gene and host takeover	phrog_3551	FtsK/SpoIIIE-like protein		68
other	phrog_35515	thymidine kinase		80
tail	phrog_3558	tail protein		548
unknown function	phrog_35619	hypothetical		42
unknown function	phrog_35649	hypothetical		66
unknown function	phrog_35693	hypothetical		152
head and packaging	phrog_361	terminase small subunit		7
unknown function	phrog_36445	hypothetical		61
head and packaging	phrog_3717	terminase large subunit		436
unknown function	phrog_37239	hypothetical		38
unknown function	phrog_37310	hypothetical		247
unknown function	phrog_37682	hypothetical		17
DNA, RNA and nucleotide metabolism	phrog_379	DNA binding protein		41
unknown function	phrog_3830	hypothetical		1
unknown function	phrog_38523	hypothetical		59
unknown function	phrog_38585	hypothetical		486
DNA, RNA and nucleotide metabolism	phrog_3869	NAD-dependent DNA ligase		189
unknown function	phrog_398	hypothetical		205
unknown function	phrog_3980	hypothetical		114
DNA, RNA and nucleotide metabolism	phrog_3987	ribonucleotide reductase large subunit		6
connector	phrog_4014	head-tail adaptor		36
DNA, RNA and nucleotide metabolism	phrog_405	DNA polymerase		213
unknown function	phrog_4339	hypothetical		144
DNA, RNA and nucleotide metabolism	phrog_44	single strand DNA binding protein		358
tail	phrog_441	tail assembly chaperone		362
DNA, RNA and nucleotide metabolism	phrog_4412	exonuclease V		151
other	phrog_4602	transglycosylase		117
unknown function	phrog_4609	hypothetical		74
transcription regulation	phrog_463	anti-repressor		3
DNA, RNA and nucleotide metabolism	phrog_4715	ParB-like partition protein		8
unknown function	phrog_4782	hypothetical		6
moron, auxiliary metabolic gene and host takeover	phrog_487	NrdD-like anaerobic ribonucleotide reductase large subunit		556
other	phrog_4871	ATP-dependent protease		1838
DNA, RNA and nucleotide metabolism	phrog_4880	replisome organizer		69
head and packaging	phrog_4914	terminase large subunit		60
other	phrog_4941	dehydrogenase		233
moron, auxiliary metabolic gene and host takeover	phrog_4980	superinfection exclusion		268
unknown function	phrog_4997	hypothetical		232
moron, auxiliary metabolic gene and host takeover	phrog_5045	phospho-2-dehydro-3-deoxyheptonate aldolase		1
head and packaging	phrog_51	terminase small subunit		31
DNA, RNA and nucleotide metabolism	phrog_543	DNA topoisomerase II large subunit		107
DNA, RNA and nucleotide metabolism	phrog_551	DNA topoisomerase II		86
unknown function	phrog_5517	hypothetical		116
tail	phrog_5555	tail protein		59
unknown function	phrog_5620	hypothetical		329
head and packaging	phrog_5653	terminase large subunit		15
DNA, RNA and nucleotide metabolism	phrog_5682	thymidylate synthase		1
other	phrog_5725	chaperonin groEL		220
DNA, RNA and nucleotide metabolism	phrog_5846	clamp loader of DNA polymerase		105
other	phrog_592	thymidine kinase		57
DNA, RNA and nucleotide metabolism	phrog_5968	replisome organizer		31
head and packaging	phrog_6042	minor head protein		184
DNA, RNA and nucleotide metabolism	phrog_6132	ribonucleotide reductase large subunit		131
tail	phrog_6183	minor tail protein		88
DNA, RNA and nucleotide metabolism	phrog_62	DNA helicase		210
DNA, RNA and nucleotide metabolism	phrog_6397	ribonucleotide reductase large subunit		34
head and packaging	phrog_64	portal protein		134
DNA, RNA and nucleotide metabolism	phrog_6444	DNA primase		158
head and packaging	phrog_6672	terminase large subunit		615
unknown function	phrog_6791	hypothetical		138
unknown function	phrog_6797	hypothetical		19
unknown function	phrog_6837	hypothetical		63
other	phrog_6880	translation elongation factor		505
DNA, RNA and nucleotide metabolism	phrog_69	exonuclease		481
unknown function	phrog_6907	hypothetical		45
other	phrog_729	cold shock protein		111
unknown function	phrog_7298	hypothetical		34
unknown function	phrog_731	hypothetical		308
other	phrog_7320	tetrahydrofolate dehydrogenase and cyclohydrolase		209
lysis	phrog_7348	endolysin		215
tail	phrog_7389	tail fiber protein		565
unknown function	phrog_7602	hypothetical		183
integration and excision	phrog_7685	integrase		133
DNA, RNA and nucleotide metabolism	phrog_7766	DNA polymerase		230
DNA, RNA and nucleotide metabolism	phrog_7778	single strand DNA binding protein		85
DNA, RNA and nucleotide metabolism	phrog_7909	ribonucleoside-diphosphate reductase beta subunit		95
transcription regulation	phrog_8	transcriptional regulator		16
head and packaging	phrog_80	head maturation protease		16
DNA, RNA and nucleotide metabolism	phrog_8097	exonuclease		407
moron, auxiliary metabolic gene and host takeover	phrog_841	GtrB-like O-antigen conversion		22
moron, auxiliary metabolic gene and host takeover	phrog_8429	NifU-like Fe-S cluster assembly protein		26
unknown function	phrog_8439	hypothetical		586
unknown function	phrog_857	hypothetical		21
DNA, RNA and nucleotide metabolism	phrog_864	DNA primase		140
unknown function	phrog_8702	hypothetical		33
head and packaging	phrog_8711	terminase large subunit		65
unknown function	phrog_8735	hypothetical		34
lysis	phrog_881	holin		267
unknown function	phrog_8986	hypothetical		99
unknown function	phrog_9078	hypothetical		2
moron, auxiliary metabolic gene and host takeover	phrog_9240	cyanobacterial phosphoribosylglycinamide formyltransferase		9
DNA, RNA and nucleotide metabolism	phrog_9270	tyrosyl-tRNA synthetase		235
DNA, RNA and nucleotide metabolism	phrog_93	endonuclease		50
head and packaging	phrog_94	head maturation protease		7
unknown function	phrog_9408	hypothetical		205
transcription regulation	phrog_9438	anti-repressor		332
DNA, RNA and nucleotide metabolism	phrog_9454	exonuclease		119
DNA, RNA and nucleotide metabolism	phrog_9465	ribonucleoside diphosphate reductase small subunit		47
integration and excision	phrog_95	integrase		70
DNA, RNA and nucleotide metabolism	phrog_9530	ribonucleotide reductase		15
other	phrog_9582	dehydrogenase		514
unknown function	phrog_9625	hypothetical		409
other	phrog_97	UvsX-like recombinase		56
other	phrog_9787	translation initiation factor		9
other	phrog_9896	phosphofructokinase		331
other	phrog_9968	methyltransferase		632
DNA, RNA and nucleotide metabolism	phrog_997	replication terminator		8
lysis	phrog_998	endolysin		318
