ID	Function	Count
pVOG0050	dCMP deaminase	2
pVOG0052	RNA polymerase sigma factor	15
pVOG0058	PhoH-like phosphate starvation-inducible	11
pVOG0092	Thymidylate synthase	28
pVOG0094	DNA binding protein	3
pVOG0186	exonuclease	4
pVOG0221	integrase	29
pVOG0226	Single-stranded DNA-binding protein	14
pVOG0274	Prophage bactoprenol glucosyl transferase 	26
pVOG0275	integrase	1
pVOG0372	DNA ligase	22
pVOG0382	DNA topoisomerase II large subunit	25
pVOG0384	DNA gyrase subunit A	13
pVOG0420	Anaerobic ribonucleoside-triphosphate reductase	93
pVOG0440	Autonomous glycyl radical cofactor	18
pVOG0496	dihydrofolate reductase	16
pVOG0514	unannotated protein	7
pVOG0682	hypothetical protein	23
pVOG0705	FtsK/SpoIIIE-like protein	33
pVOG0796	terminase small subunit	1
pVOG0800	unannotated protein	3
pVOG0985	ParA-like partition protein	10
pVOG10106	ribonucleoside-diphosphate reductase beta subunit	23
pVOG1030	thymidine kinase	6
pVOG10342	HicB-like antitoxin	5
pVOG1051	UDP-galactopyranose mutase	1
pVOG10995	head morphogenesis	1
pVOG1198	DNA polymerase	22
pVOG1279	hypothetical protein	4
pVOG1850	Multifunctional CCA protein	2
pVOG1915	head maturation protease	2
pVOG1936	hypothetical protein	1
pVOG2406	hypothetical protein	14
pVOG3222	GTP cyclohydrolase	4
pVOG3235	GMP reductase	42
pVOG4409	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating	2
pVOG4410	Glucose-6-phosphate 1-dehydrogenase	1
pVOG4552	anti-repressor Ant	4
pVOG4673	transcriptional regulator	8
pVOG4705	hypothetical protein	2
pVOG4713	head-tail adaptor	8
pVOG4724	L-alanyl-D-glutamate peptidase	12
pVOG4772	Exo-glucosaminidase LytG	5
pVOG5321	hypothetical protein	33
pVOG6007	hypothetical protein	15
pVOG6513	60 kDa chaperonin	18
pVOG6988	hypothetical protein	52
pVOG7656	superinfection exclusion	25
pVOG8021	ATP-dependent Clp protease ATP-binding subunit ClpA	36
pVOG8303	S-adenosylmethionine synthase	46
pVOG8601	hypothetical protein	1
pVOG8607	ribonucleotide reductase large subunit	14
pVOG8616	NH(3)-dependent NAD(+) synthetase	6
pVOG8908	Cold shock protein 1	23
pVOG8992	dTDP-4-dehydrorhamnose 3,5-epimerase	15
pVOG9502	amidase	33
pVOG9876	Phosphoribosylglycinamide formyltransferase	1
