ASV	BCMy_011	BCMy_021	BCMy_031	BCMy_041	BCMy_051	BCMy_061	BCMy_071	BCMy_081	BCMy_091	BCMy_101	BCMy_111	BCMy_121	BCMy_131	BCMy_141	BCMy_151	BCMy_161	BCMy_171	BCMy_181	BCMy_191	BCMy_201	BCMy_211	BCMy_221	BCMy_231	BCMy_241	BCMy_251	BCMy_261	BCMy_271	BCMy_281	BCMy_291	BCMy_301
zotu_53;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_apis	838	18	18	18	455	15	15	285	4	23	10	1	8	7	12	2	37	7	7	15	20	12	22	62	18	94	5	9	2	17
zotu_54;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pseudescherichia;s__Pseudescherichia_vulneris	11	1	0	3	0	0	0	1229	0	12	0	0	0	0	0	0	435	0	15	0	11	1	3	1	26	0	0	0	0	0
zotu_59;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Bombilactobacillus;s__Bombilactobacillus_mellis	332	9	7	14	766	8	4	1	0	3	3	1	1	2	3	2	2	1	19	5	6	52	4	445	1	1	0	0	1	3
zotu_70;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Bombilactobacillus;s__Bombilactobacillus_mellis	942	2	5	1	2	3	1	79	11	4	1	0	2	4	2	0	1	0	16	3	2	0	12	2	3	2	0	1	0	2
zotu_72;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_hirae	0	10	9	10	1	8	1	520	2	13	6	238	0	8	2	119	123	6	7	5	25	3	14	173	2	1	0	3	0	3
zotu_78;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_apis	6	3	2	6	700	7	2	0	2	6	1	1	0	2	6	0	2	1	0	6	9	9	19	137	1	1	0	146	1	0
zotu_79;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_alpina	0	0	0	1	0	0	0	1	409	0	1	0	0	0	0	506	0	0	1	0	1	1	0	0	0	0	0	1	0	0
zotu_82;d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_apousia	476	0	0	4	0	0	0	2	1	1	39	0	1	0	0	0	0	0	17	0	0	65	0	288	1	0	1	0	0	0
zotu_83;d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Pelomonas;s__Pelomonas_aquatica	0	0	0	0	414	1	2	0	0	0	0	0	0	0	0	192	287	0	0	1	0	0	0	0	0	0	0	0	2	0
zotu_88;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pseudescherichia;s__Pseudescherichia_vulneris	142	0	1	1	0	0	0	449	0	1	1	0	0	0	0	102	0	0	2	0	9	2	7	14	0	0	0	0	0	0
zotu_89;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_melliventris	0	0	2	2	803	1	1	0	1	0	0	1	0	0	1	0	2	0	0	0	1	0	8	3	0	0	0	0	0	0
zotu_90;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_baetica	0	0	1	0	0	4	0	0	0	2	0	0	2	0	1	141	414	1	0	0	0	225	0	0	0	0	0	0	0	0
zotu_97;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_hankookensis	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	206	0	0	1	0	0	393	2	0	0	0	0	1	0	0
zotu_104;d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_coryneforme	311	0	1	2	86	3	1	0	2	2	0	1	0	3	1	0	0	1	0	1	1	0	86	56	0	0	16	1	1	0
zotu_106;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_lutea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0	0	0	0	0	1	1	0	0	0	0	0	0
zotu_109;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Bombilactobacillus;s__Bombilactobacillus_mellis	514	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
zotu_116;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas_uncl	0	1	0	0	0	1	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	1	0	112	59	0	0	0	0	0
zotu_127;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_quasihormaechei	0	1	0	2	170	0	0	0	126	0	0	0	0	0	0	192	0	0	6	0	5	17	10	0	14	0	0	0	0	0
zotu_128;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Bombilactobacillus;s__Bombilactobacillus_mellis	2	4	0	4	446	1	86	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	3	0
zotu_130;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_quasihormaechei	0	0	0	1	530	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu_135;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__Paracoccus_laeviglucosivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	420	1	2	1	0	0	0	0	0	0	0	0	0	0
zotu_136;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Apilactobacillus;s__Apilactobacillus_kunkeei	1	11	8	6	0	5	3	0	0	5	4	0	1	8	1	1	119	6	14	4	7	5	408	0	2	1	0	2	0	4
zotu_140;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bartonellaceae;g__Bartonella;s__Bartonella_apis	0	0	1	1	0	2	1	0	0	1	0	0	1	0	1	0	0	1	2	1	1	1	1	423	2	1	0	1	0	0
zotu_141;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_melliventris	0	1	2	2	2	4	2	0	2	0	1	0	0	0	1	1	1	0	1	2	3	1	0	418	1	2	0	0	0	1
zotu_157;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhabdaerophilaceae;g__Rhabdaerophilum;s__Rhabdaerophilum_uncl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	352	0
zotu_161;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia_marcescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	1	0	0	0	0	0	0	0	0	0	0	0
zotu_177;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_hibiscicola	325	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
zotu_185;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_paucimobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	4	265	12	1	0	0	0	0	0	0
