we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Diseased	rab.win.Healthy	diff.btw	diff.win	effect	overlap	labels	category
0.2493411928228165	0.5802430340475616	0.30901650432900435	0.6248801427423587	1.8750199427985366	2.4842775977755864	0.6920378981787549	-1.511731217884814	3.2117956636220155	-0.431027949966303	0.2760418250004061	PHENICOL__CHLORAMPHENICOL__NF000490.1__type_B_chloramphenicol_O-acetyltransferase__catB	AMRFinder
0.11002403071013345	0.35604527931439583	0.1353997564935065	0.34256727430555556	2.2003019282093463	2.911161109641791	0.6583866776920981	-2.477952737875551	2.7192692749010257	-0.7355300862846195	0.17708364640893945	TETRACYCLINE__TETRACYCLINE__NF012153.1__tetracycline_resistance_ribosomal_protection_protein__tet	AMRFinder
0.5216317865816557	0.8243713076528496	0.578125	0.8530587044347697	1.3828790031786555	1.762041391064224	0.8792300724866062	-0.845458592835602	3.2817364774257864	-0.20183414319130744	0.4025974595178922	STREPTOGRAMIN__STREPTOGRAMIN__NF000311.1__Vat_family_streptogramin_A_O-acetyltransferase__vat	AMRFinder
0.007335444469475694	0.06341639926930968	0.002536525974025974	0.024763257575757577	5.217457454825949	6.3907395564451726	2.0489148541975046	-4.557665756954684	2.4846633583742888	-1.9030020905213536	0.002623463012505937	NA__NA__NF033606.1__heat_shock_survival_AAA_family_ATPase_ClpK__clpK	AMRFinder
0.03002083655176226	0.1570676424286482	0.018821022727272728	0.09387428977272727	3.543016111083746	4.458928517644628	1.3734896103759944	-3.1385956808030997	2.485030418335654	-1.194384902257171	0.06250105485647013	MACROLIDE__MACROLIDE__NF000355.3__ABC-F_type_ribosomal_protection_protein__abc-f	AMRFinder
0.10509585115713173	0.33762418575498426	0.11186079545454546	0.3199475220959596	1.8877123253835029	2.5780461498958385	0.22008520949546906	-2.2542368092693925	2.813628891771228	-0.7305028105039189	0.15885452737949549	GLYCOPEPTIDE__VANCOMYCIN__NF033120.0__vancomycin_resistance_response_regulator_transcription_factor,_VanR-F/VanR-M_family__vanR	AMRFinder
0.2797362165041174	0.5982362454942006	0.22502367424242425	0.517743755021809	2.3246981250672194	3.0677012629008424	1.1065892009658165	-1.6352283487939516	3.2659541981064555	-0.4645402327044822	0.24675343825767806	GLYCOPEPTIDE__VANCOMYCIN__NF033091.0__vancomycin_resistance_histidine_kinase_VanS__vanS	AMRFinder
0.00833950525359464	0.07116547742361286	0.0045995670995671	0.03403764204545454	3.208872335428077	4.855667559857078	-0.03450587416101403	-4.8254473028133	2.8281576309411736	-1.5914763128447922	0.013026178866700076	GLYCOPEPTIDE__VANCOMYCIN__NF033117.2__VanR-ABDEGLN_family_response_regulator_transcription_factor__vanR	AMRFinder
0.5099835359484473	0.8064730903413072	0.49217058982683987	0.7545341170429949	-0.5226784807238078	-1.2606037203141325	0.09419862255032152	1.2451233415429588	4.649066898687943	0.27644508622366065	0.3714286488302883	TETRACYCLINE__TETRACYCLINE__NF012188.1__tetracycline_efflux_MFS_transporter_Tet(Y)__tet(Y)	AMRFinder
0.17008299940931368	0.45798276754142064	0.13381020021645024	0.3525096106150793	-1.2733514463129074	-2.8596222206149355	0.6375714003739708	3.4423699671110124	4.3730251154598765	0.7082450876186159	0.20052109726596365	TETRACYCLINE__TETRACYCLINE__NF012185.0__tetracycline_efflux_MFS_transporter_Tet(L)__tet(L)	AMRFinder
0.5579377484047502	0.8153837250985513	0.5003043831168832	0.7411563381378722	0.2148897488761632	-0.06338732310397255	0.7824977396377748	0.9482563934236581	3.194162890471994	0.25449869875467535	0.37402604964986363	TETRACYCLINE__TETRACYCLINE__NF000475.1__tetracycline_efflux_ABC_transporter_Tet(46)_subunit_B__tetB(46)	AMRFinder
0.6520284939138775	0.8794295046513483	0.658685064935065	0.8801778822109078	0.6119983110517433	0.8431665104902861	0.2692010162309004	-0.5412255099488572	3.6328886555876347	-0.13692256498606403	0.43229170564607305	PHENICOL/OXAZOLIDINONE__FLORFENICOL/OXAZOLIDINONE__NF000514.1__ABC-F_type_ribosomal_protection_protein_OptrA__optrA	AMRFinder
0.6299359412627665	0.8628581843788123	0.664552895021645	0.8934255168363833	0.6030730399696629	1.0344284495732823	0.17143167222256794	-0.5655682191479836	3.447410900398711	-0.1485592386318898	0.4218750452563685	GLYCOPEPTIDE__VANCOMYCIN__NF000403.1__vancomycin_resistance_response_regulator_transcription_factor_VanR-C__vanR-C	AMRFinder
0.17468441177657737	0.48134638742936015	0.12882169913419916	0.37892535080922857	-1.1323312225733866	-2.773919531928781	0.8614518424930608	3.6635641359229503	4.525446142578173	0.6619475028527462	0.20779245728485346	TETRACYCLINE__TETRACYCLINE__NF000014.1__oxytetracycline_resistance_phosphoribosyltransferase_domain-containing_protein_Tet(34)__tet(34)	AMRFinder
0.6074951063617164	0.8664980013862105	0.5544507575757576	0.8113301747179588	-0.02111772851700877	-0.1927448958034419	0.26101653855580587	0.7822621990707774	3.7367120145066925	0.19146764546684764	0.40104172487181883	GLYCOPEPTIDE__VANCOMYCIN__NF000207.3__D-alanine--D-serine_ligase__vanC	AMRFinder
0.6883651790198752	0.9402456680297483	0.6688988095238095	0.9107302863251017	0.033466931032995806	-0.021547605730394714	0.14264029675350942	0.3773167908012627	4.130005557016961	0.10843813695502783	0.45974028252227195	LINCOSAMIDE__LINCOSAMIDE__NF000170.1__Vga_family_ABC-F_type_ribosomal_protection_protein__vga	AMRFinder
0.18894707099351823	0.48707909241743613	0.154491341991342	0.40521791576479066	-1.0584904522749743	-2.8568417900367042	0.7411244701404192	3.348978111401105	4.460289071209026	0.6937538624227522	0.20259766133969628	MERCURY__MERCURY__TIGR02053.1__mercury(II)_reductase__merA	AMRFinder
0.21015224625518877	0.4981505746446876	0.1801271645021645	0.42157485723714405	-1.2486578681231801	-2.777942770318631	0.534175954783338	3.148862330705085	4.321103751855944	0.6190756688093133	0.20519505925833595	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN__CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN_B__NF012220.1__23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(B)__erm(B)	AMRFinder
0.18171800706262925	0.46010553969720897	0.1342667748917749	0.3595339556277055	-1.201689272232382	-3.0274171812349815	0.7161402059322808	3.5406742197038623	4.624694176700311	0.7197107069527463	0.20052109726596365	TETRACYCLINE__TETRACYCLINE__NF033148.1__TetM/TetW/TetO/TetS_family_tetracycline_resistance_ribosomal_protection_protein__tet	AMRFinder
0.24012107038303399	0.5559051687872073	0.19795048701298704	0.43692604053932177	-1.2099961657729557	-2.5866834580038494	0.5615613692611379	3.088460808349629	4.36860995499331	0.644776647422191	0.2369793721788217	MUPIROCIN__MUPIROCIN__NF000257.1__mupirocin-resistant_isoleucine--tRNA_ligase_MupA__mupA	AMRFinder
0.21482545051097596	0.5089707902752467	0.1765422077922078	0.40825441919191907	-1.184416722581664	-2.6853086406800712	0.6474001714323485	3.267076510701416	4.371965970514405	0.6501181272573857	0.197402865843457	AMINOGLYCOSIDE__STREPTOMYCIN__NF012171.0__APH(6)-I_family_aminoglycoside_O-phosphotransferase__aph(6)-I	AMRFinder
0.09044187009083965	0.3428134123117548	0.11847267316017317	0.3436006959010148	3.08469287201859	3.4476776449106667	1.5923516596198617	-2.053321874994454	2.575117966101558	-0.6650021002255082	0.15064973439123217	Glycoside_hydrolase__GH101__endo-alpha-N-acetylgalactosaminidase__3.2.1.97__GH	CAZy
0.7813588742861677	0.9371905663437892	0.7718310335497836	0.9595474514343731	1.1916274549811532	1.187571085828849	1.2132665927978796	-0.20349058115140917	3.6430855571045715	-0.02876140618330842	0.4805194914882152	Glycoside_hydrolase__GH88__d-4,5-unsaturated_beta-glucuronyl_hydrolase__3.2.1.-__GH	CAZy
0.3810822084055146	0.6914780211158311	0.4958400974025974	0.76653247133492	1.9473289137583993	2.2284380727244217	1.210755874409247	-1.0111634587221956	3.000114563931944	-0.2810006983058658	0.35156259199579076	Glycosyl_trasferase__GT51__murein_polymerase__2.4.1.129__GT	CAZy
0.06317975816597929	0.2761638485672656	0.059185606060606064	0.21084518648315614	2.3822289759427675	3.0359438988727723	0.6093303021175243	-2.541533441110057	2.4528406964519704	-0.9148875477532187	0.11718802278600554	Glycoside_hydrolase__GH170__6-phospho-N-acetylmuramidase__3.2.1.-__GH	CAZy
0.5936300449100558	0.8394021062702652	0.7029728084415584	0.9052456406321884	0.9402818800039836	1.017053004976967	0.7749727739854673	-0.39366554849815305	2.8004494630211902	-0.08876333449809565	0.4479166964238734	Glycoside_hydrolase__GH93__exo-alpha-L-1,5-arabinanase__3.2.1.-__GH	CAZy
0.01567876784982942	0.15602027258399104	0.005377435064935065	0.05610998779246547	3.7915866920371952	4.80978389940751	0.9779380044539678	-3.7573837051462227	2.618121260689251	-1.5141089493415973	0.0181856087953272	Glycoside_hydrolase__GH1__beta-glucosidase__3.2.1.21__GH	CAZy
0.5989213287634533	0.8146453572346783	0.6576873647186148	0.8482471975326629	0.6591876714056335	0.9299847299654007	0.3309914789443593	-0.6826861963596635	3.333117719962118	-0.180042708001967	0.4218750452563685	Carb_binding_modules__CBM50__chitopentaose_binding__NA__CBM	CAZy
0.4831459783521423	0.7399383535648393	0.5801204004329005	0.796316950589489	0.8611988054124478	1.1212060861050182	0.25474190524876983	-0.728841924168242	2.7880895473545304	-0.20976903101139538	0.3906250649185086	Carb_esterases__CE12__pectin_acetylesterase__3.1.1.-__CE	CAZy
0.21945701303757822	0.5228752305067685	0.2985152867965368	0.5731991602572334	1.3290156445352213	1.796025064820105	0.26764498421229455	-1.6329281032164658	2.4775724599581106	-0.5493845180085738	0.26233783495221513	Carb_esterases__CE9__N-acetylglucosamine_6-phosphate_deacetylase__3.5.1.25__CE	CAZy
0.02105760253565094	0.16715613289667777	0.013528138528138528	0.08776634132762379	2.9582596829132406	3.75879338170612	0.2507398898386377	-3.5848353786423486	2.67126417177981	-1.2430562707247963	0.04156005900578462	Glycoside_hydrolase__GH125__exo-alpha-1,6-mannosidase__3.2.1.163__GH	CAZy
0.255520489133173	0.5415648654113614	0.3162878787878788	0.6131365990438178	1.4087799382924455	1.8108901621002862	0.3134339913548607	-1.5397090553459059	2.789559112835619	-0.47023905552422934	0.26233783495221513	Glycosyl_trasferase__GT5__UDP-Glc:_glycogen_glucosyltransferase__2.4.1.11__GT	CAZy
0.08352771889562019	0.3087231241060615	0.10408211580086581	0.2831755947919139	2.0203058889962917	2.7135507786109607	0.28710519519541533	-2.4375397305143105	2.4881997988328846	-0.8807211825885138	0.12760463929014584	Glycoside_hydrolase__GH105__unsaturated_rhamnogalacturonyl_hydrolase__3.2.1.172__GH	CAZy
