sv	domain	phylum	class	order	family	genus	species	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Diseased	rab.win.Healthy	diff.btw	diff.win	effect	overlap	labels	sv_species
s__Melissococcus_plutonius								3.108758451700665e-5	0.0015854668103673392	8.31742649978269e-7	4.241887514889172e-5	16.00973474667489	17.024395409879958	10.97288155589294	-5.617808440650016	2.9377320887410936	-1.6518327012792189	0.028812030160113904	s__Melissococcus_plutonius	s__Melissococcus_plutonius___
s__Bombella_favorum								0.637084940181739	1	0.6082016590128076	0.9978976115494729	10.086992088673757	10.27997968609397	9.6097613301747309	-0.8611013439522273	4.96992644905622	-0.16383201263751623	0.433373357485978	s__Bombella_favorum	s__Bombella_favorum___
s__Ralstonia_pickettii								3.960763505367337e-9	2.019989387737342e-7	2.458044161338102e-7	1.2090211162388113e-5	8.91355938071001	5.544812143788649	11.459788116272186	5.505809992719877	2.355398115363717	2.212756204476607	0.02040888343230937	s__Ralstonia_pickettii	s__Ralstonia_pickettii___
s__Mesorhizobium_terrae								1.496600987773572e-6	3.074326255575379e-5	1.2371111854229608e-5	2.2948556005978216e-4	5.195696761111888	3.125456924697964	9.542364489028067	6.200446983188114	2.160967016372363	2.250293602615994	0.0733174966980303	s__Mesorhizobium_terrae	s__Mesorhizobium_terrae___
s__Lactobacillus_panisapium								0.6673611420705289	1	0.3865434483311811	0.9204710966272969	0.2847582141343157	0.7987564370785751	-0.6617031516702268	-1.5596395635862725	6.17902902026851	-0.21136244764854942	0.39543270547177384	s__Lactobacillus_panisapium	s__Lactobacillus_panisapium___
s__Bradyrhizobium_diversitatis								5.2218960446479e-6	9.06668159126392e-5	1.2152445080702845e-5	2.2574050015487963e-4	2.7421424635016853	1.556004533347509	7.177995846947725	5.568803550006271	3.205623915325315	1.589402665880299	0.05402187065801899	s__Bradyrhizobium_diversitatis	s__Bradyrhizobium_diversitatis___
s__Caulobacter_radicis								7.016555937028324e-4	0.008946108819711113	6.436932692801527e-4	0.008207089183321947	2.9991647803022126	1.9407356261824038	7.26290728899823	5.292870037422942	3.437796979393438	1.2736639287642646	0.14182701164356795	s__Caulobacter_radicis	s__Caulobacter_radicis___
s__Bartonella_apis								0.36660888191208046	0.9988265205518416	0.40033996120674004	1	2.9411784588317076	2.827276041705735	5.6540699719177105	2.0745819674923807	4.544817979390704	0.35239938325203596	0.41466347211991905	s__Bartonella_apis	s__Bartonella_apis___
s__Pseudescherichia_vulneris								0.6243628949841247	1	0.8067989792436697	1	1.2813367242927987	1.4052210534540466	1.012623858420981	0.19268508603288392	5.850975105618689	0.027693970562082407	0.4855769248146892	s__Pseudescherichia_vulneris	s__Pseudescherichia_vulneris___
s__Methylorubrum_pseudosasae								0.7405779117442199	1	0.2685905516070286	0.8238350870232095	-0.09350080939896088	0.6513498401382805	-1.4957638184889763	-1.774684834962411	5.52803475771427	-0.2676229571769434	0.36614647589971355	s__Methylorubrum_pseudosasae	s__Methylorubrum_pseudosasae___
s__Lactobacillus_melliventris								0.29622856430714506	0.9991489115067657	0.5145228540961349	1	3.175666824709152	3.0871996535034922	4.705495474648698	1.1545621116327016	3.494550635474322	0.2903908366610026	0.43149039302070885	s__Lactobacillus_melliventris	s__Lactobacillus_melliventris___
s__Bombilactobacillus_mellis								0.48408400455995904	1	0.7345266504957629	1	2.877418395322014	2.8404676215596947	3.0324549001622874	0.3769874237098678	3.301704306404809	0.09990158348705588	0.462184878517151	s__Bombilactobacillus_mellis	s__Bombilactobacillus_mellis___
s__Sphingomonas_hankookensis								0.589762339385582	1	0.2210961651849514	0.7222981246954842	-0.9261577098710188	0.027740301784630716	-2.2508218702762024	-1.9149201112224885	5.512168520595468	-0.27756567603723603	0.3401442522044536	s__Sphingomonas_hankookensis	s__Sphingomonas_hankookensis___
s__Bifidobacterium_apousia								0.7998180248086831	1	0.47247939822382046	1	2.5487228682087073	2.0490448804800634	4.9144362322056745	1.3096493104150424	5.744565298804586	0.2032316734505515	0.4290865471736893	s__Bifidobacterium_apousia	s__Bifidobacterium_apousia___
s__Brevundimonas_huaxiensis								0.5516238491710227	0.9896386606449832	0.7845414316390259	0.9985370785524114	-0.5106271164604177	-0.3194484496777781	-0.7777673583573215	0.4334295253131142	6.123311439889364	0.05652850423275671	0.4651442349858293	s__Brevundimonas_huaxiensis	s__Brevundimonas_huaxiensis___
s__Lactobacillus_apis								0.30338117153069555	0.9986722527257674	0.1842649190233622	0.7852643032505267	3.677199242850347	3.8545592881429744	2.4096056072497616	-1.412506464423262	3.4196593803742408	-0.35676125227715094	0.34735578949551693	s__Lactobacillus_apis	s__Lactobacillus_apis___
s__Methylobacterium_currus								0.55103888291053	0.9999956263351306	0.8514091223498527	0.9996960376734032	-0.2394660892895022	0.009179071015092077	-1.1991018890786442	0.08583881383095449	7.443877466098873	0.010385096951729143	0.49579831983237166	s__Methylobacterium_currus	s__Methylobacterium_currus___
s__Lactobacillus_helsingborgensis								0.1998345685907279	0.9662569881381939	0.4859800160748782	1	1.8345939009662509	1.8116791122719018	2.01108485394498	1.073898136163625	4.3302617764663385	0.2837027196745828	0.42737095728982	s__Lactobacillus_helsingborgensis	s__Lactobacillus_helsingborgensis___
s__Bombella_uncl								0.01250330556217807	0.19372659415243917	0.0063709309453460405	0.10019809797351742	1.9435610554227933	4.211004714789335	-1.0103021013478566	-4.458435307178645	5.450272617750376	-0.7408944369899008	0.20048024818071528	s__Bombella_uncl	s__Bombella_uncl___
s__Enterobacter_quasihormaechei								0.8161279967214016	0.9997897065019046	0.7689008443251223	0.9925180730140193	-0.8864666605422942	-0.4745032645508207	-1.6614181194926614	-0.4691052000519935	6.328814058742463	-0.0646073872503232	0.4741896789783467	s__Enterobacter_quasihormaechei	s__Enterobacter_quasihormaechei___
s__Enterococcus_hirae								0.5588760371822648	1	0.5592142111640503	0.992361273925782	1.9147014252219359	2.097380654231519	0.03992898926299748	-1.219534711331046	4.400581863734117	-0.1987369817367599	0.4362980847183552	s__Enterococcus_hirae	s__Enterococcus_hirae___
s__Lactobacillus_uncl								0.890550258421897	1	0.8998464526091173	1	2.803234690239896	2.860081818801972	2.7223338907367465	-0.20006924371034795	4.611607388658736	-0.05072209686374263	0.4795673101562092	s__Lactobacillus_uncl	s__Lactobacillus_uncl___
s__Sphingomonas_alpina								0.743832264492073	0.991838903547052	0.6657289614382449	0.9383333049889453	-2.126077237363793	-1.769084621819557	-2.542328165463676	-0.5281869776774286	5.40740892541987	-0.08347547649035963	0.44897959802855253	s__Sphingomonas_alpina	s__Sphingomonas_alpina___
s__Pelomonas_aquatica								0.41220559651950844	0.9374565181141798	0.547615337981594	0.9721719502482469	-2.087929698583765	-2.1792807992653564	-1.8018861417161718	0.9152748230996055	5.976127899398666	0.14471405974129486	0.433373357485978	s__Pelomonas_aquatica	s__Pelomonas_aquatica___
s__Gilliamella_apicola								0.579772511346444	0.9999621847900555	0.5366863400223447	0.9692691074389517	-0.05807810804919811	0.51394246600365	-1.3770190276287027	-1.3552115792509642	5.892374200744051	-0.21360563516007025	0.41466347211991905	s__Gilliamella_apicola	s__Gilliamella_apicola___
s__Pseudomonas_baetica								0.7720704732759415	1	0.7440866055328643	0.9753651069073178	-1.8453004510129105	-1.4642509274812525	-2.4665223599630606	-0.41295225156715	6.308595244540225	-0.053203632585022226	0.47355769549987387	s__Pseudomonas_baetica	s__Pseudomonas_baetica___
s__Apilactobacillus_kunkeei								0.005018426639817309	0.10206364551605038	0.0011776606997253253	0.025300677088095466	1.0101033456057946	1.8572974733906014	-1.950162245422172	-3.8272055638698337	4.108123703901122	-0.8870697757330144	0.14405770971874832	s__Apilactobacillus_kunkeei	s__Apilactobacillus_kunkeei___
s__Bifidobacterium_coryneforme								0.7480557009816351	0.998535662235564	0.7991104686535179	0.9974096147936892	-0.3896736731005621	-0.2811272458654166	-0.5956442350377475	0.1484327494542237	5.259114844641243	0.028585875307353042	0.4897959195933269	s__Bifidobacterium_coryneforme	s__Bifidobacterium_coryneforme___
